,ID,geometry,reichsbank,distance,count
0,10101,"POLYGON ((533953.9362151267 5423639.857082374, 533849.1612150199 5423401.732082131, 534011.0862151836 5422887.382081606, 534020.6112151948 5422734.982081452, 533934.886215106 5422554.007081268, 533858.6862150289 5422420.657081132, 533677.7112148448 5422258.732080966, 533296.7112144564 5422353.982081064, 533182.4112143383 5422249.207080957, 533001.4362141542 5421839.632080539, 532953.8112141065 5421687.232080384, 532972.8612141269 5421487.20708018, 533172.886214329 5421134.78207982, 533506.2612146699 5421334.807080025, 533772.9612149403 5421334.807080025, 534153.9612153311 5421230.032079918, 534096.811215272 5421115.7320798, 533839.6362150107 5420458.507079129, 533858.6862150289 5420325.1570789935, 533963.4612151358 5420182.282078846, 533963.4612151358 5420058.457078721, 533868.2112150402 5419915.582078573, 533706.2862148744 5419839.382078497, 533639.6112148062 5419772.707078431, 533496.7362146586 5419696.5070783505, 533268.1362144268 5419715.557078371, 532925.2362140769 5420115.6070787795, 532763.311213911 5420115.60707878, 532601.3862137452 5420182.282078849, 532515.6612136589 5420268.007078934, 532410.8862135521 5420515.657079187, 532077.5112132112 5420515.657079188, 531734.6112128614 5420268.007078934, 531658.4112127841 5420344.207079012, 531658.4112127841 5420506.132079178, 531286.9362124049 5420553.757079226, 531248.836212366 5420306.107078973, 530724.9612118321 5420048.932078712, 530229.6612113278 5419953.682078615, 529648.6362107347 5420582.332079255, 529210.4862102872 5420487.08207916, 529039.0362101123 5420772.832079451, 528677.0862097441 5420820.4570795, 528458.0112095192 5421191.932079878, 528115.1112091693 5420868.08207955, 527781.7362088307 5420687.107079362, 527667.4362087126 5420877.607079557, 527591.2362086354 5421077.6320797615, 527305.4862083446 5421515.782080206, 527257.8612082946 5421706.282080403, 527324.5362083628 5421849.157080548, 527457.8862084991 5421963.457080666, 527591.2362086354 5422020.607080723, 527772.2112088194 5422020.607080724, 527791.2612088398 5422239.682080948, 527972.2362090239 5422315.882081025, 527981.761209033 5422792.132081509, 528210.361209267 5422763.55708148, 528419.9112094806 5422658.782081375, 528591.3612096555 5422620.682081336, 528848.536209919 5422792.132081509, 529153.3362102282 5422068.232080771, 529610.5362106961 5422144.43208085, 529648.6362107346 5422344.457081054, 529591.4862106758 5422706.407081423, 529677.2112107642 5422782.6070815, 529772.4612108597 5422792.132081509, 529962.961211055 5422706.407081422, 530077.261211171 5422534.957081249, 530429.6862115299 5422849.282081568, 530324.9112114232 5422982.632081704, 530924.9862120366 5423182.657081909, 531096.4362122116 5423639.857082375, 531315.5112124344 5423449.357082182, 531601.2612127251 5423468.4070822, 531725.0862128523 5423316.007082045, 531839.3862129682 5423430.307082162, 531925.1112130568 5423601.757082336, 531953.6862130864 5423811.30708255, 532039.4112131727 5424001.807082745, 532277.5362134158 5424201.832082947, 532458.5112135997 5424106.582082853, 532620.4362137656 5424087.532082831, 532658.5362138043 5424620.932083377, 532915.7112140679 5424630.457083385, 532915.7112140679 5424525.682083279, 533077.6362142315 5424401.857083152, 533420.5362145813 5424344.707083095, 533468.1612146313 5424249.457082997, 533344.3362145041 5424154.207082899, 533306.2362144655 5424049.432082793, 533334.8112144949 5423954.182082695, 533430.0612145904 5423868.457082609, 533620.5612147857 5423877.9820826175, 533849.16121502 5423668.432082404, 533953.9362151267 5423639.857082374))",0,23402.42020279331,9
1,10102,"POLYGON ((534658.7862158446 5418924.982077565, 534668.3112158538 5418496.357077126, 534725.4612159127 5418391.58207702, 535020.736216215 5418248.707076874, 535087.4112162831 5418143.932076767, 535077.8862162718 5417991.532076613, 535001.6862161945 5417829.6070764465, 534925.4862161173 5417562.907076174, 534887.3862160787 5417305.732075913, 534896.9112160876 5417058.082075658, 534992.1612161854 5416915.207075513, 535363.6362165648 5416915.207075513, 535420.7862166218 5416839.0070754355, 535411.2612166126 5416572.307075163, 535211.2362164081 5416562.782075154, 535154.0862163514 5416477.057075066, 535173.1362163695 5416324.657074911, 535268.3862164672 5416267.507074854, 535354.1112165535 5416238.932074824, 535468.4112166716 5416277.032074863, 535601.7612168079 5416362.757074949, 535801.7862170124 5416405.619574994, 535763.6862169737 5416091.294574676, 535677.9612168851 5415967.469574551, 535477.9362166807 5415891.269574471, 535201.711216399 5415862.694574444, 535067.1705912646 5415738.2742618155, 534895.7205910896 5415662.074261737, 534295.6455904784 5415757.324261833, 533581.2705897491 5415909.72426199, 533390.7705895538 5416071.649262155, 533276.4705894378 5416224.049262309, 533171.6955893311 5416357.399262446, 533000.245589156 5416500.274262591, 532733.5455888835 5416557.42426265, 532371.5955885154 5416824.124262921, 532458.5112135998 5416981.882075582, 532534.7112136793 5417124.757075729, 532649.0112137952 5417210.482075815, 532772.8362139201 5417229.5320758335, 532934.761214086 5417162.8570757685, 533039.5362141929 5417162.857075768, 533049.061214202 5417334.30707594, 533325.2862144837 5417601.007076213, 533220.5112143769 5417658.157076272, 532982.386214136 5417648.632076261, 532934.7612140861 5417867.707076485, 533125.2612142813 5417915.332076533, 533382.4362145427 5417896.282076516, 533611.0362147767 5418001.057076622, 533706.2862148744 5418096.30707672, 533753.9112149222 5418191.557076815, 533725.3362148926 5418258.232076883, 533582.4612147473 5418315.382076942, 533553.8862147178 5418753.53207739, 533706.2862148744 5418734.4820773695, 533763.4362149312 5419058.332077699, 534315.8862154947 5419058.332077699, 534658.7862158446 5418924.982077565))",0,20376.490038639004,0
2,10103,"POLYGON ((543302.7237246635 5419575.063328226, 543321.7737246817 5419451.238328099, 543540.8487249066 5419327.413327974, 543464.6487248271 5418755.91332739, 543312.2487246726 5418222.513326847, 543021.7362243761 5417339.069575946, 542850.2862242012 5416758.044575358, 541907.3112232401 5417072.369575677, 541859.6862231924 5417462.8945760755, 541764.4362230947 5417739.1195763545, 541602.5112229288 5417939.144576562, 541354.8612226767 5418072.494576698, 541088.1612224039 5418129.644576754, 540830.9862221427 5418120.119576746, 540373.7862216769 5417948.66957657, 540002.3112212953 5417691.494576307, 539811.8112211021 5417520.044576132, 539697.5112209863 5417329.544575939, 539745.136221034 5417205.719575814, 539735.6112210248 5417043.794575648, 539592.7362208794 5417072.369575677, 539306.9862205863 5417167.619575772, 539145.0612204227 5417139.044575742, 539021.2362202955 5417062.844575667, 538945.0362202183 5416929.49457553, 538440.2112197025 5417015.219575618, 538030.6362192845 5417024.744575628, 538221.13621948 5417198.575825803, 538421.1612196821 5417255.725825862, 538440.2112197025 5417389.075825999, 538335.4362195957 5417503.375826115, 538440.2112197024 5417570.050826183, 538516.4112197798 5417884.375826503, 538764.0612200319 5417855.800826472, 538821.2112200911 5417941.525826562, 538925.9862201979 5417932.000826552, 539087.9112203636 5417827.225826445, 539221.2612205 5417798.650826414, 539364.1362206454 5417808.175826426, 539468.9112207522 5417874.850826494, 539611.7862208976 5417865.325826485, 539678.4612209657 5417922.475826542, 539678.4612209658 5418074.875826696, 539564.1612208498 5418236.800826862, 539430.8112207135 5418332.050826959, 539421.2862207022 5418627.32582726, 539507.0112207907 5418732.100827369, 539726.0862210133 5418855.925827494, 540030.8862213248 5418903.550827541, 540669.0612219768 5418817.825827455, 540945.2862222586 5418722.575827358, 541231.0362225494 5418741.625827378, 541383.4362227039 5418932.12582757, 541783.4862231129 5418903.550827541, 542221.6362235604 5419179.775827823, 542497.8612238421 5419284.550827933, 542612.161223958 5419398.850828048, 542593.1112239376 5419636.975828291, 542669.3112240171 5419741.750828398, 542755.0362241035 5419779.850828435, 542821.7112241717 5419713.175828368, 542831.2362241808 5419598.875828252, 542907.4362242603 5419570.300828223, 543069.3612244239 5419579.825828232, 543302.7237246635 5419575.063328226))",0,20911.46689904817,0
3,10104,"POLYGON ((538516.4112197801 5417884.375826503, 538335.4362195955 5418103.450826726, 538211.6112194692 5418132.025826755, 538144.9362194013 5418313.00082694, 537935.3862191874 5418484.450827114, 537811.5612190611 5418589.225827221, 537592.4862188377 5418894.025827533, 537744.8862189931 5419189.300827834, 538135.4112193913 5419303.60082795, 538268.7612195275 5419255.975827902, 538544.9862198093 5419313.12582796, 538706.9112199744 5419236.925827881, 538983.1362202562 5419236.925827882, 539468.9112207517 5418970.22582761, 539726.086221014 5418855.925827494, 539507.0112207906 5418732.100827368, 539421.2862207032 5418627.3258272605, 539430.811220713 5418332.050826959, 539564.1612208489 5418236.800826862, 539678.4612209655 5418074.875826696, 539678.4612209655 5417922.475826542, 539611.7862208975 5417865.325826484, 539468.9112207517 5417874.850826493, 539364.1362206448 5417808.175826425, 539221.2612204991 5417798.650826415, 539087.9112203631 5417827.225826445, 538925.9862201979 5417932.000826552, 538821.2112200911 5417941.525826561, 538764.0612200327 5417855.800826474, 538516.4112197801 5417884.375826503))",0,23366.63742333504,0
4,10105,"POLYGON ((536268.5112174873 5419353.607078001, 536449.4862176713 5419344.082077992, 536506.6362177304 5419182.157077826, 536516.1612177393 5418858.307077496, 536287.5612175055 5418667.807077301, 536258.9862174782 5418563.032077194, 536363.7612175851 5418343.957076971, 536401.8612176236 5418182.032076806, 536392.3362176123 5418029.632076652, 536344.7112175644 5417934.382076554, 536420.9112176418 5417829.6070764465, 536630.4612178553 5417772.4570763875, 536716.186217944 5417620.057076233, 536763.8112179916 5417448.607076058, 536706.6612179348 5417362.88207597, 536439.9612176622 5417353.35707596, 536163.7362173804 5417772.4570763875, 535906.5612171169 5417677.20707629, 535858.9362170692 5417829.6070764465, 535725.5862169329 5417924.857076542, 535211.2362164081 5417896.282076515, 535001.6862161945 5417829.6070764465, 535077.8862162718 5417991.532076613, 535087.4112162831 5418143.932076767, 535020.736216215 5418248.707076874, 534725.4612159127 5418391.58207702, 534668.3112158538 5418496.357077126, 534658.7862158446 5418924.982077565, 534782.6112159719 5418886.882077528, 534887.3862160787 5419001.182077642, 535039.7862162332 5419067.857077712, 535306.4862165058 5419010.707077653, 535401.7362166034 5419096.432077739, 535363.6362165648 5419277.407077926, 535449.3612166512 5419372.657078021, 535525.5612167284 5419420.282078068, 535658.9112168647 5419439.33207809, 535735.1112169442 5419401.232078051, 535754.1612169624 5419286.932077933, 535677.9612168851 5419153.582077797, 535706.5362169147 5419067.857077712, 535820.8362170308 5419039.282077683, 535935.1362171465 5419096.432077739, 536078.011217292 5419220.257077866, 536268.5112174873 5419353.607078001))",0,22348.64155631349,0
5,10106,"POLYGON ((539259.3612205379 5421037.150829718, 539764.1862210529 5420732.350829408, 539954.6862212472 5420589.475829261, 539964.211221257 5420389.450829058, 540049.9362213444 5420313.25082898, 540583.3362218885 5420303.72582897, 540830.9862221412 5420084.650828747, 540850.0362221606 5419951.300828611, 540650.0112219566 5419827.475828485, 540421.4112217232 5419770.3258284265, 540183.2862214805 5419779.850828436, 540116.6112214123 5419875.100828533, 540097.5612213929 5420065.600828728, 539954.6862212473 5420132.2758287955, 539726.086221014 5420103.700828766, 539526.06122081 5420113.225828776, 539106.9612203825 5420294.20082896, 538945.0362202174 5420275.150828941, 538640.2362199065 5420418.025829087, 538544.9862198093 5420503.750829174, 538506.8862197704 5420627.5758293, 538544.9862198093 5420827.600829504, 538687.861219955 5421122.875829806, 538840.2612201103 5421189.550829873, 538973.6112202464 5421065.7258297475, 539259.3612205379 5421037.150829718))",0,23782.587701579127,0
6,10109,"POLYGON ((531096.4362122116 5423639.857082375, 530924.9862120366 5423182.657081909, 530324.9112114232 5422982.632081704, 530429.6862115299 5422849.282081568, 530077.261211171 5422534.957081249, 529962.961211055 5422706.407081422, 529772.4612108597 5422792.132081509, 529677.2112107642 5422782.6070815, 529591.4862106758 5422706.407081423, 529648.6362107346 5422344.457081054, 529610.5362106961 5422144.43208085, 529153.3362102282 5422068.232080771, 528848.536209919 5422792.132081509, 528591.3612096555 5422620.682081336, 528419.9112094806 5422658.782081375, 528210.361209267 5422763.55708148, 527981.761209033 5422792.132081509, 527829.3612088764 5422861.18833158, 527734.1112087786 5422985.013331705, 527610.2862086536 5423194.563331921, 527505.5112085468 5423451.738332182, 527114.9862081469 5423413.638332143, 526924.4862079538 5423489.838332221, 526876.8612079038 5423623.188332357, 526524.4362075449 5423632.713332366, 526419.6612074381 5423775.5883325115, 526419.6612074381 5423966.088332707, 527019.7362080492 5424042.288332784, 527295.961208331 5424061.338332805, 527715.0612087604 5424337.563333087, 527610.2862086536 5424766.1883335225, 527362.6362083993 5424766.1883335225, 527162.611208197 5424832.86333359, 526972.1112080015 5425290.063334056, 527286.436208322 5425318.638334088, 527572.186208615 5425194.813333963, 528324.6612093829 5425556.763334332, 528257.9862093148 5425766.313334545, 528219.8862092738 5426004.438334785, 528438.9612094988 5425918.713334699, 528810.4362098782 5425871.08833465, 528981.8862100531 5425937.763334718, 529181.9112102555 5425832.988334611, 529458.1362105372 5425232.913334, 529801.036210887 5425194.813333961, 529867.7112109552 5425585.338334357, 530029.636211121 5425613.913334388, 530172.5112112665 5425451.988334223, 530248.7112113439 5425490.088334261, 530305.8612114028 5425613.913334388, 530315.3862114119 5425852.038334631, 530429.68621153 5426013.963334795, 530543.9862116459 5426128.263334913, 530963.086212073 5426318.763335106, 531048.8112121616 5426223.513335008, 531039.2862121525 5426004.438334785, 531191.6862123071 5425813.938334593, 531248.8362123661 5425604.388334377, 531153.5862122684 5425499.61333427, 530744.0112118503 5425280.538334047, 530858.3112119662 5424861.43833362, 530877.3612119866 5424613.788333366, 530905.9362120162 5424280.413333028, 531144.0612122593 5424213.738332959, 531096.4362122116 5423639.857082375))",0,23704.421792074754,0
7,10111,"POLYGON ((531896.5362130273 5418744.00707738, 531953.6862130854 5418867.832077506, 532163.2362132993 5418991.657077633, 532258.4862133965 5419744.1320784, 532239.4362133772 5419915.582078575, 532229.9112133674 5420039.407078701, 532315.6362134548 5420182.282078847, 532515.6612136589 5420268.007078934, 532601.3862137463 5420182.282078847, 532763.3112139115 5420115.6070787795, 532925.2362140766 5420115.6070787795, 533268.1362144265 5419715.557078371, 533496.7362146596 5419696.5070783505, 533591.9862147567 5419372.65707802, 534134.9112153106 5419363.132078011, 534315.8862154952 5419058.3320777, 533763.4362149315 5419058.3320777, 533706.2862148734 5418734.4820773695, 533553.886214718 5418753.532077389, 533582.461214747 5418315.382076942, 533725.3362148928 5418258.232076883, 533753.911214922 5418191.5570768155, 533706.2862148734 5418096.307076719, 533611.0362147762 5418001.057076622, 533382.4362145431 5417896.282076515, 533125.2612142807 5417915.332076534, 532782.3612139309 5418286.807076914, 532629.9612137754 5418286.807076913, 532334.6862134743 5418582.0820772145, 532029.8862131633 5418601.132077235, 531896.5362130273 5418744.00707738))",0,21478.7680085962,0
8,10112,"POLYGON ((536439.9612176622 5417353.35707596, 536306.6112175258 5417296.207075901, 536173.2612173896 5417200.957075806, 536078.0112172919 5417067.60707567, 536068.4862172828 5416886.632075486, 536135.161217351 5416596.119575189, 535849.4112170602 5416596.119575191, 535801.7862170124 5416405.619574994, 535601.7612168079 5416362.757074949, 535468.4112166716 5416277.032074863, 535354.1112165535 5416238.932074824, 535268.3862164672 5416267.507074854, 535173.1362163695 5416324.657074911, 535154.0862163514 5416477.057075066, 535211.2362164081 5416562.782075154, 535411.2612166126 5416572.307075163, 535420.7862166218 5416839.0070754355, 535363.6362165648 5416915.207075513, 534992.1612161854 5416915.207075513, 534896.9112160876 5417058.082075658, 534887.3862160787 5417305.732075913, 534925.4862161173 5417562.907076174, 535001.6862161945 5417829.6070764465, 535211.2362164081 5417896.282076515, 535725.5862169329 5417924.857076542, 535858.9362170692 5417829.6070764465, 535906.5612171169 5417677.20707629, 536163.7362173804 5417772.4570763875, 536439.9612176622 5417353.35707596))",0,21204.245080967918,0
9,10113,"POLYGON ((531563.1612126861 5430047.80083891, 531658.4112127831 5430243.063339111, 531620.3112127442 5430490.713339363, 531458.386212579 5430785.988339665, 531153.586212268 5431176.513340063, 530924.9862120348 5431633.71334053, 531125.0112122388 5431748.013340646, 531267.8862123847 5431976.61334088, 531334.5612124527 5432167.113341074, 531544.1112126665 5432290.9383412, 531620.3112127442 5432157.588341065, 531677.4612128026 5431643.23834054, 531791.7612129191 5431605.138340501, 532144.1862132788 5431681.338340579, 532220.3862133565 5431586.088340482, 532325.1612134633 5431490.838340384, 532468.0362136092 5431462.263340355, 532658.5362138036 5431205.088340092, 532753.7862139009 5430981.250839862, 532849.036213998 5430676.450839552, 532829.9862139786 5430485.950839357, 532953.8112141049 5430066.8508389285, 532582.336213726 5430019.22583888, 532572.8112137162 5429762.050838619, 532382.3112135218 5429723.95083858, 531839.3862129679 5429962.075838823, 531563.1612126861 5430047.80083891))",0,20774.058226837213,0
