ID,reichsbank,distance
10101.0,0,23402.42020279331
10102.0,0,20376.490038639004
10103.0,0,20911.466899048166
10104.0,0,23366.63742333504
10105.0,0,22348.641556313494
10106.0,0,23782.587701579127
10109.0,0,23704.421792074754
10111.0,0,21478.7680085962
10112.0,0,21204.245080967914
10113.0,0,20774.058226837213
10114.0,0,23921.114136813834
10115.0,0,21218.371317362235
10116.0,0,27032.862233418222
10118.0,0,26748.58196537183
10119.0,0,22931.740575777014
10121.0,0,24281.73400245309
10122.0,0,21844.215604133446
10124.0,0,22742.207169338788
10125.0,0,20665.7363034144
10126.0,0,26048.94682176098
10127.0,0,24574.511374621023
10128.0,0,28759.26779703899
10129.0,0,25188.823554592418
10130.0,0,23518.85648301769
10131.0,0,19740.852246840062
10201.0,0,17452.4883004139
10202.0,0,20002.62142698525
10203.0,0,16156.468346075135
10204.0,0,16735.87383836758
10205.0,0,19114.159107187665
10206.0,0,13612.194022400708
10207.0,0,19480.283219283752
10208.0,0,16125.800972259605
10209.0,0,14945.323460525606
10210.0,0,12831.035385554735
10211.0,0,9674.175996153896
10212.0,0,11340.831323243465
10213.0,0,12041.313548568145
10214.0,0,18215.886640502467
10215.0,0,8611.803858154775
10216.0,0,18471.918840634295
10218.0,0,8393.857225324391
10219.0,0,15316.361651276102
10301.0,0,16268.015286413389
10302.0,0,24640.689333741066
10303.0,0,18851.578042911126
10304.0,0,18555.372895356424
10305.0,0,24252.733213758558
10306.0,0,20455.99811037639
10307.0,0,21448.025282124734
10308.0,0,26469.5992497961
10309.0,0,21444.52807182892
10310.0,0,23150.945477377052
10311.0,0,20580.411467696445
10312.0,0,15760.907784886562
10313.0,0,18020.773066142083
10314.0,0,18741.09289785651
10315.0,0,21936.306103701045
10316.0,0,17191.41025906444
10317.0,0,14883.390696768025
10318.0,0,16319.974782303556
10401.0,0,13415.631379910697
10402.0,0,14655.621145401345
10403.0,0,17703.87675043897
10404.0,0,11385.27444717627
10405.0,0,19637.58783988179
10406.0,0,15840.156382885498
10407.0,0,18011.725891413982
10408.0,0,15000.701804864684
10409.0,0,25572.107742927292
10410.0,0,13634.114976953018
10411.0,0,10049.926581720283
10412.0,0,19402.317319944897
10413.0,0,5072.862398764629
10414.0,0,25649.181267801065
10415.0,0,11145.911270734878
10416.0,0,13001.589247805565
10417.0,0,22028.587670475797
10418.0,0,12411.484214929802
10419.0,0,17283.892145382997
10420.0,0,9495.378540464455
10421.0,0,7782.382956822604
10422.0,0,22580.07827049393
10423.0,0,24630.845399003923
10424.0,0,20525.38164365868
10425.0,0,12087.431849384848
10426.0,0,20928.217751348868
10427.0,0,15615.670749305666
10428.0,0,16097.035831961011
10429.0,0,22193.46308434911
10430.0,0,23588.601509658783
10601.0,3,0.0
10602.0,0,6196.038566055129
10603.0,0,5067.935992415453
10604.0,0,3474.6494369349307
10605.0,0,6336.080464366772
10606.0,0,5964.356319001177
10608.0,0,7331.424289846639
10609.0,0,4231.990625720455
10610.0,0,7977.379043342882
10613.0,0,8153.508241484154
10614.0,0,9936.657289138862
10615.0,0,10145.856460230681
10616.0,0,3695.111630959322
10701.0,3,0.0
10702.0,0,10576.487539902808
10703.0,0,8039.199300868379
10705.0,0,12005.490539596289
10706.0,0,4858.897901929505
10707.0,0,4580.25774473595
10708.0,0,14145.165063832346
10709.0,0,6751.561345849359
10710.0,0,5296.785183541875
10711.0,0,9556.293947022552
10713.0,0,6510.839100606247
10715.0,0,6403.996857426303
10716.0,0,7634.48183970185
10717.0,0,7182.297478510898
10801.0,0,12840.485185645703
10802.0,0,10051.78070588099
10804.0,0,21373.114524051154
10805.0,0,26952.00352168349
