Ort,price,Provinz,Wert,Periode,Erhaltung,Katalog,url,title,date
Geislingen,30.0,Württemberg,10 Mrd,Hochinflation 1923,I-,1923_1694.d_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/88360/geislingen-gewerbebank-10-mrd-26.10.23?c=367,"Geislingen, Gewerbebank, 10 Mrd, 26.10.23",26.10.23
Geislingen,120.0,Württemberg,100 T,Hochinflation 1923,III,1923_1697.a_100T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61313/geislingen-metallwarenfabrik-100-t-4.8.23?c=367,"Geislingen, Metallwarenfabrik, 100 T, 4.8.23",NoDate
Geislingen,150.0,Württemberg,500 T,Hochinflation 1923,II,1923_1697.a_500T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61314/geislingen-metallwarenfabrik-500-t-4.8.23?c=367,"Geislingen, Metallwarenfabrik, 500 T, 4.8.23",NoDate
Geislingen,140.0,Württemberg,1 Bio,Hochinflation 1923,I,1923_1698.a_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61312/geislingen-oberamtssparkasse-1-bio-20.10.23?c=367,"Geislingen, Oberamtssparkasse, 1 Bio, 20.10.23",20.10.23
Gerabronn,22.0,Württemberg,20 Mrd,Hochinflation 1923,II,1923_1735.d_20Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/88365/gerabronn-oberamtssparkasse-20-mrd-27.10.23?c=367,"Gerabronn, Oberamtssparkasse, 20 Mrd, 27.10.23",27.10.23
Gerabronn,25.0,Württemberg,50 Mrd,Hochinflation 1923,I-,1923_1735.d_50Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/88366/gerabronn-oberamtssparkasse-50-mrd-27.10.23?c=367,"Gerabronn, Oberamtssparkasse, 50 Mrd, 27.10.23",27.10.23
Gerabronn,25.0,Württemberg,100 Mrd,Hochinflation 1923,I-,1923_1735.e_100Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/88367/gerabronn-oberamtssparkasse-100-mrd-10.11.23?c=367,"Gerabronn, Oberamtssparkasse, 100 Mrd, 10.11.23",10.11.23
Gerstetten,45.0,Württemberg,100 Mrd,Hochinflation 1923,I-,1923_1753_100Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/81464/gerstetten-gemeinde-100-mrd-15.11.23?c=367,"Gerstetten, Gemeinde, 100 Mrd, 15.11.23",15.11.23
Gerstetten,60.0,Württemberg,1 Bio,Hochinflation 1923,II,1923_1753_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103825/gerstetten-gemeinde-1-bio-15.11.23?c=367,"Gerstetten, Gemeinde, 1 Bio, 15.11.23",15.11.23
Gerstetten,35.0,Württemberg,500 Mrd,Hochinflation 1923,II,1923_1753_500Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/81465/gerstetten-gemeinde-500-mrd-15.11.23?c=367,"Gerstetten, Gemeinde, 500 Mrd, 15.11.23",15.11.23
Giengen,35.0,Württemberg,500 Mrd,Hochinflation 1923,I,1923_1784.aa_500Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61321/giengen-stadt-500-mrd-25.10.23-5-8-mm-0-5-mm?c=367,"Giengen, Stadt, 500 Mrd, 25.10.23, ""5"" 8 mm, ""0"" 5 mm",25.10.23
Giengen,120.0,Württemberg,2 Mio,Hochinflation 1923,II+,1923_1785.f_2Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/88369/giengen-margarete-steiff-2-mio-24.8.23?c=367,"Giengen, Margarete Steiff, 2 Mio, 24.8.23",NoDate
Giengen,120.0,Württemberg,1 Mio,Hochinflation 1923,II,1923_1785.h_1Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/88370/giengen-margarete-steiff-1-mio-28.8.23?c=367,"Giengen, Margarete Steiff, 1 Mio, 28.8.23",NoDate
Giengen,120.0,Württemberg,20 Mrd,Hochinflation 1923,III,1923_1785.p_20Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/81466/giengen-margarete-steiff-20-mrd-3.11.23?c=367,"Giengen, Margarete Steiff, 20 Mrd, 3.11.23",NoDate
Göppingen,4.0,Württemberg,2 Mio,Hochinflation 1923,III,1923_1828.b_2Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61329/goeppingen-amtskoerperschaft-2-mio-23.8.23-2-millionen?c=367,"Göppingen, Amtskörperschaft, 2 Mio, 23.8.23, ""2 Millionen""",NoDate
Göppingen,6.0,Württemberg,2 Mio,Hochinflation 1923,IV,1923_1828.c_2Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61330/goeppingen-amtskoerperschaft-2-mio-23.8.23-2-millionen-mark?c=367,"Göppingen, Amtskörperschaft, 2 Mio, 23.8.23, ""2 Millionen Mark""",NoDate
Göppingen,5.0,Württemberg,5 Mio,Hochinflation 1923,III,1923_1828.d_5Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61331/goeppingen-amtskoerperschaft-5-mio-31.8.23?c=367,"Göppingen, Amtskörperschaft, 5 Mio, 31.8.23",NoDate
Göppingen,5.0,Württemberg,1 Mio,Hochinflation 1923,III,1923_1828.eII_1Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61332/goeppingen-amtskoerperschaft-1-mio-12.9.23-rs.-druck-schwarz?c=367,"Göppingen, Amtskörperschaft, 1 Mio, 12.9.23, Rs. Druck schwarz",NoDate
Hechingen u. Haigerloch,30.0,Württemberg,500 T,Hochinflation 1923,III,1923_2277.a_500T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61333/hechingen-u.-haigerloch-amtsverbaende-500-t-od-wz-bandwerk?c=367,"Hechingen u. Haigerloch, Amtsverbände, 500 T, oD, Wz Bandwerk",NoDate
Heidenheim,200.0,Württemberg,50 Mio,Hochinflation 1923,III-,1923_2283.ee_50Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100441/heidenheim-stadt-50-mio-29.9.23?c=367,"Heidenheim, Stadt, 50 Mio, 29.9.23",NoDate
Heidenhein,80.0,Württemberg,1 Bio,Hochinflation 1923,I,1923_2285_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/97093/heidenhein-1-bio-od-strich-punkt-strich?c=367,"Heidenhein, 1 Bio, oD, Strich-Punkt-Strich",NoDate
Heidenhein,60.0,Württemberg,2 Bio,Hochinflation 1923,I,1923_2285_2Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/97094/heidenhein-2-bio-od-strich?c=367,"Heidenhein, 2 Bio, oD, Strich",NoDate
Heidenheim,85.0,Württemberg,200 T,Hochinflation 1923,I-,1923_2285.a_200T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103827/heidenhein-paul-hartmann-200-t-10.8.23?c=367,"Heidenheim, Paul Hartmann, 200 T, 10.8.23",NoDate
Heidenheim,65.0,Württemberg,2 Mio,Hochinflation 1923,I-,1923_2285.d_2Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100003/heidenhein-paul-hartmann-2-mio-od-mit-us?c=367,"Heidenheim, Paul Hartmann, 2 Mio, oD, mit Us",NoDate
Heidenheim,45.0,Württemberg,1 Mio,Hochinflation 1923,I-,1923_2285.d1_1Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103830/heidenhein-paul-hartmann-1-mio-od?c=367,"Heidenheim, Paul Hartmann, 1 Mio, oD",NoDate
Heidenheim,45.0,Württemberg,2 Mrd,Hochinflation 1923,I-,1923_2285.g_2Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100004/heidenhein-paul-hartmann-2-mrd-od-ohne-us?c=367,"Heidenheim, Paul Hartmann, 2 Mrd, oD, ohne Us",NoDate
Heidenheim,75.0,Württemberg,10 Mrd,Hochinflation 1923,I,1923_2285.n_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103831/heidenhein-paul-hartmann-10-mrd-14.11.23-fleckig-sonst?c=367,"Heidenheim, Paul Hartmann, 10 Mrd, 14.11.23, fleckig, sonst",14.11.23
Heidenheim,45.0,Württemberg,10 Mrd,Hochinflation 1923,I-,1923_2285.n_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103832/heidenhein-paul-hartmann-10-mrd-od-blanko?c=367,"Heidenheim, Paul Hartmann, 10 Mrd, oD, blanko",NoDate
Heidenheim,120.0,Württemberg,5 Mrd,Hochinflation 1923,I,1923_2285.n_5Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103833/heidenhein-paul-hartmann-5-mrd-14.11.23?c=367,"Heidenheim, Paul Hartmann, 5 Mrd, 14.11.23",14.11.23
Heidenheim,45.0,Württemberg,5 Mrd,Hochinflation 1923,I-,1923_2285.n_5Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103834/heidenhein-paul-hartmann-5-mrd-od-blanko?c=367,"Heidenheim, Paul Hartmann, 5 Mrd, oD, blanko",NoDate
Heidenheim,50.0,Württemberg,200 T,Hochinflation 1923,III+,1923_2289.q_200T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103835/heidenheim-j.m.voith-200-t-sept.-23-ohne-kn-ohne-tag?c=367,"Heidenheim, J.M.VOITH, 200 T, Sept. 23, ohne KN, ohne Tag",NoDate
Heidenheim,60.0,Württemberg,10 Mrd,Hochinflation 1923,III-,1923_2289.t_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103836/heidenheim-j.m.voith-10-mrd-od-ohne-kn-ungueltig?c=367,"Heidenheim, J.M.VOITH, 10 Mrd, oD, ohne KN, ungültig",NoDate
Herbrechtingen,75.0,Württemberg,1 Bio,Hochinflation 1923,II+,1923_2325.d_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98956/herbrechtingen-gemeinde-1-bio-26.10.23?c=367,"Herbrechtingen, Gemeinde, 1 Bio, 26.10.23",26.10.23
Herbrechtingen,65.0,Württemberg,1 Bio,Hochinflation 1923,III,1923_2325.d_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98957/herbrechtingen-gemeinde-1-bio-26.10.23?c=367,"Herbrechtingen, Gemeinde, 1 Bio, 26.10.23",26.10.23
Herbrechtingen,40.0,Württemberg,500 Mrd,Hochinflation 1923,II+,1923_2325.d_500Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103839/herbrechtingen-gemeinde-500-mrd-26.10.23-rs.-nur-schwarzdruck?c=367,"Herbrechtingen, Gemeinde, 500 Mrd, 26.10.23, Rs. nur Schwarzdruck",26.10.23
Herrenberg,45.0,Württemberg,500 T,Hochinflation 1923,III,1923_2347.a_500T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103842/herrenberg-stadt-500-t-20.8.23?c=367,"Herrenberg, Stadt, 500 T, 20.8.23",NoDate
Herrenberg,50.0,Württemberg,20 Mrd,Hochinflation 1923,II,1923_2347.b_20Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/81467/herrenberg-stadt-20-mrd-3.11.23?c=367,"Herrenberg, Stadt, 20 Mrd, 3.11.23",NoDate
Herrenberg,50.0,Württemberg,50 Mrd,Hochinflation 1923,II,1923_2347.b_50Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103843/herrenberg-stadt-50-mrd-3.11.23?c=367,"Herrenberg, Stadt, 50 Mrd, 3.11.23",NoDate
Herrenberg,50.0,Württemberg,100 Mrd,Hochinflation 1923,II-,1923_2347.c_100Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/81468/herrenberg-stadt-100-mrd-12.11.23?c=367,"Herrenberg, Stadt, 100 Mrd, 12.11.23",12.11.23
Herrenberg,55.0,Württemberg,500 Mrd,Hochinflation 1923,II-,1923_2347.c_500Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/81469/herrenberg-stadt-500-mrd-12.11.23?c=367,"Herrenberg, Stadt, 500 Mrd, 12.11.23",12.11.23
Kirchheim-Teck,7.0,Württemberg,100 T,Hochinflation 1923,III,1923_2650.a_100T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61355/kirchheim-teck-amtskoerperschaft-100-t-14.8.23?c=367,"Kirchheim-Teck, Amtskörperschaft, 100 T, 14.8.23",NoDate
Kirchheim-Teck,7.0,Württemberg,500 T,Hochinflation 1923,III,1923_2650.a_500T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61356/kirchheim-teck-amtskoerperschaft-500-t-14.8.23?c=367,"Kirchheim-Teck, Amtskörperschaft, 500 T, 14.8.23",NoDate
Kirchheim-Teck,65.0,Württemberg,5 Mrd,Hochinflation 1923,II+,1923_2650.c_5Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103849/kirchheim-teck-amtskoerperschaft-5-mrd-30.10.23-fus.-nestel-14-mm?c=367,"Kirchheim-Teck, Amtskörperschaft, 5 Mrd, 30.10.23, FUS. Nestel 14 mm",30.10.23
Kirchheim-Teck,75.0,Württemberg,3 Mio,Hochinflation 1923,III,1923_2651.a_3Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61357/kirchheim-teck-kolb-schuele-3-mio-28.8.23?c=367,"Kirchheim-Teck, Kolb & Schüle, 3 Mio, 28.8.23",NoDate
Korntal,25.0,Württemberg,10 Mio,Hochinflation 1923,II+,1923_2801_10Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103850/korntal-gemeinde-10-mio-12.9.23?c=367,"Korntal, Gemeinde, 10 Mio, 12.9.23",NoDate
Korntal,28.0,Württemberg,10 Mio,Hochinflation 1923,I,1923_2801_10Mio,https://www.gap-banknoten.de/detail/index/sArticle/131826/sCategory/367,"Korntal, Gemeinde, 10 Mio, 12.9.23",NoDate
Korntal,28.0,Württemberg,5 Mio,Hochinflation 1923,I,1923_2801_5Mio,https://www.gap-banknoten.de/detail/index/sArticle/131827/sCategory/367,"Korntal, Gemeinde, 5 Mio, 12.9.23",NoDate
Kuchen,75.0,Württemberg,500 T,Hochinflation 1923,III,1923_2831.a_500T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/81470/kuchen-sueddeutsche-baumwoll-industrie-500-t-20.8.23-entwertet?c=367,"Kuchen, Süddeutsche Baumwoll-Industrie, 500 T, 20.8.23, entwertet",NoDate
Künzelsau,30.0,Württemberg,20 Mio,Hochinflation 1923,III+,1923_2833.a_20Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103851/kuenzelsau-oberamtssparkasse-20-mio-20.8.23.-reihe-g?c=367,"Künzelsau, Oberamtssparkasse, 20 Mio, 20.8.23. Reihe G",NoDate
Künzelsau,30.0,Württemberg,3 Mio,Hochinflation 1923,II-,1923_2833.a_3Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103852/kuenzelsau-oberamtssparkasse-3-mio-20.8.23-reihe-e?c=367,"Künzelsau, Oberamtssparkasse, 3 Mio, 20.8.23, Reihe E",NoDate
Künzelsau,30.0,Württemberg,5 Mio,Hochinflation 1923,II,1923_2833.a_5Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103853/kuenzelsau-oberamtssparkasse-5-mio-20.8.23-reihe-f?c=367,"Künzelsau, Oberamtssparkasse, 5 Mio, 20.8.23, Reihe F",NoDate
Künzelsau,35.0,Württemberg,2 Mio,Hochinflation 1923,III+,1923_2833.a2_2Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103855/kuenzelsau-oberamtssparkasse-2-mio-20.8.23-wz-braun?c=367,"Künzelsau, Oberamtssparkasse, 2 Mio, 20.8.23, WZ braun",NoDate
Lauffen,50.0,Württemberg,1 Bio,Hochinflation 1923,I-,1923_2947.b_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98959/lauffen-stadt-1-bio-1.10.23?c=367,"Lauffen, Stadt, 1 Bio, 1.10.23",NoDate
Laupheim,25.0,Württemberg,100 T,Hochinflation 1923,I-,1923_2955.eD2_100T,https://www.gap-banknoten.de/detail/index/sArticle/138912/sCategory/367,"Laupheim, A O K, 100 T, 4.8.23, WZ 3,5 mm, RSt",NoDate
Lauterbach,85.0,Württemberg,200 Mio,Hochinflation 1923,III,1923_2969_200Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82311/lauterbach-flaig-200-mio-3.10.23-drfa.-31-mm?c=367,"Lauterbach, Flaig, 200 Mio, 3.10.23; Drfa,. 31 mm",NoDate
Lauterbach,45.0,Württemberg,200 Mio,Hochinflation 1923,IV,1923_2969.b_200Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103875/lauterbach-flaig-200-mio-6.10.23-dfa.-43-mm?c=367,"Lauterbach, Flaig, 200 Mio, 6.10.23, Dfa. 43 mm",NoDate
Lauterbach,60.0,Württemberg,500 Mio,Hochinflation 1923,III,1923_2969.c_500Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82307/lauterbach-flaig-500-mio-10.10.23?c=367,"Lauterbach, Flaig, 500 Mio, 10.10.23",10.10.23
Lauterbach,65.0,Württemberg,10 Mrd,Hochinflation 1923,II,1923_2969.f_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103876/lauterbach-flaig-10-mrd-23.10.23?c=367,"Lauterbach, Flaig, 10 Mrd, 23.10.23",23.10.23
Lauterbach,60.0,Württemberg,5 Mrd,Hochinflation 1923,III+,1923_2969.f_5Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103877/lauterbach-flaig-5-mrd-23.10.23?c=367,"Lauterbach, Flaig, 5 Mrd, 23.10.23",23.10.23
Lauterbach,70.0,Württemberg,500 Mrd,Hochinflation 1923,III,1923_2969.k_500Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103878/lauterbach-flaig-500-mrd-8.11.13?c=367,"Lauterbach, Flaig, 500 Mrd, 8.11.13",NoDate
Lauterbach,55.0,Württemberg,100 Mrd,Hochinflation 1923,III,1923_2969.m_100Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82309/lauterbach-flaig-100-mrd-13.11.23?c=367,"Lauterbach, Flaig, 100 Mrd, 13.11.23",13.11.23
Lauterbach,65.0,Württemberg,300 Mrd,Hochinflation 1923,II,1923_2969.m_300Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103879/lauterbach-flaig-300-mrd-13.11.23?c=367,"Lauterbach, Flaig, 300 Mrd, 13.11.23",13.11.23
Lauterbach,120.0,Württemberg,1 Bio,Hochinflation 1923,I-,1923_2969.n_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82310/lauterbach-flaig-1-bio-15.11.23?c=367,"Lauterbach, Flaig, 1 Bio, 15.11.23",15.11.23
Leutkirch,30.0,Württemberg,1 Bio,Hochinflation 1923,III-,1923_3239.1_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103880/leutkirch-amtskoerperschaft-1-bio-20.8.23-b?c=367,"Leutkirch, Amtskörperschaft, 1 Bio, 20.8.23; ""B""",NoDate
Leutkirch,9.0,Württemberg,100 T,Hochinflation 1923,I,1923_3240.a_100T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103881/leutkirch-oberamtsstadt-100-t-21.8.23?c=367,"Leutkirch, Oberamtsstadt, 100 T, 21.8.23,",NoDate
Leutkirch,50.0,Württemberg,1 Bio,Hochinflation 1923,I-,1923_3240.c_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98960/leutkirch-oberamtsstadt-1-bio-21.8.23?c=367,"Leutkirch, Oberamtsstadt, 1 Bio, 21.8.23",NoDate
Leutkirch,35.0,Württemberg,1 Bio,Hochinflation 1923,III,1923_3240.c_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98961/leutkirch-oberamtsstadt-1-bio-21.8.23?c=367,"Leutkirch, Oberamtsstadt, 1 Bio, 21.8.23",NoDate
Leutkirch,45.0,Württemberg,500 Mrd,Hochinflation 1923,I-,1923_3240.c_500Mrd,https://www.gap-banknoten.de/detail/index/sArticle/129549/sCategory/367,"Leutkirch, Oberamtsstadt, 500 Mrd, 21.8.23, Rahmen li obern ohne ""Quadrat""",NoDate
Leutkirch,60.0,Württemberg,5 Bio,Hochinflation 1923,I-,1923_3240.c_5Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98962/leutkirch-oberamtsstadt-5-bio-21.8.23?c=367,"Leutkirch, Oberamtsstadt, 5 Bio, 21.8.23",NoDate
Leutkirch,40.0,Württemberg,5 Bio,Hochinflation 1923,III,1923_3240.c_5Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98963/leutkirch-oberamtsstadt-5-bio-21.8.23?c=367,"Leutkirch, Oberamtsstadt, 5 Bio, 21.8.23",NoDate
Ludwigsburg,35.0,Württemberg,5 Mrd,Hochinflation 1923,III+,1923_3327.b_5Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61369/ludwigsburg-stadtgemeinde-5-mrd-1.10.23-wz-achteckfliesen?c=367,"Ludwigsburg, Stadtgemeinde, 5 Mrd, 1.10.23, Wz Achteckfliesen",NoDate
Marbach,30.0,Württemberg,20 Mrd,Hochinflation 1923,I-,1923_3434.b_20Mrd,https://www.gap-banknoten.de/detail/index/sArticle/125332/sCategory/367,"Marbach, Stadtgemeinde, 20 Mrd, 1.11.23",NoDate
Marbach,45.0,Württemberg,10 Mio,Hochinflation 1923,II,1923_3435.c_10Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100442/marbach-marbacher-bank-10-mio-23.8.23?c=367,"Marbach, Marbacher Bank, 10 Mio, 23.8.23",NoDate
Marbach,35.0,Württemberg,10 Mio,Hochinflation 1923,II-,1923_3435.c_10Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103883/marbach-marbacher-bank-10-mio-23.8.23?c=367,"Marbach, Marbacher Bank, 10 Mio, 23.8.23",NoDate
Marbach,35.0,Württemberg,1 Mio,Hochinflation 1923,II-,1923_3435.c_1Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103884/marbach-marbacher-bank-1-mio-23.8.23?c=367,"Marbach, Marbacher Bank, 1 Mio, 23.8.23",NoDate
Marbach,35.0,Württemberg,20 Mio,Hochinflation 1923,II,1923_3435.c_20Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103885/marbach-marbacher-bank-20-mio-23.8.23?c=367,"Marbach, Marbacher Bank, 20 Mio, 23.8.23",NoDate
Marbach,55.0,Württemberg,50 Mio,Hochinflation 1923,II-,1923_3436_50Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100443/marbach-oberamtssparkasse-50-mio-15.8.23?c=367,"Marbach, Oberamtssparkasse, 50 Mio, 15.8.23",NoDate
Mengen,30.0,Württemberg,1 Bio,Hochinflation 1923,III-,1923_3517.d_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98966/mengen-stadtgemeinde-1-bio-21.11.23-udr-gelb-kn-6-mm?c=367,"Mengen, Stadtgemeinde, 1 Bio, 21.11.23, Udr gelb; KN 6 mm",21.11.23
Mergentheim,25.0,Württemberg,500 Mio,Hochinflation 1923,III+,1923_3524.i_500Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103887/mergentheim-bad-oberamtsstadt-500-mio-21.8.23-reihe-ix?c=367,"Mergentheim, Bad, Oberamtsstadt, 500 Mio, 21.8.23, Reihe IX",NoDate
Metzingen,12.0,Württemberg,100 T,Hochinflation 1923,III,1923_3536.b_100T,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61374/metzingen-stadtgemeinde-100-t-17.8.23-rs.-stpl.-ohne-innenkreis?c=367,"Metzingen, Stadtgemeinde, 100 T, 17.8.23, Rs. Stpl. ohne Innenkreis",NoDate
Munderkingen,45.0,Württemberg,10 Mrd,Hochinflation 1923,III,1923_3695.a_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100445/munderkingen-stadt-10-mrd-1.11.23-rs.-bild-rotbraun?c=367,"Munderkingen, Stadt, 10 Mrd, 1.11.23; Rs. Bild rotbraun",NoDate
Munderkingen,35.0,Württemberg,10 Mrd,Hochinflation 1923,III,1923_3695.b_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103888/munderkingen-stadt-10-mrd-1.11.23-rs.-bild-olivgruen?c=367,"Munderkingen, Stadt, 10 Mrd, 1.11.23; Rs. Bild olivgrün",NoDate
Munderkingen,75.0,Württemberg,500 Mrd,Hochinflation 1923,III,1923_3695.d_500Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100446/munderkingen-stadt-500-mrd-13.11.23?c=367,"Munderkingen, Stadt, 500 Mrd, 13.11.23",13.11.23
Murrhardt,45.0,Württemberg,1 Bio,Hochinflation 1923,I,1923_3701.g_1Bio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103890/murrhardt-stadt-1-bio-24.10.23?c=367,"Murrhardt, Stadt, 1 Bio, 24.10.23",24.10.23
Murrhardt,120.0,Württemberg,10 Mrd,Hochinflation 1923,I,1923_3701.h_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61375/murrhardt-stadt-10-mrd-3.11.23?c=367,"Murrhardt, Stadt, 10 Mrd, 3.11.23,",NoDate
Murrhardt,160.0,Württemberg,10 Mrd,Hochinflation 1923,II-,1923_3701.h_10Mrd,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61376/murrhardt-heinrich-wieland-10-mrd-29.10.23?c=367,"Murrhardt, Heinrich Wieland, 10 Mrd, 29.10.23",29.10.23
Murrhardt,120.0,Württemberg,500 Mio,Hochinflation 1923,II,1923_3702.D_500Mio,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/61381/murrhardt-h.hansteiner-500-mio-25.10.23?c=367,"Murrhardt, H.Hansteiner, 500 Mio, 25.10.23",25.10.23
