Ort,Provinz,Wert,Date,Periode,Price,Erhaltung,Issuer,Title
Schwäbisch Gmünd,Württemberg,50 Pf,1.10.18,Verkehrsausgaben,4.0,I,Oberamtsstadt," , , , Wz Wellen, Wert gelb"
Schwenningen,Württemberg,50 Pf,10.12.17,Verkehrsausgaben,18.0,I,Stadt," , , , Wz Z-Muster"
Schwenningen,Württemberg,50 Pf,7.1.19,Verkehrsausgaben,7.0,I,Stadt," , , , Wz Z-Muster, Udr hellgrün"
Sigmaringen,Württemberg,50 Pf,1.9.18,Verkehrsausgaben,3.0,I,Stadt," , , , Wz Sutter-Muster"
Sigmaringen,Württemberg,50 Pf,1.8.20,Verkehrsausgaben,2.0,I,Stadt," , , , Wz helle Kreuze, Udr.-Linien zur Ecke"
Sigmaringen,Württemberg,50 Pf,1.8.20,Verkehrsausgaben,2.0,I,Stadt," , , , Wz helle Kreuze, Udr.-Linien quer zur Ecke"
Stuttgart,Württemberg,50 Pf,oD,Verkehrsausgaben,12.0,I,Stadt," , , , Spezial-Wz. Ornament unter WZ schwarz"
Stuttgart,Württemberg,50 Pf,oD,Verkehrsausgaben,6.0,I,Stadt," , , , Spezial-Wz. Ornament unter WZ hell"
Stuttgart,Württemberg,50 Pf,oD,Verkehrsausgaben,2.0,I-,Stadt," , , , Wz Stern-Sechseckmuster, I KN"
Stuttgart,Württemberg,50 Pf,oD,Verkehrsausgaben,2.0,I-,Stadt," , , , Wz Stern-Sechseckmuster, II KN"
Tettnang,Württemberg,50 Pf,1.12.18,Verkehrsausgaben,3.0,I,Stadt," , , , Wz Tropfen, KN 50000-77500"
Tübingen,Württemberg,2 Pf,oD,Verkehrsausgaben,12.0,I,Carl Flammer," , , , Rs. ohne St."
Tuttlingen,Württemberg,50 Pf,oD,Verkehrsausgaben,3.0,I,Stadt," , , , Vs Turmdach vollständig"
Tuttlingen,Württemberg,50 Pf,oD,Verkehrsausgaben,7.0,I-,Stadt," , , , Vs Turmdach verstümmelt"
Vaihingen a. Enz,Württemberg,10 Pf,NoDate,Verkehrsausgaben,7.0,I-,Amtskörperschaft," , , Apr.18 - 31.12.1919, Rs Druck schwarzblau, KN 5 mm"
Vaihingen a. Enz,Württemberg,50 Pf,NoDate,Verkehrsausgaben,9.0,I,Amtskörperschaft," , , Apr.18 - 31.12.1919, Rs Druck schwarzblau, KN 5 mm"
Vaihingen a. Enz,Württemberg,10 Pf,31.12.20,Verkehrsausgaben,12.0,I,Amtskörperschaft," , , Apr.18, gültig bis "
Vaihingen a. Enz,Württemberg,50 Pf,31.12.20,Verkehrsausgaben,12.0,I,Amtskörperschaft," , , Apr.18, gültig bis "
Zuffenhausen,Württemberg,50 Pf,oD,Verkehrsausgaben,4.0,I-,Stadt," , , , N bei No. breit"
Zuffenhausen,Württemberg,50 Pf,oD,Verkehrsausgaben,6.0,I-,Stadt," , , , N bei No. schmal"
Waiblingen,Württemberg,1+1 Pf,oD,Verkehrsausgaben,85.0,I,Schulteissenamt," , , , Karton grün, Doppelstück"
Waiblingen,Württemberg,2+2 Pf,oD,Verkehrsausgaben,85.0,I,Schulteissenamt," , , , Karton sämisch, Doppelstück"
