url,title,price,base_info,table_contents
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/98932/niedermarsberg-stadt-10-mio-17.9.23?c=230,"Niedermarsberg, Stadt, 10 Mio, 17.9.23","70,00 € *",Artikel-Nr.:wfl_1923_3921.a_10Mio_IIIKatalog-Nr.:1923_3921.a_10MioErhaltung:III,Erhaltung:IIIWert:10 MioProvinz:WestfalenPeriode:Hochinflation 1923Ort:Niedermarsberg
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/55783/limbach-oberfrohna-dresdner-bank-50-mio-22.9.23-scheck-auf-commerzbank?c=230,"Limbach-Oberfrohna, Dresdner Bank, 50 Mio, 22.9.23, Scheck auf Commerzbank","12,00 € *",Artikel-Nr.:sac_1923_3276.IIy_50Mio_IIKatalog-Nr.:1923_3276.IIy_50MioErhaltung:II,Erhaltung:IIWert:50 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Limbach-Oberfrohna
https://www.gap-banknoten.de/detail/index/sArticle/118023/sCategory/230,"Duderstadt, Stadt, 20 Bio, 29.11.23, KN 6,5 mm","35,00 € *",Artikel-Nr.:prs_1923_1127.i_20Bio_I-Katalog-Nr.:1923_1127.i_20BioErhaltung:I-,Erhaltung:I-Wert:20 BioProvinz:Provinz SachsenPeriode:Hochinflation 1923Ort:Duderstadt
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/52210/bergneustadt-stadt-100-t-15.8.23-kn-3-5-mm?c=230,"Bergneustadt, Stadt, 100 T, 15.8.23, KN 3,5 mm","25,00 € *",Artikel-Nr.:rhl_1923_0332.b_100T_IIKatalog-Nr.:1923_0332.b_100TErhaltung:II,Erhaltung:IIWert:100 TPeriode:Hochinflation 1923Provinz:RheinlandOrt:Bergneustadt
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/53024/kempen-kreis-100-mio-1.8.23-reihe-a-kn-6-mm?c=230,"Kempen, Kreis, 100 Mio, 1.8.23, Reihe A, KN 6 mm","7,00 € *",Artikel-Nr.:rhl_1923_2605.a_100Mio_II+Katalog-Nr.:1923_2605.a_100MioErhaltung:II+,Erhaltung:II+Wert:100 MioPeriode:Hochinflation 1923Provinz:RheinlandOrt:Kempen
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82153/opladen-landkreis-solingen-10-mrd-15.10.23-wz.-deltamuster-serie-b?c=230,"Opladen, Landkreis Solingen, 10 Mrd, 15.10.23; Wz. Deltamuster; Serie B,","45,00 € *",Artikel-Nr.:rhl_1923_4812.p_10Mrd_II-Katalog-Nr.:1923_4812.p_10MrdErhaltung:II-,Wert:10 MrdErhaltung:II-Periode:Hochinflation 1923Provinz:RheinlandOrt:Opladen
https://www.gap-banknoten.de/detail/index/sArticle/115140/sCategory/230,"Schauenstein, Heye, 1 Mio, 10.8.23, Pap braun, mit Ost","40,00 € *",Artikel-Nr.:hes_1923_4949.c_1Mio_IIIKatalog-Nr.:1923_4949.c_1MioErhaltung:III,Erhaltung:IIIWert:1 MioPeriode:Hochinflation 1923Provinz:HessenOrt:Schauenstein
https://www.gap-banknoten.de/detail/index/sArticle/108435/sCategory/230,"Karlsruhe, Stadt, 20 Mrd, 1.10.23, No (schräg) KN","8,00 € *",Artikel-Nr.:bad_1923_2582.g_20Mrd_II+Katalog-Nr.:1923_2582.g_20MrdErhaltung:II+,Wert:20 MrdErhaltung:II+Provinz:BadenPeriode:Hochinflation 1923Ort:Karlsruhe
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/55080/dresden-landstaendische-bank-1-mrd-18.10.23-h?c=230,"Dresden, Landständische Bank, 1 Mrd, 18.10.23, H","12,00 € *",Artikel-Nr.:sac_1923_1096.d_1Mrd_III-Katalog-Nr.:1923_1096.d_1MrdErhaltung:III-,Erhaltung:III-Wert:1 MrdProvinz:SachsenPeriode:Hochinflation 1923Ort:Dresden
https://www.gap-banknoten.de/detail/index/sArticle/120534/sCategory/230,"Aschaffenburg, W. Arnold, 500 Mrd, 10.11.23, Wz. Bogenkreuzmuster, blanko","80,00 € *",Artikel-Nr.:bay_1923_0055.h_500Mrd_IKatalog-Nr.:1923_0055.h_500MrdErhaltung:I,Erhaltung:IWert:500 MrdProvinz:BayernPeriode:Hochinflation 1923Ort:Aschaffenburg
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/93674/arnstadt-landkreis-1-mio-aug.-23-dr.-olivgruen?c=230,"Arnstadt, Landkreis, 1 Mio, Aug. 23: Dr. olivgrün","40,00 € *",Artikel-Nr.:thue_1923_0137.b_1Mio_IIIKatalog-Nr.:1923_0137.b_1MioErhaltung:III,Erhaltung:IIIWert:1 MioPeriode:Hochinflation 1923Provinz:ThüringenOrt:Arnstadt
https://www.gap-banknoten.de/detail/index/sArticle/114985/sCategory/230,"Frankfurt am Main, Stadt, 100 Mio, 28.9.23, Wz Rundwaben, No KN * schwarz, Serie C","4,00 € *",Artikel-Nr.:hes_1923_1522.p_100Mio_IIKatalog-Nr.:1923_1522.p_100MioErhaltung:II,Erhaltung:IIWert:100 MioPeriode:Hochinflation 1923Provinz:HessenOrt:Frankfurt am Main
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100956/hamburg-handelsgesellschaft-produktion-500-t-13.9.23-b-mit-rotem-s?c=230,"Hamburg, Handelsgesellschaft ""Produktion"", 500 T, 13.9.23, B; mit rotem ""S""","60,00 € *",Artikel-Nr.:slho_1923_2124.c_500T_I-Katalog-Nr.:1923_2124.c_500TErhaltung:I-,Erhaltung:I-Wert:500 TProvinz:Schleswig-HolsteinPeriode:Hochinflation 1923Ort:Hamburg
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/55142/ebersbach-sparkasse-5-mio-3.8.23-papier-weiss-udr-paprikamuster?c=230,"Ebersbach, Sparkasse, 5 Mio, 3.8.23, Papier weiß, Udr Paprikamuster","75,00 € *",Artikel-Nr.:sac_1923_1213.d_5Mio_I-Katalog-Nr.:1923_1213.d_5MioErhaltung:I-,Erhaltung:I-Wert:5 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Ebersbach
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/53026/kempen-kreis-500-mio-1.8.23-reihe-c-kn-6-mm?c=230,"Kempen, Kreis, 500 Mio, 1.8.23, Reihe C, KN 6 mm","8,00 € *",Artikel-Nr.:rhl_1923_2605.a_500Mio_II-Katalog-Nr.:1923_2605.a_500MioErhaltung:II-,Erhaltung:II-Wert:500 MioPeriode:Hochinflation 1923Provinz:RheinlandOrt:Kempen
https://www.gap-banknoten.de/detail/index/sArticle/126487/sCategory/230,"Hamburg, Privat-Bank von 1860, 20 Mrd, 24.10.23, № KN 4,5 mm","20,00 € *",Artikel-Nr.:slho_1923_2120.e2_20Mrd_I-Katalog-Nr.:1923_2120.e2_20MrdErhaltung:I-,Erhaltung:I-Wert:20 MrdProvinz:Schleswig-HolsteinPeriode:Hochinflation 1923Ort:Hamburg
https://www.gap-banknoten.de/detail/index/sArticle/107017/sCategory/230,"Hannover, Reichsbahndirektion, 20 Mrd, oliv auf grau, A vorgedr.","12,00 € *",Artikel-Nr.:han_1923_0011.09a_20Mrd_II-Katalog-Nr.:1923_0011.09a_20MrdErhaltung:II-,Wert:20 MrdErhaltung:II-Periode:Hochinflation 1923Provinz:HannoverOrt:Hannover
https://www.gap-banknoten.de/detail/index/sArticle/114942/sCategory/230,"Darmstadt, Landesbank, 5 Mrd, 1.10.23, KN Serie A, C, E","4,00 € *",Artikel-Nr.:hes_1923_0956.e1_5Mrd_IIIKatalog-Nr.:1923_0956.e1_5MrdErhaltung:III,Erhaltung:IIIWert:5 MrdPeriode:Hochinflation 1923Provinz:HessenOrt:Darmstadt
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103928/reutlingen-stadt-20-mrd-15.10.23-1-buchstaben-vor-kn?c=230,"Reutlingen, Stadt, 20 Mrd, 15.10.23, 1 Buchstaben vor KN","30,00 € *",Artikel-Nr.:wtb_1923_4545.d_20Mrd_I-Katalog-Nr.:1923_4545.d_20MrdErhaltung:I-,Erhaltung:I-Wert:20 MrdPeriode:Hochinflation 1923Provinz:WürttembergOrt:Reutlingen
https://www.gap-banknoten.de/detail/index/sArticle/107022/sCategory/230,"Hannover, Reichsbahndirektion, 50 Mrd, 24.10.23","26,00 € *",Artikel-Nr.:han_1923_0011.11c_50Mrd_IIKatalog-Nr.:1923_0011.11c_50MrdErhaltung:II,Erhaltung:IIWert:50 MrdPeriode:Hochinflation 1923Provinz:HannoverOrt:Hannover
https://www.gap-banknoten.de/detail/index/sArticle/120850/sCategory/230,"Kulmbach, Maschinenfabrik Kulmbach, 2 Mio, 20.8.23, a. Dividendenschein v. 8.4.1920","80,00 € *",Artikel-Nr.:bay_1923_2842_2Mio_IIIKatalog-Nr.:1923_2842_2MioErhaltung:III,Erhaltung:IIIWert:2 MioProvinz:BayernPeriode:Hochinflation 1923Ort:Kulmbach
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/52966/hueckeswagen-rennerwerke-gmbh-2-mio-od-ohne-kn?c=230,"Hückeswagen, Rennerwerke GmbH, 2 Mio, oD, ohne KN","40,00 € *",Artikel-Nr.:rhl_1923_2462.a_2Mio_I-Katalog-Nr.:1923_2462.a_2MioErhaltung:I-,Erhaltung:I-Wert:2 MioPeriode:Hochinflation 1923Provinz:RheinlandOrt:Hückeswagen
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/56429/siegmar-carl-willecke-co.-20-mio-20.9.23-h-eigenscheck?c=230,"Siegmar, Carl Willecke & Co., 20 Mio, 20.9.23, H, Eigenscheck","20,00 € *",Artikel-Nr.:sac_1923_4788.a_20Mio_IIKatalog-Nr.:1923_4788.a_20MioErhaltung:II,Erhaltung:IIWert:20 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Siegmar
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/54135/trier-stadt-10-mio-10.9.23-wz-deltamuster?c=230,"Trier, Stadt, 10 Mio, 10.9.23, Wz Deltamuster","14,00 € *",Artikel-Nr.:rhl_1923_5209.h_10Mio_IIKatalog-Nr.:1923_5209.h_10MioErhaltung:II,Erhaltung:IIWert:10 MioPeriode:Hochinflation 1923Provinz:RheinlandOrt:Trier
https://www.gap-banknoten.de/detail/index/sArticle/106400/sCategory/230,"Riesa, Stadt, 2 Mio, 21.8.23, X","50,00 € *",Artikel-Nr.:sac_1923_4574.f_2Mio_III+Katalog-Nr.:1923_4574.f_2MioErhaltung:III+,Wert:2 MioErhaltung:III+Provinz:SachsenPeriode:Hochinflation 1923Ort:Riesa
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/54080/solingen-wald-gebr.-krusius-1-mio-17.8.23-datum-gestempelt?c=230,"Solingen-Wald, Gebr. Krusius, 1 Mio, 17.8.23, Datum gestempelt","80,00 € *",Artikel-Nr.:rhl_1923_4811.b_1Mio_III-Katalog-Nr.:1923_4811.b_1MioErhaltung:III-,Wert:1 MioErhaltung:III-Periode:Hochinflation 1923Provinz:RheinlandOrt:Solingen-Wald
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/54717/chemnitz-chemnitzer-kettenfabrik-2-mio-20.8.23?c=230,"Chemnitz, Chemnitzer Kettenfabrik, 2 Mio, 20.8.23","35,00 € *",Artikel-Nr.:sac_1923_0772.a_2Mio_IKatalog-Nr.:1923_0772.a_2MioErhaltung:I,Erhaltung:IWert:2 MioProvinz:SachsenPeriode:Hochinflation 1923Ort:Chemnitz
