ID,year,steam_number1845,steam_number1858,steam_number1869,emp_dummy1834
10101.0,1821,0.0,1.0,2.0,0.0
10101.0,1834,0.0,1.0,2.0,0.0
10101.0,1837,0.0,1.0,2.0,0.0
10101.0,1840,0.0,1.0,2.0,0.0
10101.0,1843,0.0,1.0,2.0,0.0
10101.0,1846,0.0,1.0,2.0,0.0
10101.0,1849,0.0,1.0,2.0,0.0
10101.0,1852,0.0,1.0,2.0,0.0
10101.0,1855,0.0,1.0,2.0,0.0
10101.0,1858,0.0,1.0,2.0,0.0
10101.0,1861,0.0,1.0,2.0,0.0
10101.0,1864,0.0,1.0,2.0,0.0
10101.0,1867,0.0,1.0,2.0,0.0
10101.0,1871,0.0,1.0,2.0,0.0
10101.0,1875,0.0,1.0,2.0,0.0
10101.0,1880,0.0,1.0,2.0,0.0
10101.0,1885,0.0,1.0,2.0,0.0
10101.0,1890,0.0,1.0,2.0,0.0
10101.0,1895,0.0,1.0,2.0,0.0
10101.0,1900,0.0,1.0,2.0,0.0
10101.0,1905,0.0,1.0,2.0,0.0
10101.0,1910,0.0,1.0,2.0,0.0
10101.0,1919,0.0,1.0,2.0,0.0
10101.0,1925,0.0,1.0,2.0,0.0
10102.0,1821,0.0,0.0,0.0,0.0
10102.0,1834,0.0,0.0,0.0,0.0
10102.0,1837,0.0,0.0,0.0,0.0
10102.0,1840,0.0,0.0,0.0,0.0
10102.0,1843,0.0,0.0,0.0,0.0
10102.0,1846,0.0,0.0,0.0,0.0
10102.0,1849,0.0,0.0,0.0,0.0
10102.0,1852,0.0,0.0,0.0,0.0
10102.0,1855,0.0,0.0,0.0,0.0
10102.0,1858,0.0,0.0,0.0,0.0
10102.0,1861,0.0,0.0,0.0,0.0
10102.0,1864,0.0,0.0,0.0,0.0
10102.0,1867,0.0,0.0,0.0,0.0
10102.0,1871,0.0,0.0,0.0,0.0
10102.0,1875,0.0,0.0,0.0,0.0
10102.0,1880,0.0,0.0,0.0,0.0
10102.0,1885,0.0,0.0,0.0,0.0
10102.0,1890,0.0,0.0,0.0,0.0
10102.0,1895,0.0,0.0,0.0,0.0
10102.0,1900,0.0,0.0,0.0,0.0
10102.0,1905,0.0,0.0,0.0,0.0
10102.0,1910,0.0,0.0,0.0,0.0
10102.0,1919,0.0,0.0,0.0,0.0
10102.0,1925,0.0,0.0,0.0,0.0
10103.0,1821,0.0,0.0,0.0,0.0
10103.0,1834,0.0,0.0,0.0,0.0
10103.0,1837,0.0,0.0,0.0,0.0
10103.0,1840,0.0,0.0,0.0,0.0
10103.0,1843,0.0,0.0,0.0,0.0
10103.0,1846,0.0,0.0,0.0,0.0
10103.0,1849,0.0,0.0,0.0,0.0
10103.0,1852,0.0,0.0,0.0,0.0
10103.0,1855,0.0,0.0,0.0,0.0
10103.0,1858,0.0,0.0,0.0,0.0
10103.0,1861,0.0,0.0,0.0,0.0
10103.0,1864,0.0,0.0,0.0,0.0
10103.0,1867,0.0,0.0,0.0,0.0
10103.0,1871,0.0,0.0,0.0,0.0
10103.0,1875,0.0,0.0,0.0,0.0
10103.0,1880,0.0,0.0,0.0,0.0
10103.0,1885,0.0,0.0,0.0,0.0
10103.0,1890,0.0,0.0,0.0,0.0
10103.0,1895,0.0,0.0,0.0,0.0
10103.0,1900,0.0,0.0,0.0,0.0
10103.0,1905,0.0,0.0,0.0,0.0
10103.0,1910,0.0,0.0,0.0,0.0
10103.0,1919,0.0,0.0,0.0,0.0
10103.0,1925,0.0,0.0,0.0,0.0
10104.0,1821,0.0,0.0,0.0,0.0
10104.0,1834,0.0,0.0,0.0,0.0
10104.0,1837,0.0,0.0,0.0,0.0
10104.0,1840,0.0,0.0,0.0,0.0
10104.0,1843,0.0,0.0,0.0,0.0
10104.0,1846,0.0,0.0,0.0,0.0
10104.0,1849,0.0,0.0,0.0,0.0
10104.0,1852,0.0,0.0,0.0,0.0
10104.0,1855,0.0,0.0,0.0,0.0
10104.0,1858,0.0,0.0,0.0,0.0
10104.0,1861,0.0,0.0,0.0,0.0
10104.0,1864,0.0,0.0,0.0,0.0
10104.0,1867,0.0,0.0,0.0,0.0
