"'","'","'","'","'","'","'","'Den ","'gülftigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'","'0,4 ","'64,7 ","'211 ","'2 ","'1 ","'119 ","'2 ","'2 ","'16 ","'- ","'1 ","'- ","'68 ",
"'a. IB. ","'0,7 ","'59,3 ","'252 ","'8 ","'1 ","'97 ","'4 ","'17 ","'9 ","'- ","'2 ","'3 ","'111 ",
"'","'","'67,6 ","'94 ","'- ","'- ","'63 ","'2 ","'- ","'6 ","'- ","'- ","'- ","'23 ",
"'Reuenftein ","'3,4 ","'70,3 ","'684 ","'163 ","'4 ","'89 ","'17 ","'21 ","'24 ","'1 ","'10 ","'2 ","'353 ",
"'Reubütten . ","'0,7 ","'45,1 ","'192 ","'15 ","'- ","'25 ","'2 ","'1 ","'- ","'- ","'5 ","'1 ","'143 ",
"'Reureut . ","'0,8 ","'78,2 ","'121 ","'- ","'- ","'84 ","'- ","'- ","'3 ","'- ","'3 ","'- ","'31 ",
"'Obereppad) . ","'1,1 ","'68,8 ","'172 ","'6 ","'2 ","'82 ","'1 ","'- ","'5 ","'- ","'1 ","'- ","'75 ",
"'Oberohrn ","'- ","'66,7 ","'96 ","'- ","'2 ","'69 ","'- ","'- ","'- ","'- ","'- ","'- ","'25 ",
"'Oberföllbad) ","'0,3 ","'67,2 ","'121 ","'1 ","'- ","'68 ","'- ","'- ","'5 ","'- ","'4 ","'- ","'43 ",
"'Oberfteinbad) . ","'2,6 ","'54,0 ","'107 ","'1 ","'- ","'68 ","'- ","'- ","'8 ","'- ","'2 ","'- ","'28 ",
"'Ohrnberg ","'4,5 ","'76,4 ","'261 ","'32 ","'2 ","'61 ","'2 ","'2 ","'2 ","'7 ","'14 ","'1 ","'138 ",
"'Drenbelfall ","'0,5 ","'85,1 ","'103 ","'1 ","'- ","'23 ","'- ","'3 ","'1 ","'- ","'3 ","'- ","'72 ",
"'$febeIbad) ","'16,8 ","'52,9 ","'488 ","'81 ","'40 ","'104 ","'11 ","'44 ","'8 ","'4 ","'15 ","'3 ","'178 ",
