"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Gärtringen ","'1,1 ","'65,1 ","'682 ","'32 ","'1 ","'196 ","'10 ","'130 ","'11 ","'15 ","'22 ","'3 ","'262 ",
"'Gültftein ","'0,1 ","'65,8 ","'422 ","'20 ","'- ","'216 ","'4 ","'59 ","'1 ","'- ","'24 ","'7 ","'91 ",
"'Saslad) ","'0,6 ","'68,5 ","'210 ","'3 ","'- ","'91 ","'2 ","'4 ","'- ","'1 ","'11 ","'- ","'98 ",
"'","'0,6 ","'61,4 ","'342 ","'2 ","'2 ","'148 ","'5 ","'33 ","'9 ","'1 ","'2 ","'- ","'140 ",
"'Ranh ","'0,3 ","'73,9 ","'322 ","'9 ","'- ","'112 ","'3 ","'- ","'4 ","'- ","'9 ","'- ","'185 ",
"'Suppingen ","'0,4 ","'69,3 ","'446 ","'11 ","'- ","'267 ","'6 ","'12 ","'4 ","'2 ","'27 ","'1 ","'116 ",
"'","'0,2 ","'50,5 ","'157 ","'2 ","'- ","'69 ","'3 ","'13 ","'- ","'1 ","'6 ","'- ","'63 ",
"'Slögingen ","'","'66,7 ","'503 ","'28 ","'- ","'244 ","'1 ","'45 ","'5 ","'3 ","'2 ","'3 ","'172 ",
"'Rebringen ","'0,5 ","'78,7 ","'316 ","'3 ","'- ","'107 ","'- ","'6 ","'- ","'- ","'17 ","'1 ","'182 ",
"'gufringen ","'0,8 ","'56,9 ","'485 ","'21 ","'- ","'143 ","'7 ","'101 ","'3 ","'4 ","'32 ","'1 ","'173 ",
"'Oberjefingen ","'0,3 ","'82,6 ","'389 ","'9 ","'- ","'297 ","'4 ","'15 ","'2 ","'1 ","'- ","'2 ","'59 ",
"'Oberjettingen ","'0,9 ","'82,1 ","'514 ","'3 ","'1 ","'179 ","'- ","'2 ","'7 ","'2 ","'6 ","'- ","'314 ",
"'Obernborf ","'99,4 ","'61,4 ","'248 ","'1 ","'200 ","'4 ","'- ","'- ","'- ","'- ","'- ","'2 ","'41 ",
"'Öfdelbronn ","'0,4 ","'59,9 ","'372 ","'8 ","'- ","'174 ","'- ","'53 ","'3 ","'8 ","'9 ","'- ","'115 ",
"'Bräffingen ","'0,3 ","'62,5 ","'161 ","'1 ","'- ","'29 ","'2 ","'21 ","'5 ","'2 ","'11 ","'- ","'90 ",
"'Boltringen ","'91,7 ","'82,8 ","'301 ","'- ","'239 ","'6 ","'2 ","'3 ","'- ","'- ","'- ","'1 ","'50 ",
"'Reuften ","'- ","'80,6 ","'274 ","'5 ","'- ","'61 ","'- ","'2 ","'2 ","'5 ","'9 ","'1 ","'189 ",
"'Robrau ","'- ","'58,8 ","'161 ","'3 ","'- ","'59 ","'- ","'9 ","'- ","'- ","'1 ","'- ","'89 ",
"'Sailfingen ","'0,7 ","'54,2 ","'255 ","'4 ","'- ","'132 ","'6 ","'11 ","'5 ","'4 ","'6 ","'- ","'87 ",
"'Unterjefingen ","'1,4 ","'45,6 ","'298 ","'13 ","'2 ","'34 ","'11 ","'41 ","'3 ","'2 ","'69 ","'4 ","'119 ",
"'Unterjettingen ","'0,8 ","'81,7 ","'599 ","'12 ","'3 ","'332 ","'1 ","'8 ","'11 ","'3 ","'16 ","'2 ","'211 ",
"'Gumme ","'7,2 ","'68,2 ","'11 092 ","'404 ","'608 ","'3 827 ","'189 ","'845 ","'179 ","'164 ","'514 ","'89 ","'4273 ",
"'Sorb ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Sorb ","'73,0 ","'75,2 ","'1 380 ","'144 ","'680 ","'18 ","'98 ","'24 ","'20 ","'26 ","'47 ","'38 ","'285 ",
"'","'96,8 ","'69,7 ","'235 ","'6 ","'144 ","'35 ","'- ","'20 ","'- ","'- ","'- ","'1 ","'29 ",
"'Witheim ","'97,7 ","'72,0 ","'392 ","'5 ","'203 ","'107 ","'4 ","'6 ","'- ","'- ","'1 ","'1 ","'65 ",
"'Baifingen ","'85,6 ","'78,0 ","'352 ","'7 ","'216 ","'83 ","'30 ","'4 ","'- ","'- ","'- ","'2 ","'10 ",
"'Bieringen ","'99,3 ","'73,8 ","'253 ","'6 ","'157 ","'26 ","'1 ","'36 ","'2 ","'1 ","'- ","'- ","'24 ",
"'Bierlingen ","'98,8 ","'55,1 ","'234 ","'12 ","'108 ","'17 ","'1 ","'10 ","'3 ","'- ","'- ","'2 ","'81 ",
"'BilDedjingen ","'95,3 ","'82,0 ","'260 ","'- ","'159 ","'52 ","'- ","'- ","'- ","'- ","'- ","'1 ","'48 ",
"'Bittelbronn ","'99,5 ","'85,2 ","'184 ","'- ","'132 ","'27 ","'- ","'1 ","'- ","'- ","'- ","'- ","'24 ",
"'Börftingen ","'97,4 ","'89,3 ","'218 ","'8 ","'158 ","'1 ","'- ","'8 ","'1 ","'- ","'- ","'2 ","'40 ",
"'Eutingen ","'89,4 ","'72,2 ","'488 ","'5 ","'172 ","'184 ","'5 ","'22 ","'2 ","'- ","'4 ","'5 ","'89 ",
"'Fellborf ","'97,4 ","'78,8 ","'189 ","'3 ","'128 ","'20 ","'3 ","'4 ","'- ","'- ","'- ","'1 ","'30 ",
"'Göttelfingen ","'98,8 ","'90,6 ","'230 ","'1 ","'138 ","'80 ","'- ","'- ","'1 ","'- ","'- ","'- ","'10 ",
"'Grünmettftetten ","'96,8 ","'84,8 ","'307 ","'- ","'233 ","'62 ","'2 ","'- ","'- ","'- ","'- ","'- ","'10 ",
"'Gündringen ","'90,3 ","'85,3 ","'301 ","'28 ","'229 ","'18 ","'1 ","'1 ","'- ","'1 ","'- ","'3 ","'20 ",
"'Sodjooff ","'2,0 ","'70,7 ","'451 ","'52 ","'- ","'94 ","'5 ","'11 ","'8 ","'3 ","'14 ","'1 ","'263 ",
"'Shlingen ","'77,0 ","'69,5 ","'41 ","'7 ","'16 ","'8 ","'- ","'4 ","'- ","'- ","'1 ","'- ","'5 ",
"'Sfenbutg ","'96,8 ","'69,4 ","'100 ","'4 ","'35 ","'1 ","'3 ","'5 ","'1 ","'- ","'- ","'- ","'51 ",
