"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Bros. Anteil ber tath. 9e= völtg. ","'be- teili- gung in % ","'gebene gültige Gtim- men ","'Go- sial- Demo- tratie ","'8en- trum ","'Bau- ern- u. gürt- ner- Bund ","'Deut- (d)e De- mo- trat. Dartei ","'Stom- mu- nift. Dartei ","'D.'na- tionale Bolfo- partet ","'Deut- idje Bolte- part.ui. Bollo- ton). Bergg. ","'Œbrl. Bolts bienft ","'redit- partei ","'Ratio- nal- fos. Deutidje Wrb.- Partei ",
"'Simmental ","'90,3 ","'70,7 ","'117 ","'4 ","'84 ","'21 ","'1 ","'- ","'- ","'- ","'- ","'- ","'7 ",
"'Süftenrot ","'2,5 ","'43,1 ","'321 ","'71 ","'3 ","'33 ","'14 ","'40 ","'9 ","'- ","'8 ","'4 ","'139 ",
"'Gumme ","'13,6 ","'74,6 ","'50912 ","'8 841 ","'3 847 ","'5 392 ","'4726 ","'4 075 ","'1 150 ","'550 ","'2672 ","'420 ","'9239 ",
"'ou. Serrenberg ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Serrenberg ","'4,5 ","'68,2 ","'1 494 ","'177 ","'35 ","'170 ","'106 ","'196 ","'82 ","'85 ","'95 ","'57 ","'491 ",
"'diffitätt ","'- ","'82,6 ","'256 ","'- ","'- ","'166 ","'- ","'3 ","'1 ","'- ","'1 ","'- ","'85 ",
"'Witingen ","'43,3 ","'69,7 ","'356 ","'12 ","'118 ","'73 ","'1 ","'16 ","'1 ","'2 ","'5 ","'- ","'128 ",
"'Bonborf ","'1,4 ","'76,3 ","'790 ","'9 ","'1 ","'312 ","'4 ","'23 ","'7 ","'14 ","'7 ","'2 ","'411 ",
"'Breitenhola ","'0,4 ","'71,8 ","'226 ","'- ","'- ","'131 ","'2 ","'- ","'2 ","'- ","'15 ","'- ","'76 ",
"'Entringen ","'3,0 ","'69,5 ","'513 ","'16 ","'6 ","'75 ","'9 ","'37 ","'11 ","'9 ","'112 ","'2 ","'236 ",
