"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Red)berg ","'95,6 ","'61,5 ","'261 ","'6 ","'175 ","'13 ","'- ","'30 ","'1 ","'- ","'3 ","'3 ","'30 ",
"'Reidjenbad) ","'96,2 ","'60,5 ","'180 ","'12 ","'135 ","'14 ","'1 ","'- ","'1 ","'- ","'1 ","'3 ","'13 ",
"'Gpraitbad) ","'72,8 ","'61,3 ","'268 ","'6 ","'117 ","'67 ","'- ","'3 ","'1 ","'- ","'18 ","'20 ","'36 ",
"'Gtragborf ","'92,1 ","'61,6 ","'529 ","'35 ","'328 ","'52 ","'1 ","'62 ","'1 ","'1 ","'9 ","'3 ","'37 ",
"'Säferrot ","'2,5 ","'54,0 ","'218 ","'2 ","'1 ","'157 ","'2 ","'2 ","'1 ","'- ","'13 ","'2 ","'38 ",
"'Unterböbingen ","'93,8 ","'63,8 ","'286 ","'7 ","'222 ","'19 ","'1 ","'22 ","'- ","'- ","'- ","'1 ","'14 ",
"'Salbftetten ","'98,7 ","'64,2 ","'849 ","'31 ","'494 ","'49 ","'7 ","'115 ","'7 ","'1 ","'1 ","'31 ","'113 ",
"'Beiler i. b. Berg. ","'99,5 ","'72,4 ","'299 ","'2 ","'236 ","'17 ","'3 ","'3 ","'- ","'- ","'- ","'4 ","'34 ",
"'Binaingen ","'99,6 ","'89,6 ","'245 ","'21 ","'153 ","'20 ","'- ","'9 ","'4 ","'- ","'- ","'- ","'38 ",
"'SBißgoldingen ","'99,5 ","'76,0 ","'289 ","'9 ","'235 ","'6 ","'1 ","'2 ","'- ","'1 ","'- ","'2 ","'33 ",
"'Gumme ","'73,8 ","'71,3 ","'20 427 ","'1 166 ","'539 ","'1 364 ","'390 ","'2 086 ","'405 ","'188 ","'739 ","'424 ","'3126 ",
"'Göppingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Göppingen ","'18,2 ","'74,3 ","'11 850 ","'3111 ","'1316 ","'102 ","'1606 ","'1 489 ","'458 ","'531 ","'883 ","'188 ","'2 166 ",
"'Wibershaufen ","'0,5 ","'76,3 ","'662 ","'131 ","'2 ","'90 ","'33 ","'186 ","'11 ","'8 ","'37 ","'- ","'164 ",
"'Muenborf ","'0,2 ","'48,8 ","'148 ","'27 ","'- ","'12 ","'4 ","'1 ","'2 ","'6 ","'14 ","'- ","'82 ",
"'Bartenbad) ","'1,8 ","'75,4 ","'476 ","'167 ","'3 ","'120 ","'29 ","'86 ","'1 ","'4 ","'23 ","'3 ","'40 ",
"'Beagenriet ","'0,2 ","'70,6 ","'245 ","'3 ","'- ","'137 ","'7 ","'18 ","'3 ","'- ","'2 ","'2 ","'73 ",
"'Birenbad) ","'57,7 ","'56,9 ","'122 ","'16 ","'57 ","'25 ","'1 ","'12 ","'- ","'1 ","'4 ","'- ","'6 ",
"'Boll ","'0,5 ","'56,8 ","'541 ","'91 ","'1 ","'66 ","'28 ","'95 ","'21 ","'9 ","'142 ","'2 ","'86 ",
"'Börtlingen ","'0,8 ","'57,2 ","'251 ","'33 ","'- ","'124 ","'3 ","'32 ","'2 ","'1 ","'17 ","'- ","'39 ",
"'Büngwangen ","'0,4 ","'65,9 ","'200 ","'44 ","'- ","'61 ","'5 ","'20 ","'1 ","'5 ","'9 ","'- ","'55 ",
"'Dürnau ","'2,4 ","'59,1 ","'188 ","'9 ","'- ","'43 ","'5 ","'56 ","'3 ","'3 ","'10 ","'- ","'59 ",
"'Eberebad) ","'5,6 ","'67,7 ","'704 ","'495 ","'27 ","'214 ","'102 ","'223 ","'19 ","'10 ","'93 ","'5 ","'516 ",
"'Œfdjenbad) ","'0,3 ","'76,6 ","'186 ","'7 ","'1 ","'96 ","'","'11 ","'1 ","'5 ","'2 ","'- ","'63 ",
"'Faurnbau ","'5,3 ","'71,0 ","'088 ","'358 ","'20 ","'119 ","'64 ","'201 ","'24 ","'24 ","'129 ","'5 ","'144 ",
"'Gammelehaufen ","'- ","'68,4 ","'142 ","'6 ","'- ","'19 ","'1 ","'17 ","'- ","'6 ","'23 ","'- ","'70 ",
"'Großeislingen ","'58,7 ","'70,7 ","'084 ","'403 ","'847 ","'136 ","'85 ","'235 ","'28 ","'39 ","'91 ","'8 ","'212 ",
"'Øruibingen ","'0,4 ","'58,4 ","'333 ","'16 ","'1 ","'170 ","'3 ","'9 ","'11 ","'4 ","'5 ","'1 ","'113 ",
"'Sattenhofen ","'0,4 ","'53,9 ","'329 ","'26 ","'2 ","'68 ","'2 ","'70 ","'8 ","'5 ","'20 ","'- ","'128 ",
"'beiningen ","'0,5 ","'74,8 ","'645 ","'81 ","'- ","'83 ","'10 ","'154 ","'1 ","'2 ","'42 ","'2 ","'270 ",
"'Sobenftaufen ","'3,9 ","'60,6 ","'450 ","'114 ","'4 ","'95 ","'32 ","'116 ","'4 ","'10 ","'12 ","'- ","'63 ",
"'Solabaujen ","'2,5 ","'59,6 ","'187 ","'20 ","'- ","'57 ","'1 ","'55 ","'1 ","'- ","'11 ","'1 ","'41 ",
"'Solabeim ","'2,8 ","'70,2 ","'863 ","'183 ","'5 ","'116 ","'43 ","'299 ","'4 ","'11 ","'46 ","'1 ","'155 ",
"'Sebenhaujen ","'3,2 ","'72,1 ","'588 ","'106 ","'1 ","'71 ","'37 ","'272 ","'5 ","'22 ","'39 ","'- ","'35 ",
"'Rleineislingen ","'10,9 ","'54,0 ","'646 ","'351 ","'51 ","'119 ","'76 ","'570 ","'24 ","'54 ","'173 ","'9 ","'219 ",
"'Waitis ","'3,6 ","'84,4 ","'124 ","'2 ","'- ","'80 ","'2 ","'- ","'- ","'1 ","'- ","'- ","'39 ",
"'Oberwälben ","'0,9 ","'76,5 ","'101 ","'10 ","'- ","'78 ","'- ","'1 ","'4 ","'1 ","'2 ","'- ","'5 ",
"'Ottenbad) ","'92,7 ","'81,3 ","'343 ","'8 ","'258 ","'38 ","'1 ","'6 ","'- ","'- ","'3 ","'2 ","'27 ",
"'9Redbberghaufen ","'92,4 ","'58,7 ","'630 ","'135 ","'338 ","'38 ","'7 ","'66 ","'5 ","'6 ","'1 ","'- ","'34 ",
"'Reidjenbad) Fils ","'3,4 ","'69,9 ","'1 170 ","'201 ","'7 ","'68 ","'62 ","'218 ","'20 ","'17 ","'101 ","'20 ","'456 ",
"'Galad) ","'71,1 ","'71,3 ","'1 420 ","'133 ","'642 ","'73 ","'39 ","'140 ","'15 ","'11 ","'116 ","'16 ","'235 ",
"'Gd)Iat ","'0,9 ","'55,5 ","'318 ","'41 ","'5 ","'94 ","'22 ","'58 ","'13 ","'6 ","'20 ","'1 ","'58 ",
