"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Anteil ber tath. 98- völfg. ","'9Babl= be= teili- guing in % ","'%bge- gebene gültige Gtim- men ","'Go- gial- bemo- fratie ","'3en- trum ","'Bau- ern- 11. SBein- gärt- ner- Bund ","'Deut- (d)e De- mo- trat. Dartei ","'Rom- mu- nift. Bartei ","'D.'na- tionale partei ","'Deut- (die Bolts- part.u. Bolfs- tonj. Bergg. ","'Chrl. bienft ","'Bolfs. redit- partei ","'Ratio- nal- (03- Deuildye Wrb Bartei ",
"'Serlitojen ","'97,6 ","'81,9 ","'637 ","'27 ","'434 ","'18 ","'3 ","'122 ","'1 ","'- ","'1 ","'3 ","'28 ",
"'Seubad) ","'32,7 ","'66,0 ","'039 ","'103 ","'264 ","'99 ","'47 ","'26 ","'24 ","'16 ","'178 ","'50 ","'232 ",
"'Sggingen ","'95,2 ","'64,1 ","'377 ","'3 ","'258 ","'71 ","'- ","'4 ","'- ","'2 ","'1 ","'2 ","'36 ",
"'gautern ","'88,2 ","'79,1 ","'269 ","'13 ","'166 ","'59 ","'1 ","'9 ","'6 ","'- ","'1 ","'- ","'14 ",
"'geingell ","'88,0 ","'52,1 ","'308 ","'11 ","'137 ","'10 ","'1 ","'90 ","'2 ","'- ","'4 ","'20 ","'33 ",
"'Pinbad) ","'0,5 ","'51,7 ","'266 ","'22 ","'2 ","'28 ","'1 ","'57 ","'4 ","'1 ","'37 ","'9 ","'105 ",
"'glögglingen ","'92,5 ","'77,1 ","'675 ","'11 ","'378 ","'79 ","'3 ","'16 ","'2 ","'- ","'6 ","'7 ","'173 ",
"'Wutlangen ","'92,8 ","'63,2 ","'451 ","'16 ","'275 ","'21 ","'- ","'67 ","'3 ","'- ","'1 ","'8 ","'60 ",
"'Oberbettringen ","'98,1 ","'79,1 ","'797 ","'37 ","'543 ","'42 ","'2 ","'103 ","'2 ","'1 ","'1 ","'9 ","'57 ",
"'Oberböbingen ","'47,5 ","'71,2 ","'337 ","'1 ","'132 ","'121 ","'4 ","'15 ","'4 ","'- ","'15 ","'3 ","'42 ",
