"'","'","'","'","'","'","'9on ","'ben gültigen ","'","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Demmingen ","'99,8 ","'90,8 ","'236 ","'1 ","'224 ","'4 ","'- ","'1 ","'1 ","'- ","'- ","'- ","'3 ",
"'Dirgenheim ","'100,0 ","'83,7 ","'100 ","'- ","'74 ","'22 ","'- ","'- ","'- ","'- ","'- ","'1 ","'42 ",
"'Difdingen ","'96,6 ","'80,9 ","'415 ","'9 ","'248 ","'95 ","'- ","'4 ","'8 ","'7 ","'2 ","'- ","'43 ",
"'Dorfmerfingen ","'95,4 ","'77,5 ","'327 ","'4 ","'247 ","'13 ","'3 ","'11 ","'2 ","'1 ","'2 ","'1 ","'7 ",
"'Dunftelfingen ","'99,6 ","'83,9 ","'240 ","'2 ","'213 ","'17 ","'1 ","'- ","'- ","'- ","'- ","'- ","'TO ",
"'Ebnat ","'98,6 ","'66,5 ","'430 ","'12 ","'329 ","'14 ","'- ","'3 ","'1 ","'- ","'1 ","'- ","'26 ",
"'Œglingen ","'97,4 ","'68,1 ","'239 ","'1 ","'181 ","'26 ","'2 ","'1 ","'2 ","'- ","'- ","'- ","'Il ",
"'Œldingen ","'99,4 ","'88,9 ","'350 ","'4 ","'319 ","'3 ","'1 ","'12 ","'- ","'- ","'- ","'- ","'15 ",
"'Flod)berg ","'94,2 ","'82,4 ","'288 ","'6 ","'241 ","'10 ","'6 ","'7 ","'- ","'- ","'1 ","'2 ","'5 ",
"'Fridingen ","'97,2 ","'76,7 ","'180 ","'9 ","'153 ","'9 ","'3 ","'- ","'1 ","'- ","'- ","'- ","'37 ",
"'Golbburghaufen ","'0,3 ","'85,6 ","'166 ","'- ","'- ","'125 ","'2 ","'- ","'2 ","'- ","'- ","'- ","'12 ",
"'Großfudjen ","'98,6 ","'82,6 ","'320 ","'1 ","'296 ","'8 ","'- ","'1 ","'1 ","'- ","'1 ","'- ","'50 ",
"'bülen ","'93,0 ","'88,7 ","'170 ","'2 ","'111 ","'2 ","'- ","'1 ","'2 ","'1 ","'- ","'1 ","'20 ",
"'Rertingen ","'99,9 ","'87,6 ","'300 ","'1 ","'256 ","'22 ","'- ","'1 ","'- ","'- ","'- ","'- ","'60 ",
"'Sirdbeim a. Ries ","'49,4 ","'64,0 ","'292 ","'7 ","'127 ","'91 ","'3 ","'2 ","'1 ","'1 ","'- ","'- ","'",
