"'","'","'","'","'","'","'9on ","'ben gültigen ","'","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Broa. 9nteil ber tath. 9e- völtg. ","'9Bahl: be= teili- gung in % ","'gebene gülitige Gtims men ","'Go: atal= bemos tratie ","'Sens frum ","'Bau= erns u. Beins gürt- nets bunb ","'Deuts idje De- mos trat. Bart. ","'Rom: mus nift. Bart. ","'D.'nas tionale partei ","'Deut ide Bolfes part.u. Bolfer tonj. Bergg. ","'Chrl. Bolts= bient ","'Bolfs- redit- partei ","'Ratio- nal foa. Wrb. Bartei ",
"'Goliditen ","'0,3 ","'47,0 ","'86 ","'19 ","'- ","'27 ","'1 ","'4 ","'1 ","'- ","'4 ","'- ","'30 ",
"'Ednait ","'0,3 ","'62,7 ","'656 ","'23 ","'2 ","'426 ","'17 ","'8 ","'9 ","'4 ","'4 ","'- ","'163 ",
"'Edjornbad) ","'1,0 ","'62,6 ","'247 ","'52 ","'2 ","'40 ","'3 ","'17 ","'11 ","'3 ","'14 ","'1 ","'104 ",
"'Steinenberg ","'0,1 ","'59,9 ","'284 ","'28 ","'- ","'36 ","'- ","'34 ","'9 ","'2 ","'8 ","'- ","'167 ",
"'Shomashardt ","'- ","'41,3 ","'85 ","'10 ","'- ","'24 ","'- ","'24 ","'9 ","'- ","'- ","'- ","'18 ",
"'Unterurbad) ","'0,6 ","'55,0 ","'458 ","'164 ","'9 ","'37 ","'13 ","'64 ","'17 ","'- ","'26 ","'7 ","'121 ",
"'Botberweifbud) ","'3,5 ","'72,5 ","'195 ","'- ","'- ","'129 ","'- ","'1 ","'2 ","'- ","'- ","'2 ","'61 ",
"'Beiler ","'1,2 ","'67,0 ","'442 ","'113 ","'3 ","'111 ","'7 ","'45 ","'26 ","'- ","'14 ","'23 ","'100 ",
"'Binterbad) ","'2,1 ","'61,8 ","'914 ","'202 ","'- ","'134 ","'48 ","'73 ","'62 ","'3 ","'160 ","'26 ","'206 ",
"'Gumme ","'2,5 ","'65,0 ","'12723 ","'382 ","'136 ","'2490 ","'594 ","'1 046 ","'843 ","'76 ","'824 ","'138 ","'194 ",
"'Gpaidjingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Spaidjingen ","'90,7 ","'59,1 ","'1 356 ","'142 ","'421 ","'13 ","'39 ","'150 ","'21 ","'6 ","'29 ","'147 ","'388 ",
"'Sigheim ","'98,6 ","'63,3 ","'336 ","'26 ","'246 ","'18 ","'13 ","'5 ","'1 ","'- ","'3 ","'- ","'24 ",
"'","'4,1 ","'50,7 ","'554 ","'50 ","'5 ","'65 ","'106 ","'16 ","'16 ","'8 ","'91 ","'21 ","'176 ",
"'Balgheim ","'95,2 ","'68,0 ","'184 ","'14 ","'100 ","'23 ","'5 ","'7 ","'- ","'- ","'1 ","'2 ","'32 ",
"'Böttingen ","'98,6 ","'66,2 ","'293 ","'13 ","'187 ","'25 ","'3 ","'53 ","'1 ","'- ","'- ","'1 ","'10 ",
"'Bubsheim ","'100,0 ","'70,2 ","'258 ","'18 ","'204 ","'2 ","'- ","'15 ","'- ","'- ","'- ","'- ","'19 ",
"'Deilingen ","'99,7 ","'70,7 ","'471 ","'69 ","'314 ","'1 ","'2 ","'2 ","'- ","'- ","'1 ","'- ","'82 ",
"'Dentingen ","'98,2 ","'76,9 ","'466 ","'8 ","'359 ","'14 ","'7 ","'11 ","'2 ","'- ","'1 ","'2 ","'62 ",
"'Dürbheim ","'98,8 ","'77,7 ","'472 ","'32 ","'390 ","'7 ","'4 ","'21 ","'- ","'- ","'1 ","'- ","'17 ",
"'","'98,7 ","'75,7 ","'178 ","'22 ","'128 ","'3 ","'3 ","'5 ","'- ","'1 ","'- ","'1 ","'15 ",
"'grittlingen ","'97,7 ","'79,3 ","'484 ","'58 ","'237 ","'18 ","'32 ","'7 ","'2 ","'- ","'2 ","'- ","'128 ",
