"'Gosheim ","'99,8 ","'76,0 ","'432 ","'21 ","'320 ","'","'48 ","'5 ","'- ","'1 ","'1 ","'1 ","'35 ",
"'Rönigsheim ","'99,1 ","'76,5 ","'169 ","'18 ","'131 ","'1 ","'1 ","'9 ","'1 ","'1 ","'- ","'1 ","'6 ",
"'SRablitetten . ","'99,4 ","'78,9 ","'256 ","'4 ","'217 ","'2 ","'3 ","'7 ","'- ","'- ","'- ","'- ","'23 ",
"'Sujplingen ","'97,6 ","'54,0 ","'458 ","'14 ","'312 ","'22 ","'18 ","'15 ","'1 ","'1 ","'- ","'8 ","'67 ",
"'Obernheim ","'98,9 ","'63,8 ","'435 ","'7 ","'227 ","'21 ","'6 ","'52 ","'4 ","'- ","'- ","'1 ","'117 ",
"'Ratshaujen ","'99,6 ","'71,7 ","'246 ","'29 ","'191 ","'2 ","'2 ","'4 ","'1 ","'- ","'1 ","'- ","'16 ",
"'Reidjenbad) a. 6. ","'99,2 ","'82,7 ","'148 ","'2 ","'100 ","'- ","'- ","'5 ","'- ","'- ","'- ","'- ","'41 ",
"'Gdjörgingen ","'99,4 ","'71,2 ","'325 ","'42 ","'193 ","'12 ","'4 ","'36 ","'1 ","'- ","'- ","'- ","'37 ",
"'Bebingen ","'96,3 ","'69,1 ","'467 ","'81 ","'305 ","'4 ","'14 ","'7 ","'8 ","'2 ","'3 ","'- ","'43 ",
"'Beiler ut. b. R. ","'100,0 ","'81,4 ","'127 ","'4 ","'72 ","'39 ","'2 ","'- ","'- ","'- ","'- ","'- ","'10 ",
"'Gumme ","'89,4 ","'66,6 ","'115 ","'674 ","'4 659 ","'292 ","'312 ","'432 ","'59 ","'20 ","'134 ","'185 ","'1 348 ",
"'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Bernhaufen ","'0,7 ","'62,7 ","'945 ","'108 ","'4 ","'343 ","'25 ","'136 ","'23 ","'21 ","'75 ","'9 ","'188 ",
"'Birtad) ","'6,7 ","'81,7 ","'798 ","'244 ","'25 ","'69 ","'21 ","'95 ","'17 ","'6 ","'29 ","'- ","'281 ",
"'Bonlanõen ","'0,5 ","'82,1 ","'938 ","'226 ","'","'117 ","'11 ","'333 ","'3 ","'6 ","'72 ","'3 ","'165 ",
"'","'3,4 ","'69,4 ","'1 160 ","'323 ","'7 ","'172 ","'43 ","'49 ","'18 ","'9 ","'33 ","'5 ","'499 ",
"'Geuerbad) mit Beil im Dorf ","'10,1 ","'71,3 ","'11 667 ","'3.170 ","'452 ","'201 ","'1250 ","'409 ","'733 ","'136 ","'667 ","'154 ","'465 ",
"'Sarthaujen ","'0,2 ","'64,4 ","'246 ","'75 ","'1 ","'69 ","'2 ","'45 ","'2 ","'2 ","'21 ","'5 ","'22 ",
"'beumaben ","'2,6 ","'68,5 ","'444 ","'156 ","'14 ","'10 ","'13 ","'63 ","'7 ","'4 ","'48 ","'2 ","'125 ",
"'Remnat ","'1,4 ","'73,4 ","'615 ","'241 ","'2 ","'57 ","'4 ","'73 ","'2 ","'4 ","'26 ","'3 ","'202 ",
"'geinfelben ","'2,0 ","'72,6 ","'709 ","'200 ","'6 ","'103 ","'17 ","'96 ","'11 ","'5 ","'21 ","'5 ","'244 ",
"'Döhringen a. J. ","'3,9 ","'68,9 ","'805 ","'642 ","'55 ","'218 ","'158 ","'622 ","'106 ","'42 ","'208 ","'22 ","'718 ",
"'a. 9. ","'6,0 ","'69,7 ","'618 ","'261 ","'12 ","'69 ","'40 ","'123 ","'2 ","'4 ","'30 ","'3 ","'73 ",
"'Dusberg ","'- ","'76,5 ","'514 ","'81 ","'3 ","'39 ","'8 ","'226 ","'3 ","'3 ","'19 ","'- ","'128 ",
"'Slattenhardt ","'0,9 ","'62,2 ","'780 ","'99 ","'1 ","'76 ","'7 ","'283 ","'15 ","'3 ","'27 ","'2 ","'266 ",
"'Slieningen ","'5,3 ","'72,8 ","'1 376 ","'184 ","'43 ","'250 ","'65 ","'253 ","'62 ","'21 ","'89 ","'25 ","'369 ",
