"'","'","'","'","'","'","'Son ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'$ro3. Inteil ber Tath. pölfg. ","'be- teili- gung in % ","'gebene gültige Gtim- men ","'Go- gials Demos tratie ","'Ben- trum ","'Bau= erns u gätt= nets Bund ","'Deut- idje De= mos trat. Dartei ","'Rom mus nift. Dattei ","'D. 'na tionale Bolter partei ","'Deut- idje Solter part u Boltes tonj. Bergg. ","'Chrl. Bolts= bienft ","'redit- partei ","'mals fog. Deutidy Dartei ",
"'Gdwieberbingen ","'2,1 ","'65,2 ","'656 ","'75 ","'1 ","'330 ","'6 ","'44 ","'13 ","'7 ","'10 ","'4 ","'163 ",
"'Gtammbeim ","'7,4 ","'66,7 ","'1 646 ","'611 ","'36 ","'78 ","'80 ","'422 ","'25 ","'22 ","'72 ","'11 ","'288 ",
"'Camm ","'1,4 ","'56,4 ","'680 ","'120 ","'7 ","'181 ","'24 ","'66 ","'13 ","'3 ","'54 ","'2 ","'209 ",
"'Gumme ","'9,6 ","'66,3 ","'","'7203 ","'1 445 ","'3 341 ","'1523 ","'4153 ","'422 ","'882 ","'1740 ","'427 ","'8468 ",
"'Warbad) ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'3,7 ","'69,8 ","'1 653 ","'463 ","'15 ","'185 ","'82 ","'221 ","'115 ","'100 ","'24 ","'28 ","'420 ",
"'%ffalterbad) ","'0,8 ","'62,3 ","'453 ","'50 ","'- ","'281 ","'3 ","'27 ","'7 ","'3 ","'- ","'1 ","'81 ",
"'","'1,9 ","'51,3 ","'98 ","'- ","'2 ","'45 ","'- ","'1 ","'- ","'- ","'2 ","'1 ","'47 ",
"'Wuenftein ","'0,6 ","'56,7 ","'280 ","'7 ","'- ","'135 ","'3 ","'- ","'- ","'3 ","'10 ","'1 ","'121 ",
"'Beilftein ","'0,9 ","'72,7 ","'715 ","'124 ","'3 ","'372 ","'19 ","'4 ","'18 ","'4 ","'19 ","'10 ","'142 ",
"'Burgftall ","'2,9 ","'68,5 ","'293 ","'98 ","'1 ","'91 ","'5 ","'14 ","'10 ","'1 ","'5 ","'1 ","'67 ",
"'Grbftetten ","'","'56,8 ","'229 ","'6 ","'- ","'109 ","'5 ","'1 ","'7 ","'- ","'3 ","'2 ","'96 ",
"'Erbmannhaufen ","'2,4 ","'64,3 ","'527 ","'163 ","'2 ","'210 ","'- ","'20 ","'9 ","'1 ","'3 ","'11 ","'108 ",
"'Gronau ","'- ","'47,9 ","'258 ","'27 ","'3 ","'138 ","'4 ","'8 ","'4 ","'3 ","'8 ","'5 ","'58 ",
"'Orofbottwar ","'1,0 ","'56,1 ","'790 ","'48 ","'2 ","'424 ","'19 ","'44 ","'9 ","'28 ","'9 ","'10 ","'197 ",
