"'","'","'","'","'","'","'Son ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'for und Lembad) ","'- ","'78,9 ","'135 ","'4 ","'1 ","'109 ","'1 ","'1 ","'- ","'- ","'- ","'- ","'19 ",
"'böpfigheim ","'- ","'52,6 ","'215 ","'14 ","'- ","'145 ","'- ","'2 ","'- ","'2 ","'4 ","'- ","'48 ",
"'Rirdberg a. SUL ","'- ","'51,4 ","'486 ","'70 ","'- ","'212 ","'- ","'25 ","'5 ","'1 ","'2 ","'5 ","'166 ",
"'RIeinajpad) ","'3,1 ","'63,0 ","'349 ","'8 ","'- ","'176 ","'5 ","'- ","'2 ","'5 ","'12 ","'1 ","'140 ",
"'Rleinbottwar ","'0,2 ","'54,1 ","'235 ","'31 ","'- ","'145 ","'3 ","'15 ","'5 ","'- ","'- ","'- ","'36 ",
"'Sundelsheim ","'0,4 ","'60,0 ","'583 ","'47 ","'1 ","'369 ","'14 ","'3 ","'5 ","'13 ","'20 ","'2 ","'109 ",
"'","'0,9 ","'61,6 ","'487 ","'150 ","'3 ","'142 ","'8 ","'14 ","'6 ","'13 ","'19 ","'4 ","'128 ",
"'Rafjad) ","'- ","'60,6 ","'97 ","'4 ","'1 ","'51 ","'- ","'- ","'- ","'- ","'- ","'- ","'41 ",
"'Oberftenfeld ","'1,3 ","'55,0 ","'457 ","'33 ","'- ","'231 ","'7 ","'12 ","'17 ","'2 ","'25 ","'22 ","'108 ",
"'Ottmarsheim ","'0,2 ","'64,1 ","'259 ","'15 ","'- ","'150 ","'5 ","'- ","'4 ","'- ","'11 ","'- ","'74 ",
"'BleibeIsheim ","'0,8 ","'67,5 ","'500 ","'57 ","'3 ","'221 ","'3 ","'30 ","'18 ","'- ","'19 ","'4 ","'145 ",
"'Rielingsbaufen ","'0,9 ","'59,1 ","'279 ","'35 ","'1 ","'120 ","'2 ","'27 ","'4 ","'1 ","'5 ","'26 ","'58 ",
"'Gdymibhaujen ","'0,2 ","'72,8 ","'255 ","'1 ","'- ","'201 ","'- ","'3 ","'1 ","'- ","'- ","'2 ","'47 ",
"'Gteinbeim a. SUL. ","'1,0 ","'68,9 ","'801 ","'168 ","'1 ","'197 ","'18 ","'121 ","'12 ","'18 ","'17 ","'3 ","'246 ",
"'Beiler a- Gtein ","'0,3 ","'58,8 ","'250 ","'20 ","'- ","'134 ","'1 ","'35 ","'11 ","'- ","'6 ","'- ","'43 ",
"'Singerbaufen ","'0,3 ","'68,3 ","'356 ","'4 ","'- ","'265 ","'1 ","'2 ","'3 ","'4 ","'2 ","'2 ","'73 ",
"'Gumme ","'1,2 ","'62,4 ","'11040 ","'1647 ","'39 ","'4 858 ","'208 ","'630 ","'272 ","'202 ","'225 ","'141 ","'2818 ",
"'Saulbronn ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'3,5 ","'80,0 ","'783 ","'148 ","'16 ","'87 ","'83 ","'28 ","'83 ","'20 ","'9 ","'- ","'309 ",
"'Derbingen ","'0,6 ","'50,6 ","'565 ","'135 ","'2 ","'146 ","'14 ","'13 ","'18 ","'3 ","'25 ","'- ","'209 ",
"'Diefenbad) ","'0,8 ","'54,7 ","'176 ","'5 ","'1 ","'98 ","'3 ","'11 ","'- ","'1 ","'- ","'2 ","'55 ",
"'Enaberg ","'2,8 ","'60,7 ","'864 ","'229 ","'11 ","'9 ","'8 ","'329 ","'17 ","'6 ","'24 ","'3 ","'228 ",
"'Freubenftein ","'0,7 ","'51,3 ","'244 ","'44 ","'- ","'28 ","'3 ","'26 ","'4 ","'4 ","'3 ","'- ","'132 ",
"'Oündelbad) ","'0,2 ","'65,4 ","'249 ","'16 ","'- ","'121 ","'5 ","'2 ","'4 ","'1 ","'3 ","'2 ","'95 ",
"'Slingen ","'2,6 ","'48,8 ","'525 ","'31 ","'1 ","'142 ","'10 ","'14 ","'26 ","'4 ","'43 ","'10 ","'244 ",
"'Rleinvillars ","'","'61,6 ","'75 ","'6 ","'- ","'37 ","'1 ","'1 ","'- ","'- ","'2 ","'3 ","'25 ",
"'Rnittlingen ","'1,3 ","'65,8 ","'1 219 ","'430 ","'1 ","'217 ","'45 ","'41 ","'47 ","'5 ","'15 ","'1 ","'417 ",
"'giengingen ","'1,1 ","'65,8 ","'323 ","'32 ","'- ","'125 ","'- ","'53 ","'24 ","'3 ","'3 ","'4 ","'79 ",
"'Comersheim ","'1,1 ","'64,8 ","'400 ","'94 ","'4 ","'122 ","'3 ","'57 ","'13 ","'7 ","'8 ","'1 ","'91 ",
"'Wühlader ","'6,6 ","'56,8 ","'2 319 ","'369 ","'85 ","'195 ","'138 ","'340 ","'146 ","'88 ","'165 ","'32 ","'761 ",
"'Ölbronn ","'0,8 ","'50,0 ","'265 ","'16 ","'- ","'101 ","'5 ","'18 ","'12 ","'4 ","'- ","'3 ","'106 ",
"'Ötisheim ","'1,5 ","'48,6 ","'643 ","'156 ","'1 ","'109 ","'14 ","'140 ","'16 ","'7 ","'9 ","'2 ","'189 ",
"'Binadje ","'- ","'47,4 ","'134 ","'38 ","'- ","'26 ","'4 ","'38 ","'4 ","'1 ","'3 ","'- ","'20 ",
"'Gdymie ","'0,2 ","'56,7 ","'189 ","'56 ","'- ","'27 ","'11 ","'20 ","'5 ","'2 ","'2 ","'- ","'66 ",
"'","'0,7 ","'62,0 ","'208 ","'7 ","'- ","'95 ","'- ","'8 ","'3 ","'- ","'4 ","'1 ","'90 ",
