"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Gdymiel ","'- ","'74,1 ","'60 ","'- ","'- ","'38 ","'- ","'- ","'1 ","'- ","'- ","'2 ","'170 ",
"'Gimmogheim ","'0,9 ","'67,0 ","'383 ","'60 ","'2 ","'74 ","'- ","'41 ","'4 ","'1 ","'29 ","'","'92 ",
"'Gommenhardt ","'1,5 ","'56,1 ","'165 ","'7 ","'- ","'24 ","'2 ","'3 ","'4 ","'10 ","'23 ","'- 1 ","'360 ",
"'Gtammheim ","'1,2 ","'75,9 ","'878 ","'42 ","'6 ","'176 ","'26 ","'134 ","'30 ","'23 ","'80 ","'","'27 ",
"'","'- ","'44,6 ","'100 ","'19 ","'- ","'18 ","'1 ","'19 ","'1 ","'2 ","'13 ","'- 2 ","'226 ",
"'","'5,4 ","'66,0 ","'607 ","'185 ","'2 ","'1 ","'26 ","'89 ","'5 ","'14 ","'57 ","'1 ","'100 ",
"'Bürgbad) ","'- ","'63,5 ","'190 ","'5 ","'- ","'28 ","'1 ","'11 ","'5 ","'1 ","'38 ","'- ","'38 ",
"'Bavelftein ","'- ","'54,2 ","'96 ","'5 ","'- ","'6 ","'- ","'6 ","'5 ","'- ","'36 3 ","'1 ","'50 ",
"'Swerenberg ","'- ","'80,8 ","'147 ","'- ","'- ","'89 ","'- ","'- ","'4 ","'- ","'","'","'",
"'Gumme ","'4,0 ","'67,6 ","'12710 ","'355 ","'184 ","'2 454 ","'392 ","'1 017 ","'663 ","'339 ","'1124 ","'102 ","'5080 ",
"'Grailsheim ","'","'","'","'","'","'","'","'","'","'","'","'55 ","'1 336 ",
"'Orailsheim ","'11,6 ","'73,2 ","'3 172 ","'670 ","'175 ","'122 ","'225 ","'127 ","'289 ","'56 ","'117 ","'","'112 ",
"'","'1,6 ","'56,0 ","'269 ","'11 ","'4 ","'122 ","'1 ","'5 ","'12 ","'2 ","'- ","'- - ","'37 ",
"'Golobad) ","'0,8 ","'69,6 ","'156 ","'19 ","'- ","'92 ","'- ","'","'5 ","'- ","'3 ","'- ","'236 ",
"'Gröningen ","'0,3 ","'60,7 ","'419 ","'15 ","'- ","'129 ","'5 ","'9 ","'4 ","'2 ","'19 ","'","'298 ",
"'Gründelbardt ","'5,6 ","'68,5 ","'526 ","'3 ","'9 ","'170 ","'1 ","'4 ","'29 ","'4 ","'8 ","'- 5 ","'192 ",
"'Sonhardt ","'2,3 ","'73,0 ","'649 ","'5 ","'5 ","'403 ","'- ","'2 ","'19 ","'4 ","'14 ","'3 ","'89 ",
"'Sagitheim ","'1,5 ","'61,9 ","'388 ","'9 ","'3 ","'219 ","'6 ","'3 ","'48 ","'4 ","'4 7 ","'2 ","'236 ",
"'Sngersheim ","'3,2 ","'51,0 ","'488 ","'81 ","'2 ","'110 ","'9 ","'13 ","'23 ","'5 ","'6 ","'2 ","'224 ",
"'Lautenbad) ","'14,2 ","'60,3 ","'373 ","'20 ","'17 ","'77 ","'2 ","'13 ","'9 ","'3 ","'","'- ","'57 ",
"'geutershaufen ","'1,1 ","'66,8 ","'215 ","'4 ","'- ","'148 ","'- ","'4 ","'1 ","'1 ","'- ","'2 ","'60 ",
"'","'0,4 ","'61,0 ","'186 ","'- ","'- ","'97 ","'1 ","'- ","'26 ","'- ","'- ","'- ","'145 ",
"'","'22,6 ","'71,2 ","'429 ","'1 ","'102 ","'159 ","'2 ","'5 ","'11 ","'2 ","'2 ","'2 ","'112 ",
"'Slagenbad) ","'62,2 ","'49,5 ","'257 ","'7 ","'83 ","'45 ","'2 ","'- ","'3 ","'- ","'3 ","'2 ","'106 ",
"'Oberfpeltad) ","'1,4 ","'71,5 ","'237 ","'1 ","'- ","'121 ","'- ","'2 ","'4 ","'- ","'1 2 ","'- ","'46 ",
"'Onolabeim ","'0,9 ","'65,5 ","'307 ","'13 ","'- ","'132 ","'- ","'11 ","'102 ","'1 ","'","'- ","'52 ",
"'Redjenberg ","'41,5 ","'58,8 ","'147 ","'- ","'52 ","'37 ","'- ","'- ","'1 ","'5 ","'- ","'- ","'87 ",
"'RoBfeId ","'2,4 ","'54,1 ","'179 ","'3 ","'1 ","'53 ","'3 ","'4 ","'20 ","'- ","'8 ","'1 ","'123 ",
"'Gattelborf ","'1,5 ","'53,9 ","'375 ","'37 ","'2 ","'130 ","'1 ","'60 ","'11 ","'4 ","'6 ","'","'34 ",
"'Gtimpfad) ","'94,2 ","'74,9 ","'357 ","'8 ","'269 ","'43 ","'- ","'1 ","'2 ","'- ","'- ","'- ","'",
