"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Broa. Unteil ber fath Be- pöltg. ","'be- teili- gung in % ","'gebene gültige Gtim- men ","'Go: Demo: tratie ","'3en= frum ","'Bau= erns u. 9Beins gärt: ner= Bund ","'Deut- De mos trat. Dartei ","'Roms mus nift. Partei ","'L'na- tionale partei ","'Deut- (die part. u. Bolter tonj. Bergg. ","'Bolte bienft ","'Bolte redit- partel ","'Ratio nal [03. Dartei ",
"'Breitenberg ","'- ","'72,3 ","'224 ","'- ","'- ","'74 ","'- ","'1 ","'5 ","'2 ","'8 ","'1 ","'133 65 ",
"'Dad)tel ","'0,3 ","'80,4 ","'185 ","'12 ","'- ","'102 ","'4 ","'1 ","'1 ","'- ","'- 6 ","'- ","'248 ",
"'Dedenpftonn ","'0,1 ","'75,8 ","'538 ","'8 ","'1 ","'239 ","'2 ","'26 ","'4 ","'4 ","'","'- 2 ","'21 ",
"'Emberg ","'- ","'60,2 ","'59 ","'- ","'- ","'23 ","'2 ","'1 ","'1 ","'- ","'9 9 ","'12 ","'170 ",
"'Gedingen ","'0,5 ","'62,5 ","'425 ","'9 ","'- ","'200 ","'4 ","'17 ","'2 ","'2 ","'","'4 ","'264 ",
"'Birfau ","'8,1 ","'74,3 ","'611 ","'99 ","'17 ","'9 ","'20 ","'65 ","'66 ","'17 ","'50 14 ","'- ","'130 ",
"'folabronn ","'- ","'73,6 ","'181 ","'2 ","'- ","'33 ","'1 ","'1 ","'- ","'- ","'","'2 ","'19 ",
"'Sornberg ","'- ","'63,6 ","'84 ","'- ","'- ","'63 ","'- ","'- ","'- ","'- ","'- ","'4 ","'48 ",
"'giebelsberg ","'- ","'73,2 ","'172 ","'7 ","'- ","'106 ","'2 ","'2 ","'1 ","'- ","'2 ","'","'86 ",
"'Wartinsmoos ","'0,3 ","'76,4 ","'149 ","'- ","'- ","'56 ","'- ","'1 ","'5 ","'- ","'- ","'1 ","'18 ",
"'","'0,3 ","'51,8 ","'101 ","'4 ","'- ","'24 ","'1 ","'13 ","'2 ","'1 ","'38 ","'- ","'50 ",
"'","'2,7 ","'70,5 ","'270 ","'15 ","'- ","'150 ","'2 ","'6 ","'13 ","'- ","'34 ","'- 3 ","'186 ",
"'Reubulad) ","'2,1 ","'71,6 ","'290 ","'4 ","'- ","'39 ","'15 ","'12 ","'12 ","'5 ","'14 ","'","'41 ",
"'Reubengftett ","'0,2 ","'56,5 ","'143 ","'41 ","'- ","'16 ","'3 ","'31 ","'1 ","'1 ","'9 ","'- 2 ","'175 ",
"'Reuweiler ","'1,7 ","'65,9 ","'267 ","'2 ","'- ","'70 ","'3 ","'1 ","'8 ","'- ","'6 ","'1 ","'86 ",
"'Dberbaugftett ","'0,7 ","'76,7 ","'180 ","'4 ","'2 ","'79 ","'- ","'4 ","'2 ","'- ","'2 ","'1 ","'42 ",
"'Oberfollbad) ","'0,7 ","'57,9 ","'146 ","'4 ","'- ","'1 ","'- ","'17 ","'4 ","'- ","'77 ","'","'58 ",
"'Oberfollmangen ","'5,2 ","'83,5 ","'147 ","'- ","'- ","'80 ","'- ","'1 ","'3 ","'- ","'5 ","'- ","'135 ",
"'Oberreidenbad) ","'- ","'69,2 ","'163 ","'- ","'- ","'1 ","'- ","'7 ","'2 ","'1 ","'17 ","'- ","'34 ",
"'Ditelsheim ","'0,4 ","'64,3 ","'294 ","'13 ","'3 ","'214 ","'12 ","'5 ","'6 ","'1 ","'4 ","'2 4 ","'55 ",
"'Ottenbronn ","'2,0 ","'52,2 ","'139 ","'14 ","'- ","'37 ","'- ","'15 ","'2 ","'- ","'12 ","'- ","'50 ",
"'Rötenbad) ","'- ","'55,4 ","'93 ","'7 ","'- ","'11 ","'2 ","'11 ","'1 ","'1 ","'10 ","'- ","'21 ",
