"'","'","'","'","'","'","'","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Unteil ber Tath. 9Be- völfg. ","'SBahl= be- teili- gung in % ","'gebene gültige Gtim= men ","'Go. atal- bemo tratie ","'8en- frum ","'Bau- em u. SBein- gärt- ner Bund ","'Deut- Demo- trat. Bart. ","'Rom- mu= nift. Bart. ","'tionale Bolte partei ","'Deut- Bolts- part. u. Bolto- tonj. Bergg. ","'bienft ","'Bollo- redyt- partet ","'Matto nale Deuflde Bartet ",
"'Grogengftingen ","'98,7 ","'87,2 ","'511 ","'14 ","'413 ","'13 ","'1 ","'6 ","'4 ","'- ","'- ","'1 ","'36 ",
"'baujen a. b. P. ","'4,0 ","'56,4 ","'106 ","'2 ","'- ","'62 ","'3 ","'5 ","'- ","'2 ","'7 ","'- ","'19 ",
"'bolgelfingen ","'- ","'69,9 ","'333 ","'40 ","'1 ","'112 ","'18 ","'1 ","'3 ","'3 ","'25 ","'1 ","'117 ",
"'bonau ","'7,8 ","'75,2 ","'379 ","'104 ","'9 ","'22 ","'25 ","'15 ","'7 ","'14 ","'84 ","'- ","'77 ",
"'Rleinengftingen ","'1,7 ","'67,2 ","'298 ","'6 ","'5 ","'190 ","'14 ","'2 ","'1 ","'1 ","'19 ","'1 ","'52 ",
"'","'4,7 ","'70,7 ","'302 ","'12 ","'","'124 ","'12 ","'1 ","'9 ","'3 ","'15 ","'- ","'115 ",
"'Dhmenhaufen ","'0,9 ","'51,9 ","'633 ","'333 ","'2 ","'15 ","'15 ","'37 ","'4 ","'2 ","'44 ","'4 ","'135 ",
"'Bfullingen ","'3,9 ","'64,0 ","'588 ","'613 ","'95 ","'162 ","'186 ","'118 ","'99 ","'94 ","'576 ","'29 ","'1 046 ",
"'Gtodad) ","'- ","'64,7 ","'110 ","'5 ","'- ","'52 ","'- ","'1 ","'6 ","'2 ","'1 ","'","'40 ",
"'unbingen ","'0,1 ","'59,7 ","'409 ","'3 ","'- ","'199 ","'8 ","'15 ","'13 ","'2 ","'15 ","'1 ","'142 ",
"'Unterhaufen ","'8,8 ","'70,0 ","'1 269 ","'309 ","'26 ","'33 ","'128 ","'40 ","'13 ","'12 ","'123 ","'23 ","'452 ",
"'Sannweil ","'2,8 ","'56,0 ","'733 ","'105 ","'4 ","'92 ","'13 ","'111 ","'24 ","'5 ","'72 ","'2 ","'260 ",
"'Billmanbingen ","'0,1 ","'54,8 ","'238 ","'7 ","'- ","'74 ","'12 ","'1 ","'- ","'2 ","'11 ","'- ","'122 ",
"'Gumme ","'8,5 ","'66,6 ","'29334¹ ","'292 ","'1 487 ","'2 364 ","'2512 ","'2 444 ","'864 ","'792 ","'2992 ","'281 ","'6740 ",
"'Rieblingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Rieblingen ","'90,1 ","'81,1 ","'1 376 ","'36 ","'848 ","'65 ","'26 ","'31 ","'61 ","'4 ","'- ","'25 ","'280 ",
"'","'100,0 ","'46,7 ","'114 ","'- ","'79 ","'6 ","'- ","'- ","'- ","'- ","'- ","'9 ","'20 ",
"'Witheim ","'98,7 ","'86,4 ","'413 ","'13 ","'301 ","'56 ","'1 ","'4 ","'- ","'- ","'- ","'- ","'38 ",
"'%nbelfingen ","'96,9 ","'83,2 ","'275 ","'4 ","'159 ","'21 ","'- ","'- ","'2 ","'- ","'- ","'3 ","'86 ",
"'Bedjingen ","'99,3 ","'93,3 ","'69 ","'- ","'64 ","'1 ","'- ","'- ","'- ","'- ","'- ","'- ","'4 ",
"'Bebenweiler ","'99,0 ","'66,1 ","'268 ","'6 ","'134 ","'76 ","'- ","'8 ","'2 ","'2 ","'- ","'10 ","'30 ",
"'Beuren ","'97,8 ","'84,1 ","'137 ","'1 ","'77 ","'36 ","'1 ","'- ","'- ","'- ","'- ","'2 ","'20 ",
"'Binawangen ","'99,9 ","'92,5 ","'381 ","'6 ","'246 ","'103 ","'- ","'- ","'2 ","'- ","'- ","'2 ","'22 ",
"'Budjau ","'85,2 ","'77,0 ","'210 ","'97 ","'670 ","'12 ","'70 ","'19 ","'24 ","'6 ","'- ","'36 ","'276 ",
"'Daugendorf ","'98,8 ","'78,3 ","'235 ","'- ","'181 ","'17 ","'- ","'- ","'- ","'- ","'- ","'1 ","'36 ",
"'Dietelhofen ","'100,0 ","'79,1 ","'71 ","'2 ","'37 ","'25 ","'- ","'- ","'2 ","'- ","'- ","'- ","'5 ",
"'Dietershaufen ","'99,5 ","'92,2 ","'101 ","'- ","'89 ","'10 ","'- ","'- ","'- ","'- ","'- ","'- ","'2 ",
"'Dietersfird) ","'100,0 ","'77,1 ","'111 ","'3 ","'64 ","'34 ","'2 ","'- ","'- ","'- ","'- ","'- ","'8 ",
"'Dürmentingen ","'97,6 ","'78,4 ","'419 ","'47 ","'213 ","'72 ","'- ","'3 ","'3 ","'1 ","'- ","'1 ","'79 ",
"'Dürnau ","'99,7 ","'62,4 ","'134 ","'1 ","'72 ","'21 ","'- ","'1 ","'1 ","'- ","'- ","'- ","'38 ",
"'Dürrenmalbftetten ","'97,4 ","'81,5 ","'87 ","'- ","'69 ","'6 ","'- ","'- ","'3 ","'- ","'- ","'1 ","'8 ",
"'Ggelfingen ","'97,9 ","'84,3 ","'70 ","'4 ","'51 ","'1 ","'- ","'- ","'- ","'- ","'- ","'- ","'14 ",
"'Omerfeld ","'97,9 ","'86,6 ","'84 ","'4 ","'53 ","'13 ","'- ","'1 ","'1 ","'- ","'- ","'- ","'12 ",
"'Grisborf ","'97,3 ","'80,5 ","'177 ","'1 ","'132 ","'3 ","'- ","'1 ","'- ","'- ","'- ","'1 ","'39 ",
"'Ertingen ","'99,7 ","'83,2 ","'944 ","'5 ","'848 ","'16 ","'3 ","'1 ","'8 ","'- ","'- ","'3 ","'60 ",
"'Friebingen ","'95,0 ","'72,8 ","'146 ","'","'70 ","'11 ","'- ","'2 ","'- ","'- ","'- ","'- ","'63 ",
"'Göffingen ","'100,0 ","'85,7 ","'132 ","'1 ","'112 ","'4 ","'- ","'1 ","'- ","'- ","'- ","'- ","'14 ",
"'Grüningen ","'98,7 ","'87,4 ","'191 ","'9 ","'149 ","'21 ","'- ","'4 ","'3 ","'- ","'- ","'1 ","'4 ",
"'bailtingen ","'100,0 ","'58,7 ","'135 ","'2 ","'99 ","'16 ","'1 ","'- ","'3 ","'1 ","'- ","'- ","'13 ",
"'baujen a. Buffen ","'100,0 ","'79,4 ","'85 ","'- ","'58 ","'6 ","'- ","'- ","'4 ","'- ","'- ","'2 ","'15 ",
"'beiligfreuatal ","'97,1 ","'85,4 ","'140 ","'5 ","'95 ","'4 ","'- ","'3 ","'1 ","'2 ","'- ","'- ","'30 ",
"'beuborf ","'99,2 ","'76,5 ","'140 ","'- ","'82 ","'39 ","'1 ","'2 ","'- ","'- ","'- ","'4 ","'12 ",
"'bunberfingen ","'99,0 ","'73,6 ","'334 ","'- ","'220 ","'87 ","'4 ","'7 ","'1 ","'- ","'- ","'5 ","'10 ",
"'Sttenbaujen ","'97,3 ","'74,2 ","'118 ","'1 ","'89 ","'- ","'- ","'- ","'3 ","'- ","'- ","'- ","'25 ",
"'Ranad) ","'98,4 ","'77,5 ","'186 ","'3 ","'105 ","'50 ","'3 ","'- ","'6 ","'- ","'- ","'5 ","'14 ",
"'Rappel ","'93,9 ","'71,9 ","'271 ","'4 ","'183 ","'19 ","'1 ","'2 ","'2 ","'1 ","'- ","'4 ","'55 ",
"'Barbad) ","'98,1 ","'78,2 ","'262 ","'5 ","'224 ","'13 ","'- ","'1 ","'- ","'- ","'- ","'1 ","'18 ",
"'. ","'99,7 ","'61,5 ","'111 ","'1 ","'59 ","'26 ","'- ","'- ","'- ","'- ","'- ","'1 ","'24 ",
"'","'97,3 ","'63,0 ","'68 ","'- ","'49 ","'3 ","'- ","'- ","'3 ","'- ","'- ","'1 ","'12 ",
