"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'9ro3. Unteil ber fath. 98- pöltg. ","'be- teili- gung in % ","'gebene gültige Gtim= men ","'Gos gials Demos tratie ","'8ens trum ","'Baus erns u. SBein- gärt- ners Bund ","'Deut- idje Des mo: trat. Partei ","'Rom= mus nift. Partet ","'D. 'nas tionale Bolfo: partei ","'Deut- fde Bolte: part. u. Bolfe tonj. Bergg ","'Ebrl. Bolfs. bienft ","'Bolle redits partet ","'Retto mal- 103. Deutide Wrb.s Bartei ",
"'Kürtingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Rürtingen ","'3,4 ","'63,9 ","'4453 ","'290 ","'58 ","'267 ","'342 ","'1 085 ","'209 ","'119 ","'366 ","'115 ","'1567 ",
"'Wid) ","'0,2 ","'49,4 ","'201 ","'13 ","'- ","'87 ","'4 ","'35 ","'2 ","'- ","'5 ","'2 ","'52 ",
"'","'1,5 ","'50,4 ","'128 ","'- ","'- ","'83 ","'6 ","'9 ","'4 ","'1 ","'1 ","'- ","'23 ",
"'Mitenriet ","'- ","'63,2 ","'177 ","'7 ","'- ","'70 ","'3 ","'58 ","'- ","'1 ","'24 ","'- ","'14 ",
"'Balabola ","'0,6 ","'54,7 ","'123 ","'13 ","'- ","'24 ","'6 ","'49 ","'- ","'2 ","'6 ","'- ","'21 ",
"'Beuren ","'1,0 ","'62,2 ","'527 ","'38 ","'- ","'97 ","'6 ","'82 ","'17 ","'6 ","'19 ","'- ","'252 ",
"'Orfenbreditsweiler ","'0,7 ","'59,4 ","'342 ","'85 ","'1 ","'86 ","'7 ","'19 ","'6 ","'1 ","'7 ","'1 ","'127 ",
"'Gridenhaufen ","'1,5 ","'59,7 ","'617 ","'68 ","'2 ","'30 ","'10 ","'196 ","'6 ","'2 ","'12 ","'2 ","'282 ",
"'Grafenberg ","'0,7 ","'46,8 ","'236 ","'34 ","'- ","'67 ","'- ","'27 ","'4 ","'1 ","'13 ","'2 ","'88 ",
"'Großbettlingen ","'0,2 ","'35,4 ","'127 ","'8 ","'- ","'44 ","'1 ","'18 ","'4 ","'- ","'5 ","'1 ","'44 ",
"'Grögingen ","'0,1 ","'57,0 ","'324 ","'13 ","'- ","'163 ","'2 ","'53 ","'1 ","'- ","'4 ","'6 ","'81 ",
"'Sarbt ","'- ","'65,5 ","'71 ","'2 ","'- ","'42 ","'- ","'2 ","'1 ","'- ","'1 ","'3 ","'20 ",
"'Rappiehäufern ","'- ","'47,7 ","'82 ","'8 ","'- ","'18 ","'- ","'3 ","'- ","'- ","'14 ","'- ","'35 ",
"'Rleinbettlingen ","'- ","'56,7 ","'76 ","'- ","'- ","'32 ","'- ","'12 ","'- ","'- ","'1 ","'2 ","'29 ",
"'Roblberg ","'0,2 ","'47,8 ","'331 ","'62 ","'- ","'87 ","'7 ","'80 ","'2 ","'1 ","'14 ","'1 ","'51 ",
