"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'$ro3. Minteil ber fath. böltg. ","'bes teili- gung in % ","'gebene gültige Gtim= men ","'Gor gial- bemo: tratie ","'Ben= trum ","'Bau erns 11. Sein- gätt- net- Bund ","'Deut- idje Des mo: trat. Bartei ","'Rom- mu- nift. Bartei ","'I'na tionale Bolfe- partei ","'Deut- idhe Solfer part. II. Solt- fonj. Bergg. ","'Chrl. Bolte= bient ","'redit- partei ","'Slatio nal- fog. Deutide Tortei ",
"'Robr ","'2,8 ","'69,3 ","'992 ","'283 ","'22 ","'12 ","'34 ","'294 ","'38 ","'22 ","'59 ","'10 ","'217 ",
"'Robrader ","'2,7 ","'80,2 ","'664 ","'157 ","'12 ","'32 ","'44 ","'246 ","'22 ","'6 ","'33 ","'4 ","'108 ",
"'Ruit ","'0,6 ","'87,2 ","'026 ","'315 ","'- ","'11 ","'8 ","'221 ","'7 ","'6 ","'299 ","'1 ","'147 ",
"'Gdarnhaufen ","'1,0 ","'80,5 ","'585 ","'116 ","'- ","'76 ","'1 ","'90 ","'3 ","'- ","'33 ","'- ","'264 ",
"'Gielmingen ","'0,1 ","'51,3 ","'567 ","'61 ","'1 ","'220 ","'5 ","'18 ","'8 ","'5 ","'81 ","'2 ","'164 ",
"'Gillenbud) ","'1,7 ","'71,2 ","'688 ","'245 ","'9 ","'31 ","'45 ","'177 ","'31 ","'7 ","'27 ","'7 ","'107 ",
"'Gteinenbronn ","'0,1 ","'62,8 ","'483 ","'87 ","'- ","'79 ","'1 ","'160 ","'5 ","'- ","'4 ","'2 ","'141 ",
"'Gtetten a. b. g. ","'0,6 ","'73,6 ","'412 ","'133 ","'1 ","'68 ","'8 ","'70 ","'2 ","'- ","'6 ","'- ","'117 ",
"'Baibingen a.b.g. ","'7,7 ","'68,4 ","'775 ","'852 ","'156 ","'80 ","'404 ","'732 ","'112 ","'108 ","'338 ","'39 ","'930 ",
"'","'1,0 ","'53,1 ","'715 ","'151 ","'1 ","'54 ","'21 ","'106 ","'10 ","'6 ","'99 ","'10 ","'254 ",
"'Ba3enhaufen ","'3,7 ","'63,6 ","'302 ","'123 ","'4 ","'76 ","'8 ","'36 ","'3 ","'2 ","'5 ","'7 ","'33 ",
