"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Unteil ber tath. Be- böltg. ","'be- teili- gung in % ","'Abge- gebene gültige Gtim- men ","'Go- gial- bemo- tratie ","'3en- trum ","'Bau- ern- u. SBein- gätt- ner- Bund ","'Deut- idje De- mo- frat. Bartei ","'Rom- mu- nift. Bartei ","').na- tionale Bolfs- partet ","'Deut- fiche Bolts- part.u. Bolts- fonj. Bergg. ","'Chrl. Bolts bienft ","'redit- partei ","'Ratio- nal- foa. Deutidje Mrb.- Bartei ",
"'göfingen ","'98,8 ","'88,8 ","'198 ","'- ","'187 ","'2 ","'- ","'- ","'2 ","'- ","'- ","'- ","'7 ",
"'","'14,8 ","'57,7 ","'376 ","'41 ","'53 ","'45 ","'24 ","'53 ","'4 ","'2 ","'6 ","'- ","'148 ",
"'Dimenheim ","'98,9 ","'79,2 ","'270 ","'4 ","'242 ","'6 ","'2 ","'- ","'- ","'- ","'- ","'- ","'16 ",
"'$flaumlod) ","'38,0 ","'67,1 ","'186 ","'5 ","'75 ","'44 ","'1 ","'2 ","'6 ","'- ","'3 ","'- ","'50 ",
"'Söttingen ","'100,0 ","'79,9 ","'225 ","'2 ","'206 ","'6 ","'- ","'6 ","'1 ","'- ","'- ","'- ","'4 ",
"'6dlogberg ","'98,2 ","'78,7 ","'451 ","'6 ","'341 ","'1 ","'2 ","'34 ","'- ","'- ","'2 ","'- ","'65 ",
"'Sdweinborf ","'1,4 ","'82,1 ","'138 ","'- ","'1 ","'79 ","'- ","'1 ","'9 ","'- ","'- ","'- ","'48 ",
"'Srodjtelfingen ","'3,6 ","'73,4 ","'317 ","'10 ","'5 ","'214 ","'2 ","'5 ","'1 ","'- ","'2 ","'- ","'78 ",
"'Trugenhofen ","'96,0 ","'72,7 ","'79 ","'1 ","'65 ","'1 ","'- ","'- ","'4 ","'- ","'- ","'- ","'8 ",
"'Interriffingen ","'99,3 ","'91,9 ","'234 ","'1 ","'214 ","'11 ","'- ","'2 ","'3 ","'- ","'- ","'- ","'3 ",
"'Ugmemmingen ","'97,0 ","'81,2 ","'256 ","'14 ","'213 ","'- ","'- ","'2 ","'3 ","'- ","'- ","'- ","'24 ",
"'Balbhaujen ","'99,7 ","'68,0 ","'356 ","'3 ","'277 ","'12 ","'1 ","'1 ","'1 ","'- ","'1 ","'- ","'60 ",
"'Gumme ","'78,8 ","'77,5 ","'530 ","'212 ","'6272 ","'1 054 ","'140 ","'190 ","'137 ","'21 ","'106 ","'17 ","'1 381 ",
"'091. Reuenbürg ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'8,1 ","'73,3 ","'435 ","'271 ","'45 ","'9 ","'90 ","'163 ","'123 ","'24 ","'70 ","'132 ","'508 ",
"'imbad) ","'0,5 ","'63,3 ","'308 ","'54 ","'- ","'5 ","'1 ","'12 ","'7 ","'- ","'4 ","'2 ","'223 45 ",
"'Beinberg ","'- ","'58,7 ","'105 ","'10 ","'- ","'24 ","'- ","'5 ","'5 ","'- ","'16 ","'- ","'",
"'Bernbad) ","'2,6 ","'15,1 ","'48 ","'20 ","'- ","'- ","'1 ","'5 ","'1 ","'- ","'2 ","'1 ","'18 ",
"'Siefelsberg ","'0,2 ","'47,8 ","'141 ","'55 ","'- ","'12 ","'- ","'14 ","'4 ","'- ","'13 ","'- ","'43 ",
"'Sirfenfeld ","'3,9 ","'55,2 ","'1 388 ","'455 ","'6 ","'18 ","'37 ","'311 ","'47 ","'18 ","'79 ","'62 ","'355 ",
"'Calmbad) ","'2,5 ","'63,5 ","'192 ","'449 ","'5 ","'3 ","'53 ","'47 ","'137 ","'7 ","'30 ","'11 ","'450 ",
"'Conweiler ","'1,0 ","'45,9 ","'364 ","'178 ","'- ","'2 ","'9 ","'20 ","'12 ","'2 ","'9 ","'1 ","'131 ",
"'Sennad) ","'2,2 ","'47,0 ","'156 ","'27 ","'- ","'- ","'8 ","'10 ","'51 ","'4 ","'1 ","'5 ","'50 ",
"'SobeI ","'2,1 ","'54,4 ","'343 ","'45 ","'1 ","'1 ","'12 ","'24 ","'8 ","'3 ","'7 ","'4 ","'238 ",
"'Engelsbrand ","'0,3 ","'58,8 ","'329 ","'95 ","'1 ","'6 ","'- ","'39 ","'17 ","'3 ","'13 ","'8 ","'147 ",
"'Enallöfterle ","'- ","'60,5 ","'135 ","'49 ","'- ","'- ","'2 ","'4 ","'5 ","'- ","'6 ","'5 ","'64 ",
"'Feldrennad) ","'0,6 ","'51,6 ","'420 ","'134 ","'- ","'2 ","'- ","'18 ","'22 ","'1 ","'3 ","'8 ","'232 ",
"'Bräfenhaufen ","'0,6 ","'41,8 ","'395 ","'107 ","'- ","'15 ","'3 ","'25 ","'33 ","'2 ","'8 ","'13 ","'189 ",
"'brunbad) ","'0,6 ","'49,2 ","'233 ","'47 ","'- ","'1 ","'- ","'45 ","'11 ","'- ","'40 ","'1 ","'88 ",
"'derrenalb ","'10,9 ","'63,4 ","'741 ","'109 ","'17 ","'2 ","'45 ","'4 ","'36 ","'16 ","'69 ","'23 ","'420 ",
"'döfen a. D. C. ","'3,3 ","'59,7 ","'470 ","'103 ","'1 ","'- ","'6 ","'71 ","'84 ","'3 ","'11 ","'50 ","'141 ",
"'Sgelslod) ","'- ","'73,1 ","'95 ","'6 ","'1 ","'3 ","'- ","'- ","'12 ","'- ","'14 ","'1 ","'58 ",
"'Rapfenbardt ","'- ","'50,2 ","'109 ","'19 ","'- ","'2 ","'2 ","'15 ","'19 ","'2 ","'4 ","'1 ","'45 ",
"'langenbrand ","'0,4 ","'50,9 ","'178 ","'21 ","'1 ","'16 ","'- ","'12 ","'16 ","'1 ","'17 ","'4 ","'90 ",
"'loffenau ","'1,7 ","'16,6 ","'166 ","'18 ","'1 ","'1 ","'10 ","'28 ","'7 ","'- ","'8 ","'1 ","'92 ",
"'Raijenbad) ","'0,3 ","'52,8 ","'122 ","'7 ","'- ","'37 ","'- ","'2 ","'1 ","'- ","'22 ","'- ","'53 ",
"'Neujas ","'0,2 ","'49,7 ","'161 ","'28 ","'- ","'- ","'2 ","'44 ","'2 ","'1 ","'- ","'2 ","'82 ",
"'Riebelsbad) ","'0,8 ","'65,9 ","'182 ","'53 ","'- ","'10 ","'- ","'10 ","'2 ","'- ","'6 ","'- ","'101 ",
"'Oberlengenharöt ","'0,7 ","'59,6 ","'93 ","'1 ","'- ","'8 ","'- ","'7 ","'- ","'- ","'9 ","'- ","'68 ",
"'Ottenhaufen ","'0,8 ","'61,0 ","'342 ","'157 ","'- ","'15 ","'1 ","'9 ","'19 ","'2 ","'9 ","'- ","'130 ",
"'Rotenjol ","'1,5 ","'61,6 ","'165 ","'32 ","'1 ","'- ","'- ","'5 ","'1 ","'- ","'- ","'1 ","'125 ",
"'Galmbad) ","'1,0 ","'53,8 ","'127 ","'41 ","'- ","'1 ","'- ","'32 ","'2 ","'- ","'19 ","'- ","'32 ",
"'Sdjömberg ","'10,4 ","'65,7 ","'625 ","'72 ","'41 ","'20 ","'23 ","'32 ","'64 ","'17 ","'101 ","'23 ","'232 ",
"'","'1,2 ","'47,8 ","'295 ","'57 ","'- ","'- ","'10 ","'59 ","'1 ","'3 ","'32 ","'11 ","'122 ",
"'Edywargenberg ","'0,9 ","'55,3 ","'110 ","'34 ","'- ","'2 ","'1 ","'8 ","'1 ","'- ","'49 ","'- ","'15 ",
"'Interlengenharòt ","'1,0 ","'59,5 ","'90 ","'28 ","'1 ","'25 ","'2 ","'11 ","'1 ","'- ","'5 ","'- ","'17 ",
"'Balbrennad) ","'0,2 ","'45,1 ","'151 ","'69 ","'- ","'- ","'2 ","'26 ","'6 ","'1 ","'8 ","'4 ","'35 ",
"'Bilobab i. Gdjw. ","'9,9 ","'69,0 ","'2 192 ","'453 ","'95 ","'7 ","'82 ","'146 ","'172 ","'121 ","'112 ","'13 ","'991 ",
"'Gumme ","'4,1 ","'56,9 ","'13 406 ","'3 304 ","'217 ","'247 ","'402 ","'1 263 ","'929 ","'231 ","'796 ","'387 ","'5 630 ",
