"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Proa. Inteil ber fath. 98- völtg. ","'SBahl= be- teilt- gung in % ","'gebene gültige Gtim- men ","'Go- sidl- bemo- tratie ","'8en- trum ","'Bau- ern- IL 9Bein- gärt- ner- Bund ","'Deut- (de De. mo- frat. Bartei ","'Stom- mu- nift. Dartei ","'D.'na- tionale Bolfe- partet ","'Deut- (de Bollo- part.u. Bolfo- fonf. Bergg. ","'Chrl. bienft ","'Bolle redit- partei ","'Ratio- nai- for. Deufidje Mrb. Bartei ",
"'Dautmergen ","'85,2 ","'64,3 ","'99 ","'2 ","'73 ","'5 ","'14 ","'1 ","'- ","'- ","'- ","'- ","'4 ",
"'Deißlingen ","'91,5 ","'80,4 ","'1 244 ","'230 ","'439 ","'10 ","'202 ","'102 ","'7 ","'1 ","'1 ","'10 ","'242 ",
"'Dietingen ","'95,8 ","'71,0 ","'329 ","'2 ","'201 ","'12 ","'46 ","'17 ","'2 ","'- ","'- ","'- ","'49 ",
"'Dormettingen ","'99,1 ","'92,8 ","'322 ","'43 ","'269 ","'5 ","'- ","'1 ","'- ","'- ","'- ","'- ","'4 ",
"'Dotternbaufen ","'94,5 ","'67,5 ","'313 ","'48 ","'156 ","'59 ","'5 ","'17 ","'5 ","'- ","'1 ","'- ","'22 ",
"'Dunningen ","'95,5 ","'45,7 ","'478 ","'24 ","'261 ","'64 ","'33 ","'21 ","'7 ","'1 ","'2 ","'7 ","'58 ",
"'Fedenbaujen ","'98,8 ","'77,2 ","'105 ","'2 ","'60 ","'18 ","'11 ","'1 ","'- ","'- ","'- ","'- ","'13 ",
"'Flöglingen ","'2,7 ","'57,3 ","'171 ","'1 ","'- ","'84 ","'7 ","'1 ","'- ","'- ","'11 ","'- ","'67 ",
"'Göllsborf ","'97,7 ","'75,2 ","'424 ","'5 ","'250 ","'8 ","'6 ","'35 ","'1 ","'1 ","'2 ","'- ","'116 ",
"'Gößlingen ","'99,1 ","'90,6 ","'115 ","'1 ","'97 ","'2 ","'","'3 ","'- ","'- ","'- ","'","'12 ",
"'baufen am Cann ","'96,8 ","'78,6 ","'188 ","'12 ","'138 ","'13 ","'2 ","'13 ","'3 ","'- ","'- ","'- ","'7 ",
"'baujen ob Rottweil ","'93,0 ","'78,8 ","'195 ","'1 ","'148 ","'13 ","'9 ","'21 ","'- ","'- ","'1 ","'- ","'2 ",
"'Gerrengimmern ","'97,5 ","'62,1 ","'236 ","'1 ","'125 ","'62 ","'2 ","'2 ","'1 ","'- ","'2 ","'- ","'41 ",
"'borgen ","'97,8 ","'68,4 ","'206 ","'1 ","'148 ","'14 ","'14 ","'15 ","'- ","'- ","'- ","'- ","'14 ",
"'Srslingen ","'99,1 ","'69,4 ","'235 ","'- ","'140 ","'61 ","'3 ","'21 ","'- ","'- ","'- ","'- ","'10 ",
"'Cadendorf ","'95,0 ","'58,7 ","'109 ","'2 ","'66 ","'16 ","'4 ","'- ","'- ","'- ","'- ","'- ","'21 ",
"'gauffen ","'97,5 ","'81,0 ","'425 ","'56 ","'205 ","'2 ","'62 ","'17 ","'- ","'- ","'- ","'1 ","'82 ",
"'Codjerbof ","'10,0 ","'33,6 ","'115 ","'2 ","'1 ","'1 ","'25 ","'8 ","'2 ","'- ","'20 ","'3 ","'53 ",
"'Reufra ","'98,5 ","'78,8 ","'254 ","'6 ","'174 ","'4 ","'25 ","'29 ","'- ","'- ","'- ","'2 ","'14 ",
"'Reufird) ","'98,3 ","'81,1 ","'159 ","'- ","'92 ","'33 ","'15 ","'2 ","'- ","'- ","'- ","'3 ","'14 ",
"'Rofwangen ","'99,3 ","'63,4 ","'172 ","'13 ","'121 ","'5 ","'4 ","'7 ","'- ","'- ","'- ","'- ","'22 ",
"'Gdjömberg ","'98,9 ","'68,9 ","'586 ","'22 ","'292 ","'40 ","'33 ","'9 ","'5 ","'- ","'1 ","'15 ","'169 ",
"'Gdwenningen ","'28,1 ","'80,2 ","'11 451 ","'2 021 ","'730 ","'26 ","'2819 ","'2179 ","'163 ","'32 ","'238 ","'73 ","'3 170 ",
"'Gtetten ob Rottw. ","'96,5 ","'50,2 ","'106 ","'8 ","'51 ","'29 ","'- ","'5 ","'- ","'- ","'- ","'- ","'13 ",
"'Täbingen ","'0,4 ","'66,4 ","'192 ","'2 ","'- ","'104 ","'10 ","'1 ","'1 ","'- ","'27 ","'- ","'47 ",
"'Billingendorf ","'99,4 ","'72,9 ","'404 ","'8 ","'323 ","'18 ","'6 ","'4 ","'3 ","'- ","'3 ","'1 ","'38 ",
"'Bellenbingen ","'99,7 ","'81,2 ","'555 ","'9 ","'205 ","'67 ","'228 ","'6 ","'- ","'- ","'- ","'7 ","'33 ",
"'Bepfenhan ","'98,8 ","'70,8 ","'190 ","'4 ","'60 ","'25 ","'6 ","'3 ","'1 ","'1 ","'- ","'- ","'90 ",
"'Bimmern ob9Rottw. ","'97,8 ","'68,4 ","'432 ","'20 ","'285 ","'32 ","'10 ","'57 ","'6 ","'1 ","'- ","'2 ","'19 ",
"'Bimmern ut. b. B. ","'99,7 ","'77,8 ","'172 ","'1 ","'84 ","'50 ","'2 ","'4 ","'- ","'- ","'- ","'- ","'31 ",
"'Gumme ","'64,9 ","'73,8 ","'25 683 ","'2 860 ","'8 349 ","'1 046 ","'4107 ","'2 979 ","'373 ","'114 ","'345 ","'238 ","'5 272 ",
"'Gaulgau ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Gaulgau ","'92,2 ","'79,5 ","'2 853 ","'91 ","'2 037 ","'18 ","'22 ","'226 ","'12 ","'8 ","'- ","'95 ","'344 ",
"'","'97,5 ","'88,6 ","'115 ","'","'98 ","'9 ","'1 ","'- ","'- ","'- ","'- ","'- ","'7 ",
"'","'85,7 ","'75,4 ","'1 344 ","'27 ","'964 ","'41 ","'7 ","'10 ","'27 ","'3 ","'- ","'7 ","'258 ",
"'Beiatofen ","'98,8 ","'79,9 ","'215 ","'4 ","'122 ","'53 ","'- ","'1 ","'- ","'- ","'- ","'1 ","'34 ",
"'Bierftetten ","'98,4 ","'84,1 ","'106 ","'","'99 ","'5 ","'- ","'- ","'- ","'- ","'- ","'1 ","'1 ",
"'Blodjingen ","'98,1 ","'70,4 ","'257 ","'4 ","'164 ","'8 ","'- ","'6 ","'1 ","'- ","'- ","'2 ","'72 ",
"'Blönried ","'90,0 ","'74,4 ","'334 ","'3 ","'273 ","'23 ","'1 ","'4 ","'7 ","'- ","'- ","'- ","'23 ",
"'Bolftern ","'98,4 ","'71,9 ","'170 ","'2 ","'120 ","'19 ","'- ","'1 ","'- ","'1 ","'- ","'2 ","'25 ",
"'Boms ","'95,1 ","'82,6 ","'176 ","'- ","'119 ","'23 ","'1 ","'1 ","'- ","'- ","'- ","'5 ","'27 ",
"'Bonborf ","'100,0 ","'90,7 ","'117 ","'- ","'107 ","'3 ","'1 ","'- ","'- ","'- ","'- ","'- ","'6 ",
"'Braunenweiler ","'100,0 ","'83,7 ","'251 ","'2 ","'221 ","'20 ","'","'1 ","'- ","'- ","'- ","'1 ","'6 ",
"'Bremen ","'100,0 ","'68,9 ","'103 ","'1 ","'53 ","'9 ","'1 ","'- ","'- ","'- ","'- ","'1 ","'38 ",
"'Ebenweiler ","'97,2 ","'77,5 ","'267 ","'5 ","'206 ","'10 ","'- ","'6 ","'- ","'- ","'- ","'26 ","'14 ",
"'Ebersbad) ","'97,0 ","'82,4 ","'341 ","'6 ","'267 ","'29 ","'1 ","'2 ","'1 ","'- ","'- ","'1 ","'34 ",
"'Gidjen ","'100,0 ","'89,6 ","'86 ","'","'68 ","'6 ","'- ","'- ","'- ","'- ","'- ","'1 ","'11 ",
"'","'93,2 ","'62,1 ","'180 ","'1 ","'134 ","'21 ","'- ","'- ","'1 ","'- ","'- ","'- ","'23 ",
"'Ennetad) ","'97,5 ","'86,1 ","'462 ","'12 ","'320 ","'21 ","'1 ","'6 ","'6 ","'1 ","'- ","'9 ","'86 ",
"'Enatofen ","'99,0 ","'69,1 ","'85 ","'4 ","'45 ","'25 ","'- ","'1 ","'- ","'- ","'- ","'- ","'10 ",
"'Fleifdwwangen ","'100,0 ","'66,2 ","'132 ","'3 ","'105 ","'4 ","'- ","'2 ","'- ","'- ","'- ","'1 ","'17 ",
"'griebberg ","'99,7 ","'85,0 ","'199 ","'1 ","'158 ","'8 ","'- ","'13 ","'- ","'- ","'- ","'- ","'19 ",
