"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'9nteil ber tath. 93e- pöltg. ","'be= teili- gung in % ","'gebene gültige Gtim- men ","'Gor gial- bemo: tratie ","'Bens trum ","'Bau- ern- u. Beins gurts nets Bund ","'Deut- Des mor trat. Bartei ","'Stoms mus nift. Bartei ","'D. 'na- tionale partei ","'Deut idbe Bolfe= part. tonj. Bergg. ","'Chrl. Bolfe- bienft ","'Bolfs redyt- partei ","'Ratior nal- for. Deutidge Mrb. Dartei ",
"'Rappad) ","'- ","'52,3 ","'115 ","'5 ","'- ","'74 ","'2 ","'1 ","'- ","'- ","'4 ","'- ","'29 ",
"'Gdjeppad) ","'- ","'58,4 ","'156 ","'14 ","'- ","'88 ","'- ","'3 ","'- ","'- ","'11 ","'- ","'40 ",
"'Gdwabbad) ","'1,1 ","'66,1 ","'169 ","'2 ","'- ","'105 ","'2 ","'- ","'2 ","'- ","'5 ","'- ","'53 ",
"'Gdwöllbronn ","'0,3 ","'70,3 ","'156 ","'2 ","'- ","'52 ","'- ","'2 ","'11 ","'- ","'13 ","'- ","'76 ",
"'Giebeneid) ","'","'78,1 ","'100 ","'- ","'- ","'76 ","'- ","'- ","'1 ","'- ","'1 ","'- ","'22 ",
"'Gindringen ","'1,0 ","'64,6 ","'235 ","'34 ","'- ","'78 ","'1 ","'1 ","'2 ","'- ","'- ","'4 ","'115 ",
"'Unterheimbad) ","'1,0 ","'48,4 ","'185 ","'13 ","'- ","'71 ","'3 ","'7 ","'2 ","'2 ","'6 ","'- ","'81 ",
"'Unterfteinbad) ","'0,3 ","'43,0 ","'207 ","'3 ","'- ","'52 ","'3 ","'5 ","'18 ","'1 ","'1 ","'2 ","'122 ",
"'Berrenberg ","'- ","'70,3 ","'130 ","'- ","'- ","'82 ","'- ","'- ","'2 ","'- ","'4 ","'- ","'42 ",
"'","'0,5 ","'69,4 ","'249 ","'19 ","'- ","'106 ","'6 ","'18 ","'3 ","'2 ","'1 ","'- ","'94 ",
"'Balbenburg ","'6,6 ","'60,0 ","'378 ","'39 ","'25 ","'90 ","'3 ","'11 ","'66 ","'4 ","'11 ","'- ","'129 ",
"'Befternad) ","'2,1 ","'70,3 ","'369 ","'12 ","'4 ","'155 ","'11 ","'6 ","'27 ","'- ","'10 ","'- ","'144 ",
"'SBefternbad) ","'1,1 ","'74,2 ","'98 ","'3 ","'1 ","'57 ","'- ","'- ","'7 ","'- ","'2 ","'4 ","'24 ",
