"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt (Bemeinbe ","'Dros. Unteil ber tath. 98- völfg. ","'be- teili- gung in % ","'%lbge- gebene gültige Gtim- men ","'Go- atal- Demo- tratte ","'8en- frum ","'Bau- ern- IL SBein- gärt- ner- Bunb ","'Deut- De- mo- trat. Bartei ","'Rom- mu- nift. Bartei ","'.'na- tionale Bolfe- partei ","'Deut- (d)e Bolto- parta Bolfe- tonj. Bergg. ","'Chrl. Bolfe bienft ","'redit- partei ","'Slatio- mal- [03. Wrb.- Bertei ",
"'fermaringen ","'5,0 ","'63,8 ","'446 ","'80 ","'15 ","'162 ","'9 ","'7 ","'11 ","'6 ","'8 ","'- ","'148 ",
"'beudlingen ","'1,3 ","'56,7 ","'228 ","'7 ","'1 ","'170 ","'8 ","'1 ","'6 ","'- ","'4 ","'2 ","'29 ",
"'Sobenmemmingen ","'0,3 ","'54,8 ","'245 ","'12 ","'- ","'127 ","'4 ","'2 ","'- ","'- ","'3 ","'1 ","'96 ",
"'Bürben ","'0,4 ","'58,6 ","'253 ","'19 ","'- ","'108 ","'8 ","'8 ","'2 ","'1 ","'20 6 ","'1 ","'86 11 ",
"'SBeIberg ","'6,6 ","'73,4 ","'125 ","'35 ","'6 ","'15 ","'10 ","'30 ","'12 ","'- ","'","'- ","'",
"'Rönigsbronn ","'6,9 ","'65,6 ","'614 ","'171 ","'14 ","'16 ","'11 ","'47 ","'35 ","'13 ","'52 ","'2 ","'253 ",
"'","'7,3 ","'77,4 ","'1 059 ","'363 ","'19 ","'72 ","'34 ","'51 ","'90 ","'17 ","'70 ","'11 ","'332 ",
"'Rattheim ","'2,8 ","'70,4 ","'469 ","'187 ","'2 ","'155 ","'12 ","'16 ","'9 ","'2 ","'34 17 ","'- ","'52 41 ",
"'Ddjenberg ","'- ","'54,2 ","'116 ","'12 ","'- ","'35 ","'6 ","'5 ","'- ","'- ","'","'- ","'55 ",
"'Dggenbaufen ","'2,2 ","'53,3 ","'215 ","'16 ","'2 ","'66 ","'7 ","'32 ","'5 ","'1 ","'30 ","'1 ","'25 ",
