"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Wiperg ","'6,0 ","'74,5 ","'1 906 ","'577 ","'24 ","'94 ","'73 ","'275 ","'49 ","'23 ","'214 ","'15 ","'547 ",
"'Beibingen a. 91. ","'3,2 ","'67,0 ","'504 ","'134 ","'1 ","'84 ","'13 ","'110 ","'13 ","'8 ","'18 ","'1 ","'120 ",
"'Benningen ","'1,9 ","'62,4 ","'676 ","'286 ","'3 ","'70 ","'6 ","'150 ","'6 ","'5 ","'53 ","'4 ","'92 ",
"'Biffingen a. b. C. ","'2,7 ","'67,5 ","'1 081 ","'147 ","'27 ","'123 ","'67 ","'343 ","'17 ","'29 ","'40 ","'7 ","'279 ",
"'Geifingen ","'0,3 ","'69,9 ","'354 ","'59 ","'2 ","'69 ","'4 ","'162 ","'1 ","'1 ","'22 ","'- ","'33 ",
"'beutingsbeim ","'1,7 ","'69,0 ","'489 ","'108 ","'1 ","'117 ","'12 ","'131 ","'10 ","'2 ","'8 ","'2 ","'98 ",
"'Rornweftheim ","'14,5 ","'67,6 ","'350 ","'1 521 ","'347 ","'289 ","'293 ","'408 ","'94 ","'30 ","'283 ","'90 ","'985 ",
"'","'2,8 ","'66,7 ","'1 429 ","'229 ","'17 ","'428 ","'70 ","'194 ","'78 ","'28 ","'76 ","'8 ","'292 ",
"'","'0,5 ","'59,5 ","'546 ","'76 ","'1 ","'271 ","'18 ","'14 ","'7 ","'4 ","'29 ","'3 ","'104 ",
"'Redargröningen ","'0,9 ","'54,7 ","'214 ","'43 ","'- ","'105 ","'12 ","'10 ","'7 ","'2 ","'1 ","'2 ","'32 ",
"'Redarweibingen ","'1,2 ","'68,3 ","'780 ","'229 ","'2 ","'171 ","'13 ","'208 ","'7 ","'14 ","'27 ","'1 ","'106 ",
"'Soppenweiler ","'0,3 ","'65,7 ","'533 ","'151 ","'1 ","'226 ","'5 ","'49 ","'6 ","'- ","'25 ","'1 ","'67 ",
