"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Rohlftetten ","'0,9 ","'76,5 ","'205 ","'2 ","'- ","'107 ","'6 ","'- ","'2 ","'2 ","'16 ","'- ","'64 ",
"'gaidingen ","'2,0 ","'47,2 ","'1006 ","'167 ","'8 ","'272 ","'44 ","'8 ","'61 ","'1 ","'21 ","'5 ","'414 ",
"'SlagoIsheim ","'46,1 ","'74,2 ","'200 ","'12 ","'57 ","'58 ","'- ","'- ","'- ","'- ","'6 ","'- ","'67 ",
"'Wehritetten ","'0,1 ","'73,4 ","'401 ","'11 ","'- ","'221 ","'10 ","'3 ","'9 ","'- ","'9 ","'- ","'127 ",
"'","'0,6 ","'68,7 ","'168 ","'- ","'- ","'123 ","'1 ","'- ","'1 ","'- ","'12 ","'- ","'29 ",
"'","'91,0 ","'90,7 ","'107 ","'3 ","'91 ","'8 ","'- ","'- ","'2 ","'- ","'- ","'- ","'1 ",
"'Oberftetten ","'99,1 ","'91,7 ","'300 ","'- ","'246 ","'44 ","'- ","'- ","'- ","'- ","'- ","'- ","'2 ",
"'","'0,6 ","'71,0 ","'205 ","'- ","'- ","'140 ","'1 ","'- ","'2 ","'1 ","'6 ","'- ","'52 ",
"'Sfronftetten ","'85,5 ","'72,6 ","'154 ","'- ","'113 ","'17 ","'1 ","'- ","'1 ","'- ","'3 ","'- ","'15 ",
"'Gonberbud) ","'93,7 ","'92,7 ","'101 ","'1 ","'86 ","'10. ","'- ","'- ","'- ","'- ","'- ","'- ","'3 ",
"'Gontheim ","'- ","'61,1 ","'225 ","'1 ","'- ","'170 ","'2 ","'- ","'- ","'- ","'9 ","'- ","'42 ",
"'Gteingebronn ","'- ","'63,3 ","'57 ","'6 ","'- ","'42 ","'- ","'- ","'3 ","'- ","'- ","'1 ","'5 ",
"'Sigerfeld ","'95,0 ","'90,6 ","'154 ","'- ","'118 ","'24 ","'1 ","'- ","'- ","'- ","'- ","'- ","'7 ",
