"'","'","'","'","'","'","'","'ben ","'gülltigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Wurrhardt ","'1,1 ","'56,5 ","'1722 ","'221 ","'7 ","'327 ","'93 ","'181 ","'108 ","'28 ","'57 ","'22 ","'678 ",
"'Reufürftenhütte ","'","'34,8 ","'49 ","'4 ","'- ","'1 ","'- ","'3 ","'5 ","'","'1 ","'","'35 ",
"'Oberbrüiben ","'0,1 ","'44,9 ","'238 ","'7 ","'- ","'85 ","'4 ","'49 ","'9 ","'2 ","'12 ","'1 ","'69 ",
"'Oberweiffad) ","'1,5 ","'58,7 ","'148 ","'10 ","'1 ","'46 ","'- ","'3 ","'2 ","'1 ","'10 ","'2 ","'73 ",
"'Oppenweiler ","'10,5 ","'60,2 ","'225 ","'3 ","'14 ","'24 ","'1 ","'11 ","'15 ","'1 ","'4 ","'- ","'152 ",
"'Reidjenberg ","'1,2 ","'56,8 ","'438 ","'23 ","'14 ","'167 ","'6 ","'71 ","'16 ","'12 ","'18 ","'2 ","'109 ",
"'Rietenau ","'- ","'71,2 ","'188 ","'4 ","'- ","'47 ","'1 ","'4 ","'8 ","'- ","'5 ","'2 ","'117 ",
"'Gedjelberg ","'0,3 ","'33,8 ","'130 ","'8 ","'- ","'63 ","'1 ","'12 ","'1 ","'- ","'3 ","'- ","'42 ",
"'Gpiegelberg ","'1,4 ","'57,9 ","'273 ","'50 ","'- ","'61 ","'8 ","'35 ","'13 ","'1 ","'20 ","'2 ","'83 ",
"'Gteinbad) ","'3,1 ","'49,4 ","'264 ","'29 ","'10 ","'57 ","'3 ","'25 ","'13 ","'3 ","'14 ","'2 ","'108 ",
