"'","'","'","'","'","'","'","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Bro3. anteil ber Tath. 9B- böltg. ","'9Babl- be teili- gung in % ","'gebene gültige Gtim- men ","'Go. gial- Demo: Tratie ","'8en frum ","'Bau em u. SBein- gärt- ners Bunb ","'Deut- (d)e De- mo. trat. Bartei ","'Rom mu- nift. Bartei ","'(D. 'na- tionale Bolfer partei ","'Deut (de Bolto part. u. Bolt- tonj. Bergg. ","'Ehrl. Bolte bienjt ","'Bolts redit- partei ","'Ratio nal [03. Deut(dye Wrb. Bartei ",
"'Boltersheim ","'100,0 ","'84,7 ","'122 ","'- ","'115 ","'2 ","'- ","'- ","'- ","'- ","'1 ","'2 ","'2 ",
"'Barthaufen ","'78,3 ","'71,5 ","'444 ","'32 ","'283 ","'43 ","'5 ","'7 ","'14 ","'2 ","'3 ","'1 ","'54 ",
"'Gumme ","'86,9 ","'75,9 ","'18725 ","'865 ","'11 936 ","'095 ","'201 ","'305 ","'427 ","'158 ","'190 ","'89 ","'459 ",
"'Blaubeuren ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Blaubeuren ","'18,2 ","'79,7 ","'1 887 ","'340 ","'174 ","'38 ","'66 ","'114 ","'324 ","'9 ","'44 ","'9 ","'769 9 ",
"'Wrnegg ","'87,8 ","'77,2 ","'207 ","'70 ","'111 ","'- ","'3 ","'11 ","'3 ","'- ","'- ","'- ","'110 ",
"'%ljd) ","'0,1 ","'77,6 ","'317 ","'9 ","'- ","'188 ","'- ","'2 ","'2 ","'- ","'6 ","'- ","'17 ",
"'Beiningen ","'1,0 ","'57,3 ","'71 ","'- ","'- ","'51 ","'- ","'- ","'1 ","'1 ","'- ","'1 ","'167 ",
"'Berghülen ","'0,1 ","'74,8 ","'338 ","'- ","'- ","'168 ","'- ","'- ","'2 ","'1 ","'- ","'","'148 ",
"'Bermaringen ","'0,6 ","'84,0 ","'423 ","'2 ","'2 ","'261 ","'1 ","'- ","'4 ","'- ","'3 ","'2 ","'2 ",
"'Bollingen ","'99,5 ","'81,7 ","'196 ","'13 ","'140 ","'40 ","'1 ","'- ","'- ","'- ","'- ","'- ","'33 ",
"'Bühlenhaufen ","'- ","'82,5 ","'146 ","'- ","'1 ","'112 ","'- ","'- ","'- ","'- ","'- ","'- ","'19 ",
"'Dornftabt ","'94,9 ","'84,1 ","'305 ","'33 ","'183 ","'60 ","'1 ","'5 ","'1 ","'- ","'3 ","'- ","'21 ",
"'Œggingen ","'100,0 ","'82,2 ","'217 ","'3 ","'147 ","'44 ","'- ","'1 ","'- ","'- ","'1 ","'- ","'13 ",
"'Ermingen ","'99,4 ","'76,2 ","'157 ","'12 ","'98 ","'32 ","'- ","'2 ","'- ","'- ","'- ","'- ","'220 ",
"'Gerhaufen ","'8,3 ","'64,3 ","'477 ","'129 ","'6 ","'27 ","'6 ","'29 ","'33 ","'2 ","'23 ","'2 ","'",
"'Saujen ob lirjpr. ","'98,7 ","'94,5 ","'190 ","'1 ","'186 ","'3 ","'- ","'- ","'- ","'- ","'- ","'- ","'- 103 ",
"'Berrlingen ","'79,9 ","'76,6 ","'598 ","'112 ","'298 ","'12 ","'4 ","'50 ","'10 ","'- ","'5 ","'4 ","'153 ",
"'Rlingenftein ","'70,9 ","'75,0 ","'582 ","'134 ","'138 ","'14 ","'8 ","'101 ","'25 ","'- ","'6 ","'3 ","'122 ",
"'","'- ","'78,8 ","'316 ","'- ","'- ","'182 ","'4 ","'3 ","'1 ","'- ","'4 ","'- ","'41 ",
"'Warfbronn ","'27,9 ","'64,1 ","'132 ","'2 ","'39 ","'47 ","'- ","'- ","'3 ","'- ","'- ","'- ","'113 ",
"'Werllingen ","'0,1 ","'64,4 ","'412 ","'4 ","'- ","'283 ","'5 ","'2 ","'4 ","'- ","'1 ","'- ","'150 ",
"'Rellingen ","'1,0 ","'66,7 ","'428 ","'3 ","'- ","'262 ","'6 ","'- ","'6 ","'- ","'1 ","'- ","'57 ",
"'Sappelau ","'2,9 ","'70,8 ","'195 ","'- ","'7 ","'115 ","'- ","'- ","'11 ","'- ","'5 ","'- ","'7 ",
"'Rabelftetten ","'0,7 ","'70,5 ","'67 ","'- ","'- ","'57 ","'1 ","'2 ","'- ","'- ","'- ","'- ","'47 ",
"'Ringingen ","'95,3 ","'64,9 ","'235 ","'2 ","'163 ","'20 ","'- ","'1 ","'- ","'2 ","'- ","'- ","'159 ",
"'Gdarenftetten ","'0,4 ","'81,8 ","'264 ","'- ","'- ","'99 ","'- ","'2 ","'2 ","'- ","'2 ","'- ","'197 ",
"'Gdjelflingen ","'87,4 ","'84,8 ","'016 ","'167 ","'552 ","'8 ","'6 ","'44 ","'32 ","'4 ","'6 ","'- ","'34 ",
"'Gdymiedjen ","'87,3 ","'74,8 ","'217 ","'9 ","'162 ","'2 ","'- ","'4 ","'3 ","'- ","'2 ","'1 ","'173 ",
"'Geißen ","'0,3 ","'74,1 ","'335 ","'6 ","'- ","'138 ","'- ","'2 ","'13 ","'- ","'3 ","'- ","'34 ",
"'Gonberbud) ","'- ","'64,5 ","'131 ","'12 ","'- ","'79 ","'- ","'2 ","'1 ","'- ","'3 ","'- ","'118 ",
"'Guppingen ","'0,4 ","'61,1 ","'201 ","'- ","'2 ","'74 ","'3 ","'1 ","'3 ","'- ","'- ","'- ","'69 ",
"'Cemmenhaufen ","'- ","'73,0 ","'168 ","'- ","'- ","'96 ","'- ","'- ","'2 ","'- ","'1 ","'- ","'17 ",
"'Comerbingen ","'99,1 ","'59,8 ","'300 ","'2 ","'265 ","'14 ","'- ","'- ","'1 ","'1 ","'- ","'- ","'74 ",
"'Beiler ","'4,9 ","'61,3 ","'114 ","'9 ","'2 ","'18 ","'2 ","'3 ","'5 ","'- ","'1 ","'- ","'65 ",
"'Bippingen ","'21,2 ","'59,0 ","'167 ","'6 ","'21 ","'59 ","'2 ","'4 ","'7 ","'3 ","'- ","'- ","'",
"'Gumme ","'37,6 ","'74,6 ","'10809 ","'1 080 ","'697 ","'2603 ","'119 ","'385 ","'499 ","'23 ","'120 ","'22 ","'3261 ",
"'Böblingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Böblingen ","'8,4 ","'69,2 ","'611 ","'405 ","'123 ","'110 ","'240 ","'627 ","'358 ","'91 ","'156 ","'48 ","'1 453 269 ",
"'Wiblingen ","'1,1 ","'59,9 ","'575 ","'50 ","'- ","'160 ","'4 ","'39 ","'27 ","'2 ","'24 ","'- 3 ","'205 ",
"'","'0,8 ","'70,7 ","'446 ","'17 ","'- ","'135 ","'9 ","'58 ","'12 ","'- ","'7 ","'","'89 ",
"'Breitenftein ","'0,4 ","'74,9 ","'131 ","'4 ","'- ","'22 ","'- ","'13 ","'2 ","'- ","'1 ","'- ","'151 ",
"'Dagersheim ","'1,2 ","'67,6 ","'488 ","'95 ","'- ","'114 ","'7 ","'63 ","'30 ","'3 ","'25 ","'- ","'104 ",
"'Darmsheim ","'0,1 ","'53,4 ","'301 ","'25 ","'- ","'122 ","'2 ","'15 ","'8 ","'6 ","'18 ","'1 ","'29 ",
"'Dägingen ","'89,9 ","'79,1 ","'232 ","'31 ","'149 ","'9 ","'1 ","'8 ","'1 ","'- ","'2 4 ","'2 - ","'59 ",
"'Deufringen ","'0,4 ","'60,8 ","'208 ","'4 ","'- ","'106 ","'3 ","'1 ","'30 ","'1 ","'","'1 ","'160 ",
"'Döffingen ","'1,1 ","'63,9 ","'375 ","'42 ","'1 ","'121 ","'3 ","'20 ","'11 ","'1 ","'15 ","'","'270 ",
"'Ehningen ","'1,2 ","'61,0 ","'694 ","'31 ","'2 ","'269 ","'20 ","'37 ","'25 ","'4 ","'35 ","'1 ","'389 ",
"'Solagerlingen ","'1,5 ","'61,4 ","'919 ","'144 ","'5 ","'114 ","'31 ","'127 ","'46 ","'6 ","'52 ","'5 ","'",
"'Dagitabt ","'1,2 ","'68,2 ","'1 068 ","'106 ","'1 ","'106 ","'16 ","'283 ","'30 ","'6 ","'36 ","'3 ","'481 ",
