"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Oberamt Remeinbe ","'Broa. Unteil ber tath. 98- völtg ","'9Bahl- be- teilt- gung in % ","'gebene gültige Gtim men ","'Gor sial- bemo Tratie ","'8en- frum ","'Baus ern- u. SBein- gärt- nets bund ","'Deut- fde De- mo frat. Bart. ","'Rom- mu nift. Bart. ","'D''na- tionale Bolfor partet ","'Deut- fde Bolto- part.u. Bollo tonf. Bergg ","'Chrl. bient ","'Bolfo redit- partei ","'Statio mais foa. Deutidye Wrb. Sartei ",
"'Dellmenfingen ","'99,2 ","'77,8 ","'419 ","'7 ","'323 ","'37 ","'- ","'4 ","'4 ","'- ","'- ","'- ","'44 ",
"'Dietenheim ","'88,0 ","'70,5 ","'623 ","'74 ","'285 ","'48 ","'9 ","'9 ","'15 ","'1 ","'1 ","'4 ","'177 ",
"'Donauftetten ","'98,1 ","'88,5 ","'193 ","'- ","'179 ","'2 ","'- ","'1 ","'- ","'- ","'- ","'- ","'11 ",
"'Dornborf ","'98,3 ","'89,2 ","'149 ","'1 ","'128 ","'3 ","'- ","'- ","'- ","'- ","'- ","'- ","'17 ",
"'Øögglingen ","'99,4 ","'79,2 ","'164 ","'4 ","'134 ","'5 ","'- ","'1 ","'- ","'- ","'- ","'- ","'20 ",
"'","'99,0 ","'77,6 ","'121 ","'3 ","'92 ","'7 ","'- ","'3 ","'3 ","'- ","'- ","'- ","'13 ",
"'Bütfisheim ","'99,5 ","'86,8 ","'377 ","'- ","'298 ","'18 ","'1 ","'4 ","'3 ","'- ","'- ","'3 ","'50 ",
"'Silerrieben ","'99,4 ","'82,7 ","'256 ","'18 ","'139 ","'53 ","'1 ","'11 ","'3 ","'- ","'- ","'- ","'31 ",
"'Wietingen ","'99,3 ","'84,5 ","'524 ","'12 ","'453 ","'21 ","'- ","'- ","'1 ","'- ","'1 ","'- ","'36 ",
