"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Dberbalabeim ","'5,0 ","'80,4 ","'196 ","'- ","'5 ","'42 ","'5 ","'1 ","'4 ","'- ","'- ","'- ","'139 ",
"'Oberholabeim ","'13,1 ","'65,6 ","'181 ","'2 ","'4 ","'110 ","'- ","'1 ","'4 ","'2 ","'3 ","'2 ","'53 ",
"'Oberfird)berg ","'96,4 ","'66,6 ","'336 ","'21 ","'170 ","'42 ","'- ","'6 ","'9 ","'- ","'1 ","'- ","'87 ",
"'Drfenhaufen ","'99,5 ","'88,4 ","'245 ","'8 ","'216 ","'9 ","'3 ","'- ","'- ","'- ","'- ","'- ","'9 ",
"'Regglisweiler ","'95,1 ","'70,4 ","'285 ","'12 ","'197 ","'6 ","'2 ","'3 ","'3 ","'- ","'- ","'- ","'62 ",
"'Rot ","'97,8 ","'89,8 ","'270 ","'10 ","'235 ","'2 ","'1 ","'9 ","'2 ","'- ","'- ","'- ","'11 ",
"'Gdmürpflingen ","'100,0 ","'67,7 ","'272 ","'2 ","'212 ","'6 ","'- ","'2 ","'1 ","'- ","'- ","'- ","'49 ",
"'Gdjönebüig ","'99,7 ","'75,2 ","'284 ","'1 ","'212 ","'22 ","'3 ","'- ","'1 ","'- ","'- ","'- ","'45 ",
"'Gdywenbi ","'96,4 ","'87,8 ","'656 ","'22 ","'482 ","'19 ","'7 ","'11 ","'2 ","'1 ","'2 ","'2 ","'108 ",
"'GieBen ","'98,8 ","'67,1 ","'240 ","'6 ","'200 ","'9 ","'1 ","'3 ","'2 ","'- ","'- ","'- ","'19 ",
"'Ginningen ","'97,3 ","'87,3 ","'155 ","'3 ","'114 ","'17 ","'1 ","'10 ","'2 ","'- ","'- ","'- ","'8 ",
"'Gteinberg ","'99,3 ","'96,7 ","'262 ","'","'236 ","'11 ","'1 ","'2 ","'- ","'- ","'2 ","'- ","'10 ",
"'Gtetten ","'99,8 ","'75,7 ","'197 ","'4 ","'152 ","'21 ","'- ","'1 ","'- ","'- ","'- ","'- ","'19 ",
"'Gulmingen ","'100,0 ","'90,4 ","'196 ","'2 ","'157 ","'21 ","'1 ","'- ","'- ","'- ","'- ","'- ","'15 ",
"'Unterbalabeim ","'3,9 ","'65,8 ","'214 ","'20 ","'- ","'55 ","'2 ","'4 ","'4 ","'- ","'4 ","'2 ","'123 ",
"'Unterfirdbberg ","'98,4 ","'72,3 ","'325 ","'18 ","'250 ","'2 ","'1 ","'6 ","'4 ","'- ","'- ","'- ","'44 ",
"'Unterweiler ","'95,0 ","'74,1 ","'126 ","'6 ","'98 ","'8 ","'- ","'- ","'4 ","'- ","'1 ","'- ","'9 ",
"'Bain ","'4,6 ","'73,7 ","'460 ","'5 ","'2 ","'114 ","'3 ","'2 ","'19 ","'2 ","'9 ","'1 ","'303 ",
"'SBalpertshofen ","'100,0 ","'76,3 ","'100 ","'3 ","'76 ","'16 ","'1 ","'- ","'- ","'- ","'1 ","'- ","'3 ",
"'Bangen ","'97,6 ","'66,2 ","'86 ","'2 ","'64 ","'1 ","'- ","'- ","'- ","'- ","'- ","'- ","'19 ",
"'Beinftetten ","'99,7 ","'88,3 ","'195 ","'3 ","'178 ","'- ","'- ","'1 ","'1 ","'- ","'- ","'- ","'12 ",
"'Gumme ","'86,7 ","'78,0 ","'13307 ","'639 ","'8 778 ","'955 ","'142 ","'146 ","'154 ","'18 ","'76 ","'38 ","'361 ",
"'geonberg ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'geonberg ","'5,2 ","'80,5 ","'1 945 ","'514 ","'50 ","'84 ","'92 ","'166 ","'93 ","'49 ","'103 ","'28 ","'766 ",
"'DiBingen ","'2,5 ","'74,3 ","'295 ","'289 ","'18 ","'259 ","'23 ","'195 ","'46 ","'10 ","'106 ","'23 ","'326 ",
"'Gifingen ","'1,6 ","'64,9 ","'320 ","'247 ","'10 ","'87 ","'13 ","'415 ","'19 ","'5 ","'147 ","'4 ","'373 ",
"'Fladt ","'0,2 ","'47,5 ","'202 ","'3 ","'- ","'101 ","'2 ","'13 ","'9 ","'- ","'- ","'3 ","'71 ",
"'Friolabeim ","'0,1 ","'54,4 ","'244 ","'31 ","'- ","'49 ","'- ","'29 ","'2 ","'1 ","'35 ","'6 ","'91 ",
"'Gebersheim ","'0,4 ","'66,5 ","'211 ","'35 ","'- ","'85 ","'- ","'6 ","'5 ","'- ","'16 ","'- ","'64 ",
"'Gerlingen ","'1,3 ","'69,1 ","'1 313 ","'290 ","'12 ","'172 ","'18 ","'300 ","'31 ","'12 ","'133 ","'6 ","'339 ",
"'Saufen a. b. 98. ","'4,5 ","'59,8 ","'128 ","'6 ","'2 ","'75 ","'2 ","'10 ","'2 ","'1 ","'7 ","'- ","'23 ",
"'Geimeröingen ","'0,9 ","'74,1 ","'439 ","'9 ","'- ","'250 ","'2 ","'10 ","'6 ","'3 ","'6 ","'1 ","'152 ",
"'Seimsheim ","'0,9 ","'50,1 ","'364 ","'37 ","'1 ","'145 ","'5 ","'16 ","'7 ","'- ","'46 ","'1 ","'106 ",
"'Semmingen ","'3,9 ","'64,5 ","'435 ","'74 ","'2 ","'191 ","'4 ","'29 ","'7 ","'1 ","'4 ","'- ","'123 ",
"'","'1,5 ","'67,7 ","'218 ","'6 ","'- ","'106 ","'- ","'10 ","'2 ","'- ","'- ","'- ","'94 ",
"'Böfingen ","'0,8 ","'72,3 ","'711 ","'94 ","'4 ","'129 ","'5 ","'149 ","'12 ","'2 ","'34 ","'1 ","'281 ",
"'Storntal ","'1,7 ","'80,0 ","'1 142 ","'83 ","'7 ","'132 ","'33 ","'9 ","'274 ","'22 ","'209 ","'13 ","'360 ",
"'","'0,4 ","'64,1 ","'493 ","'103 ","'- ","'175 ","'4 ","'88 ","'1 ","'4 ","'25 ","'3 ","'90 ",
"'Werflingen ","'2,3 ","'52,2 ","'538 ","'67 ","'1 ","'133 ","'10 ","'68 ","'23 ","'2 ","'13 ","'6 ","'215 ",
"'","'0,6 ","'70,7 ","'521 ","'205 ","'- ","'102 ","'4 ","'48 ","'13 ","'6 ","'14 ","'6 ","'123 ",
"'Wündingen ","'2,3 ","'69,5 ","'901 ","'113 ","'3 ","'210 ","'7 ","'191 ","'19 ","'6 ","'14 ","'- ","'338 ",
"'Wünflingen ","'0,2 ","'69,0 ","'212 ","'15 ","'- ","'61 ","'1 ","'44 ","'3 ","'- ","'22 ","'- ","'66 ",
"'Beroufe ","'0,7 ","'56,7 ","'156 ","'15 ","'- ","'69 ","'2 ","'8 ","'1 ","'1 ","'5 ","'1 ","'54 ",
