"'","'","'","'","'","'","'Son ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'anteil ber Tath. 9Be- völtg ","'SBabl- be- teili- gung in % ","'gebene gültige Gtim- men ","'Go- sial- bemos fratie ","'8ens trum ","'Bau= ern- u. Sein- gätts nets bund ","'Deut- idje De- mos frat. Bart. ","'Rom- muts nift. Bart. ","'.'na- tionale partei ","'Oeut- fidie Bolts part.u. fonj. Bergg. ","'Chrl. Bolle bienft ","'Solls redit- partei ","'no for Deutide Mrb. Soctel ",
"'Gtrümpfelbad) ","'1,9 ","'59,0 ","'102 ","'2 ","'2 ","'67 ","'- ","'2 ","'5 ","'- ","'- ","'- ","'24 ",
"'Gulabad) ","'1,3 ","'55,8 ","'930 ","'51 ","'2 ","'148 ","'26 ","'42 ","'28 ","'3 ","'87 ","'15 ","'528 ",
"'Unterbrüben ","'- ","'50,2 ","'125 ","'8 ","'- ","'41 ","'- ","'40 ","'4 ","'- ","'4 ","'- ","'28 ",
"'Unterweiffad) ","'1,6 ","'53,4 ","'322 ","'16 ","'1 ","'107 ","'3 ","'11 ","'35 ","'- ","'8 ","'1 ","'140 ",
"'","'- ","'60,3 ","'117 ","'12 ","'- ","'63 ","'- ","'7 ","'- ","'- ","'2 ","'- ","'33 ",
"'Gumme ","'3,1 ","'58,6 ","'11 942 ","'1 052 ","'248 ","'2 364 ","'310 ","'1 576 ","'732 ","'146 ","'586 ","'156 ","'4772 ",
"'D9I. Balingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Balingen ","'14,6 ","'61,0 ","'2 029 ","'375 ","'158 ","'44 ","'164 ","'155 ","'148 ","'39 ","'88 ","'109 ","'749 ",
"'Bib ","'1,8 ","'32,8 ","'432 ","'38 ","'2 ","'1 ","'135 ","'79 ","'43 ","'- ","'4 ","'3 ","'127 ",
"'Burgfelben ","'- ","'52,2 ","'70 ","'- ","'- ","'16 ","'29 ","'4 ","'- ","'- ","'5 ","'- ","'16 ",
