"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'$ro3. Anteil ber tath. 9Be pölfg. ","'Sabls be- teilt- gung in % ","'gebene gültige Gtim- men ","'Gos gial- bemo- tratie ","'Bens trum ","'Bau= em: 11. Seins gärts nets Bund ","'Deuts idje Des mos trat. Bartei ","'Rom= mus nift. Bartei ","'D.'na- tionale Bolfer partei ","'Deuts Bolte- part u Bolfer fonj. Bergg. ","'Chel. Bolts= bienft ","'Bolfe= redit- partei ","'Ratios nal= [03. Deutidje Wrb.: Partei ",
"'Ziefenbad) ","'0,8 ","'68,2 ","'261 ","'4 ","'- ","'60 ","'- ","'4 ","'8 ","'2 ","'1 ","'- ","'182 ",
"'Triensbad) ","'0,4 ","'52,4 ","'155 ","'4 ","'- ","'76 ","'- ","'- ","'7 ","'- ","'3 ","'1 ","'64 ",
"'Unterbeufftetten ","'82,7 ","'35,3 ","'254 ","'4 ","'124 ","'1 ","'2 ","'2 ","'1 ","'- ","'4 ","'1 ","'115 ",
"'Baldtann ","'1,1 ","'75,0 ","'350 ","'- ","'- ","'207 ","'- ","'- ","'18 ","'- ","'3 ","'- ","'122 ",
"'Seipertshofen ","'22,1 ","'73,5 ","'211 ","'- ","'44 ","'91 ","'3 ","'- ","'11 ","'- ","'5 ","'1 ","'56 ",
"'Beftgartshaufen ","'1,2 ","'60,1 ","'201 ","'- ","'- ","'89 ","'- ","'- ","'5 ","'- ","'3 ","'1 ","'103 ",
"'Bilbenftein ","'24,5 ","'62,4 ","'279 ","'7 ","'39 ","'53 ","'- ","'- ","'12 ","'- ","'- ","'3 ","'165 ",
"'Gumme ","'15,5 ","'64,4 ","'10840 ","'926 ","'931 ","'2 986 ","'263 ","'269 ","'681 ","'95 ","'219 ","'81 ","'4389 ",
"'001. Chingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Ebingen ","'88,7 ","'78,5 ","'488 ","'201 ","'1 391 ","'39 ","'68 ","'132 ","'122 ","'16 ","'12 ","'21 ","'486 ",
"'","'92,0 ","'78,1 ","'741 ","'86 ","'396 ","'36 ","'14 ","'30 ","'83 ","'2 ","'- ","'6 ","'88 ",
"'Slibierlingen ","'98,8 ","'73,8 ","'103 ","'3 ","'80 ","'11 ","'1 ","'- ","'3 ","'- ","'- ","'- ","'5 ",
"'Witheim ","'98,9 ","'82,2 ","'210 ","'7 ","'172 ","'16 ","'4 ","'1 ","'5 ","'- ","'- ","'- ","'5 ",
"'","'95,8 ","'86,7 ","'196 ","'- ","'153 ","'8 ","'1 ","'- ","'3 ","'- ","'1 ","'- ","'30 ",
"'Bad) ","'99,6 ","'87,6 ","'113 ","'8 ","'83 ","'- ","'- ","'- ","'1 ","'- ","'- ","'- ","'21 ",
"'Berg ","'98,1 ","'78,3 ","'173 ","'8 ","'107 ","'16 ","'- ","'- ","'5 ","'- ","'- ","'- ","'37 ",
