"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Berlad) ","'89,4 ","'76,4 ","'83 ","'1 ","'51 ","'15 ","'1 ","'- ","'- ","'- ","'- ","'- ","'15 ",
"'Dädingen ","'99,5 ","'85,4 ","'191 ","'1 ","'167 ","'1 ","'1 ","'3 ","'9 ","'- ","'- ","'- ","'9 ",
"'Dettingen ","'89,3 ","'82,2 ","'225 ","'2 ","'196 ","'14 ","'4 ","'2 ","'- ","'- ","'- ","'- ","'7 ",
"'Donaurieden ","'100,0 ","'86,6 ","'162 ","'2 ","'142 ","'10 ","'1 ","'- ","'1 ","'- ","'1 ","'- ","'5 ",
"'Gmerfingen ","'99,8 ","'79,4 ","'224 ","'3 ","'133 ","'42 ","'- ","'1 ","'4 ","'- ","'- ","'1 ","'40 ",
"'Onnahofen ","'0,8 ","'43,0 ","'77 ","'1 ","'1 ","'33 ","'- ","'- ","'3 ","'- ","'- ","'2 ","'37 ",
"'Grbad) ","'96,0 ","'70,6 ","'711 ","'17 ","'325 ","'43 ","'3 ","'33 ","'14 ","'2 ","'- ","'3 ","'268 ",
"'Erfingen ","'6,1 ","'73,3 ","'184 ","'1 ","'1 ","'120 ","'- ","'2 ","'5 ","'- ","'8 ","'- ","'47 ",
"'grantenhofen ","'99,7 ","'84,0 ","'157 ","'- ","'146 ","'6 ","'- ","'2 ","'1 ","'- ","'- ","'- ","'2 ",
"'Gamerfdwwang ","'99,6 ","'88,9 ","'119 ","'- ","'87 ","'10 ","'- ","'- ","'- ","'1 ","'- ","'- ","'21 ",
"'Granheim ","'96,6 ","'84,7 ","'153 ","'- ","'132 ","'2 ","'- ","'4 ","'2 ","'- ","'- ","'1 ","'12 ",
"'Griefingen ","'99,1 ","'81,6 ","'311 ","'4 ","'215 ","'40 ","'- ","'1 ","'4 ","'1 ","'- ","'- ","'46 ",
"'Grögingen ","'5,7 ","'57,8 ","'93 ","'1 ","'1 ","'79 ","'- ","'- ","'- ","'- ","'- ","'- ","'12 ",
"'Grundsheim ","'100,0 ","'96,1 ","'121 ","'1 ","'114 ","'4 ","'- ","'- ","'1 ","'- ","'- ","'- ","'1 ",
"'Gerbertshofen ","'96,7 ","'80,0 ","'89 ","'- ","'68 ","'13 ","'- ","'- ","'2 ","'- ","'3 ","'- ","'3 ",
"'beufelben ","'99,2 ","'96,3 ","'129 ","'- ","'117 ","'10 ","'- ","'- ","'- ","'- ","'- ","'- ","'2 ",
"'Sunberfingen ","'100,0 ","'85,4 ","'117 ","'1 ","'73 ","'21 ","'2 ","'1 ","'3 ","'- ","'- ","'6 ","'10 ",
"'Rirdbbierlingen ","'99,4 ","'73,8 ","'203 ","'2 ","'160 ","'11 ","'- ","'- ","'2 ","'- ","'2 ","'- ","'26 ",
"'Rirdjen ","'97,3 ","'74,5 ","'327 ","'3 ","'205 ","'67 ","'2 ","'- ","'8 ","'- ","'- ","'1 ","'41 ",
"'Oaterad) ","'97,3 ","'73,9 ","'210 ","'5 ","'167 ","'4 ","'- ","'3 ","'- ","'- ","'- ","'2 ","'29 ",
"'Doosbeuren ","'98,9 ","'59,9 ","'157 ","'5 ","'76 ","'41 ","'- ","'- ","'4 ","'- ","'- ","'2 ","'29 ",
"'","'98,5 ","'60,4 ","'92 ","'- ","'64 ","'15 ","'- ","'- ","'1 ","'- ","'- ","'- ","'12 ",
"'Bunberfingen ","'96,8 ","'81,4 ","'976 ","'45 ","'593 ","'6 ","'2 ","'21 ","'15 ","'- ","'2 ","'4 ","'288 ",
"'Bundingen ","'- ","'76,8 ","'146 ","'2 ","'3 ","'36 ","'1 ","'- ","'4 ","'- ","'1 ","'- ","'99 ",
"'glasgenftabt ","'99,5 ","'88,1 ","'117 ","'3 ","'106 ","'3 ","'1 ","'1 ","'1 ","'1 ","'- ","'- ","'1 ",
"'Rieberhofen ","'99,4 ","'73,4 ","'159 ","'- ","'104 ","'35 ","'- ","'- ","'2 ","'- ","'- ","'- ","'18 ",
"'Oberbifdjingen ","'95,9 ","'69,0 ","'363 ","'17 ","'252 ","'6 ","'- ","'- ","'11 ","'1 ","'- ","'- ","'76 ",
"'Obermard)tal ","'98,4 ","'82,6 ","'515 ","'6 ","'375 ","'10 ","'2 ","'3 ","'27 ","'- ","'1 ","'5 ","'86 ",
"'Oberitation ","'99,7 ","'71,5 ","'141 ","'2 ","'91 ","'16 ","'2 ","'- ","'1 ","'- ","'- ","'1 ","'28 ",
"'Dggelsbeuren ","'100,0 ","'90,6 ","'275 ","'3 ","'185 ","'55 ","'- ","'2 ","'- ","'1 ","'- ","'- ","'29 ",
"'Opfingen ","'98,9 ","'85,9 ","'291 ","'2 ","'189 ","'21 ","'2 ","'2 ","'2 ","'- ","'2 ","'1 ","'70 ",
"'Reditenftein ","'98,5 ","'78,0 ","'117 ","'3 ","'90 ","'2 ","'1 ","'1 ","'1 ","'- ","'- ","'1 ","'18 ",
"'Rißtiffen ","'100,0 ","'81,0 ","'442 ","'8 ","'276 ","'86 ","'6 ","'1 ","'5 ","'- ","'- ","'3 ","'57 ",
"'Rottenader ","'4,9 ","'64,9 ","'519 ","'50 ","'1 ","'75 ","'4 ","'26 ","'27 ","'2 ","'6 ","'1 ","'327 ",
"'Rupertshofen ","'100,0 ","'87,8 ","'124 ","'- ","'109 ","'7 ","'- ","'- ","'- ","'- ","'1 ","'- ","'7 ",
"'Gdaiblishaufen ","'99,2 ","'76,6 ","'109 ","'5 ","'82 ","'12 ","'- ","'- ","'- ","'- ","'- ","'- ","'10 ",
