"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Brog. ber tath. 9B- völtg. ","'9Babl- be- teili- gung in % ","'Wigge- gebene gültige Gtim- men ","'Go- gial- bemo- fratie ","'8en- frum ","'Bau- ern- u. SBein- gärt- ner- Bunb ","'Deut- (d)e De. mo- frat. Bartei ","'Rom- mu- nift. Dartet ","'D.'na- tionale Bolts- partei ","'Deut- (die Bolts- part.u. Bolte- toni. Bergg. ","'Ebrl. Bolfo- bienit ","'Bolfo- redit- partei ","'Matio- nal- foa. Mrb.- Bartei ",
"'Euttlingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Euttlingen ","'28,4 ","'69,7 ","'8 638 ","'2 341 ","'712 ","'48 ","'486 ","'859 ","'336 ","'56 ","'299 ","'605 ","'2 896 ",
"'Durdjhaufen ","'98,3 ","'79,6 ","'241 ","'3 ","'176 ","'25 ","'4 ","'2 ","'1 ","'- ","'- ","'- ","'30 ",
"'Gribingen a. D. ","'97,6 ","'55,4 ","'437 ","'87 ","'159 ","'3 ","'12 ","'40 ","'1 ","'- ","'- ","'9 ","'126 ",
"'Øunningen ","'93,2 ","'80,9 ","'207 ","'16 ","'148 ","'9 ","'9 ","'2 ","'1 ","'1 ","'1 ","'1 ","'19 ",
"'faufen ob Berena ","'1,1 ","'59,8 ","'210 ","'42 ","'- ","'3 ","'7 ","'10 ","'7 ","'- ","'47 ","'- ","'94 ",
"'","'99,6 ","'63,6 ","'251 ","'12 ","'102 ","'59 ","'1 ","'26 ","'- ","'- ","'2 ","'4 ","'45 ",
"'Rolbingen ","'99,6 ","'80,9 ","'324 ","'7 ","'176 ","'79 ","'6 ","'5 ","'1 ","'- ","'1 ","'7 ","'42 ",
"'","'91,3 ","'68,3 ","'142 ","'2 ","'39 ","'1 ","'58 ","'9 ","'- ","'- ","'2 ","'1 ","'30 ",
"'a. D. ","'94,0 ","'62,4 ","'483 ","'124 ","'247 ","'5 ","'21 ","'9 ","'6 ","'- ","'- ","'22 ","'49 ",
"'Renöingen ","'98,6 ","'52,0 ","'430 ","'45 ","'222 ","'15 ","'9 ","'12 ","'1 ","'1 ","'4 ","'8 ","'113 ",
"'Reubaufen ob Ed ","'2,4 ","'52,4 ","'359 ","'88 ","'1 ","'41 ","'57 ","'59 ","'5 ","'1 ","'13 ","'4 ","'90 ",
"'Oberfladyt ","'98,9 ","'81,2 ","'228 ","'43 ","'144 ","'14 ","'3 ","'8 ","'2 ","'- ","'1 ","'1 ","'12 ",
"'Renquishaufen ","'100,0 ","'65,5 ","'149 ","'4 ","'92 ","'19 ","'6 ","'6 ","'1 ","'- ","'- ","'- ","'21 ",
"'Rietheim ","'7,8 ","'66,3 ","'265 ","'62 ","'6 ","'9 ","'6 ","'17 ","'4 ","'- ","'5 ","'6 ","'150 ",
"'Gdjura ","'3,7 ","'77,5 ","'296 ","'46 ","'- ","'21 ","'36 ","'2 ","'8 ","'- ","'33 ","'- ","'150 ",
"'Geitingen ","'97,8 ","'74,9 ","'286 ","'14 ","'181 ","'17 ","'6 ","'12 ","'- ","'1 ","'1 ","'3 ","'51 ",
"'Gtetten ","'97,7 ","'78,4 ","'220 ","'29 ","'111 ","'16 ","'- ","'8 ","'1 ","'- ","'1 ","'16 ","'38 ",
"'Salheim ","'0,6 ","'77,0 ","'377 ","'62 ","'- ","'18 ","'13 ","'4 ","'6 ","'1 ","'14 ","'1 ","'258 ",
"'groffingen ","'11,4 ","'76,8 ","'140 ","'800 ","'144 ","'66 ","'702 ","'54 ","'65 ","'37 ","'228 ","'12 ","'1032 ",
"'Tunningen ","'1,5 ","'77,4 ","'706 ","'126 ","'- ","'107 ","'117 ","'14 ","'16 ","'- ","'79 ","'1 ","'246 ",
"'Beigheim ","'99,3 ","'63,4 ","'214 ","'11 ","'120 ","'2 ","'13 ","'8 ","'- ","'- ","'1 ","'1 ","'58 ",
"'Beilheim ","'98,9 ","'68,1 ","'221 ","'31 ","'122 ","'3 ","'3 ","'3 ","'- ","'- ","'1 ","'- ","'58 ",
"'Burmlingen ","'95,4 ","'60,4 ","'782 ","'178 ","'329 ","'9 ","'12 ","'86 ","'10 ","'2 ","'4 ","'31 ","'121 ",
"'Gumme ","'42,3 ","'69,6 ","'18606 ","'4173 ","'231 ","'589 ","'587 ","'1 255 ","'472 ","'100 ","'737 ","'733 ","'5729 ",
"'UIm ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'UIIm ","'42,0 ","'77,8 ","'32 865 ","'285 ","'773 ","'261 ","'1 163 ","'1 791 ","'3 337 ","'288 ","'1 129 ","'302 ","'12 536 ",
"'","'0,4 ","'61,0 ","'178 ","'4 ","'- ","'114 ","'4 ","'- ","'2 ","'- ","'3 ","'- ","'51 ",
"'WItheim ","'0,4 ","'68,7 ","'455 ","'9 ","'1 ","'172 ","'2 ","'- ","'8 ","'2 ","'9 ","'3 ","'249 ",
"'Mifelfingen ","'0,6 ","'77,9 ","'310 ","'- ","'1 ","'130 ","'1 ","'- ","'2 ","'- ","'- ","'- ","'176 ",
"'Ballenborf ","'- ","'77,1 ","'242 ","'2 ","'1 ","'125 ","'2 ","'- ","'4 ","'1 ","'4 ","'1 ","'102 ",
"'Beimerftetten ","'1,9 ","'52,9 ","'233 ","'7 ","'1 ","'102 ","'3 ","'5 ","'12 ","'- ","'3 ","'- ","'100 ",
"'Bernftabt ","'0,1 ","'63,7 ","'307 ","'6 ","'- ","'183 ","'1 ","'2 ","'6 ","'- ","'2 ","'- ","'107 ",
"'Biffingen: o. Contal ","'42,9 ","'78,3 ","'190 ","'- ","'74 ","'88 ","'2 ","'1 ","'3 ","'- ","'1 ","'2 ","'19 ",
"'Börslingen ","'- ","'89,6 ","'95 ","'1 ","'1 ","'65 ","'- ","'- ","'- ","'- ","'- ","'- ","'28 ",
"'Breitingen ","'2,9 ","'56,1 ","'60 ","'3 ","'2 ","'19 ","'- ","'2 ","'1 ","'- ","'2 ","'- ","'31 ",
"'Ebrenftein ","'71,4 ","'76,8 ","'491 ","'134 ","'171 ","'14 ","'6 ","'62 ","'11 ","'- ","'4 ","'- ","'89 ",
"'Einfingen ","'88,2 ","'78,9 ","'284 ","'- ","'145 ","'63 ","'3 ","'4 ","'6 ","'- ","'- ","'- ","'63 ",
"'","'- ","'81,7 ","'147 ","'- ","'- ","'97 ","'- ","'- ","'2 ","'- ","'- ","'1 ","'47 ",
