"'","'","'","'","'","'","'Son ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Pros. Unteil ber tath. Be= böltg. ","'bes teili- gung in % ","'Qbge- gebene gültige Gtim- men ","'Go- gial- Demo- tratie ","'3en- trum ","'Bau- em- u. SBein- gärt- ner- Bunb ","'Deut- (de De- mo- trat. Dartei ","'Stom- mu- nift. Bartei ","'D.'na- tionale Solle- partet ","'Deut- fde Bolte- part.ul. Bolte- tonj. Bergg. ","'Chrl. Solls. bienft ","'Bolts redyt- partei ","'Ratio- nat- fos. Deufidge Wrb. Bartei ",
"'Stetten i. 9R. ","'0,9 ","'68,2 ","'908 ","'53 ","'1 ","'348 ","'21 ","'52 ","'28 ","'2 ","'65 ","'3 ","'331 ",
"'Strümpfelbad) ","'0,3 ","'55,5 ","'415 ","'20 ","'- ","'135 ","'2 ","'45 ","'10 ","'1 ","'4 ","'- ","'198 ",
"'Binnenben ","'5,3 ","'55,2 ","'1 608 ","'218 ","'64 ","'180 ","'54 ","'91 ","'192 ","'19 ","'102 ","'81 ","'601 ",
"'Gumme ","'5,6 ","'66,8 ","'22 815¹) ","'3 794 ","'916 ","'885 ","'620 ","'395 ","'1 176 ","'136 ","'1 079 ","'579 ","'7174 ",
"'2Balbjee ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Balojee ","'94,0 ","'72,5 ","'1 730 ","'84 ","'1 181 ","'12 ","'61 ","'35 ","'18 ","'7 ","'- ","'96 ","'236 ",
"'","'99,9 ","'78,4 ","'351 ","'4 ","'293 ","'10 ","'3 ","'- ","'1 ","'- ","'- ","'- ","'40 ",
"'Mulenborf ","'92,6 ","'69,1 ","'285 ","'151 ","'790 ","'26 ","'33 ","'66 ","'13 ","'5 ","'- ","'7 ","'194 ",
"'Bergatreute ","'99,5 ","'66,1 ","'548 ","'3 ","'401 ","'17 ","'5 ","'10 ","'2 ","'- ","'- ","'5 ","'105 ",
"'Dietmanns ","'99,6 ","'67,6 ","'324 ","'2 ","'240 ","'36 ","'","'2 ","'- ","'- ","'- ","'1 ","'43 ",
"'","'95,7 ","'79,6 ","'599 ","'9 ","'496 ","'36 ","'3 ","'7 ","'- ","'2 ","'- ","'- ","'46 ",
"'Cintürnen ","'98,9 ","'70,4 ","'317 ","'- ","'256 ","'2 ","'- ","'13 ","'- ","'1 ","'- ","'1 ","'44 ",
"'Gaisbeuren ","'98,2 ","'86,6 ","'354 ","'15 ","'265 ","'10 ","'1 ","'2 ","'- ","'1 ","'- ","'- ","'60 ",
"'baibgau ","'100,0 ","'63,0 ","'273 ","'3 ","'189 ","'35 ","'- ","'3 ","'1 ","'- ","'- ","'3 ","'39 ",
"'baifterfird) ","'99,7 ","'67,3 ","'409 ","'3 ","'288 ","'57 ","'- ","'1 ","'1 ","'1 ","'- ","'6 ","'52 ",
"'bodjooff ","'99,7 ","'76,1 ","'165 ","'1 ","'108 ","'27 ","'- ","'- ","'1 ","'- ","'- ","'- ","'28 ",
"'nummertsrieb ","'99,4 ","'92,6 ","'85 ","'2 ","'58 ","'3 ","'- ","'- ","'- ","'- ","'- ","'19 ","'3 ",
"'Sngoldingen ","'98,1 ","'62,0 ","'249 ","'3 ","'171 ","'48 ","'2 ","'- ","'- ","'- ","'- ","'2 ","'23 ",
