"'","'","'","'","'","'","'Son ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Bidelwinnaben ","'96,6 ","'62,7 ","'263 ","'3 ","'197 ","'30 ","'2 ","'2 ","'- ","'- ","'- ","'4 ","'25 ",
"'Rühlbaujen ","'98,6 ","'93,9 ","'184 ","'2 ","'131 ","'35 ","'1 ","'- ","'1 ","'- ","'- ","'10 ","'4 ",
"'Obereffenborf ","'98,8 ","'71,3 ","'251 ","'1 ","'153 ","'69 ","'3 ","'1 ","'1 ","'- ","'- ","'2 ","'21 ",
"'Otterswang ","'99,1 ","'86,0 ","'279 ","'1 ","'225 ","'7 ","'","'1 ","'2 ","'- ","'- ","'- ","'43 ",
"'Reute ","'98,3 ","'85,9 ","'862 ","'18 ","'740 ","'12 ","'1 ","'1 ","'5 ","'- ","'- ","'12 ","'73 ",
"'Sdjuffentied ","'86,1 ","'65,3 ","'289 ","'121 ","'831 ","'19 ","'8 ","'38 ","'42 ","'4 ","'- ","'3 ","'223 ",
"'Edweinhaufen ","'97,9 ","'66,6 ","'210 ","'4 ","'154 ","'21 ","'- ","'- ","'- ","'- ","'- ","'- ","'31 ",
"'Steinad) ","'96,7 ","'68,0 ","'351 ","'36 ","'219 ","'30 ","'3 ","'6 ","'- ","'- ","'- ","'5 ","'52 ",
"'Steinhaufen ","'99,7 ","'70,1 ","'122 ","'- ","'107 ","'3 ","'3 ","'- ","'- ","'1 ","'- ","'- ","'8 ",
"'Sannhaujen ","'99,3 ","'51,4 ","'162 ","'11 ","'127 ","'4 ","'- ","'1 ","'- ","'- ","'- ","'1 ","'18 ",
"'Untereffenborf ","'98,9 ","'76,1 ","'164 ","'1 ","'118 ","'22 ","'2 ","'1 ","'- ","'- ","'- ","'- ","'20 ",
"'Interjdwwar3ad) ","'98,8 ","'72,0 ","'481 ","'5 ","'372 ","'83 ","'1 ","'- ","'1 ","'- ","'- ","'1 ","'18 ",
"'Unterurbad) ","'99,4 ","'57,6 ","'239 ","'6 ","'180 ","'20 ","'- ","'- ","'- ","'- ","'- ","'4 ","'29 ",
"'Binterftettenborf ","'96,4 ","'76,9 ","'131 ","'3 ","'107 ","'6 ","'- ","'- ","'1 ","'- ","'- ","'1 ","'13 ",
"'","'98,8 ","'59,2 ","'186 ","'4 ","'96 ","'16 ","'2 ","'- ","'1 ","'- ","'- ","'1 ","'66 ",
"'Bolfegg ","'96,8 ","'75,2 ","'1 126 ","'19 ","'882 ","'18 ","'26 ","'23 ","'9 ","'4 ","'- ","'16 ","'129 ",
"'BiegeIbad) ","'98,7 ","'79,1 ","'305 ","'","'187 ","'40 ","'- ","'2 ","'2 ","'- ","'- ","'- ","'74 ",
"'Bollenreute ","'93,6 ","'69,3 ","'241 ","'12 ","'164 ","'23 ","'1 ","'9 ","'- ","'- ","'- ","'1 ","'31 ",
"'Gumme ","'95,8 ","'71,4 ","'13535 ","'527 ","'9 726 ","'777 ","'161 ","'224 ","'102 ","'26 ","'- ","'201 ","'1 791 ",
"'Sangen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Bangen ","'89,6 ","'74,1 ","'3 324 ","'525 ","'1 618 ","'13 ","'75 ","'233 ","'77 ","'9 ","'20 ","'25 ","'729 ",
"'Imt3ell ","'96,5 ","'71,8 ","'699 ","'8 ","'490 ","'105 ","'- ","'- ","'2 ","'- ","'- ","'3 ","'91 ",
"'Beuren ","'99,6 ","'77,6 ","'351 ","'4 ","'306 ","'11 ","'- ","'1 ","'1 ","'1 ","'1 ","'1 ","'25 ",
"'Criftaabofen ","'99,4 ","'84,5 ","'444 ","'6 ","'423 ","'4 ","'1 ","'2 ","'- ","'- ","'- ","'1 ","'7 ",
"'Deudjelried ","'96,8 ","'81,7 ","'436 ","'7 ","'401 ","'7 ","'- ","'2 ","'1 ","'- ","'- ","'1 ","'17 ",
"'Eggenreute ","'96,2 ","'53,8 ","'105 ","'1 ","'82 ","'13 ","'- ","'1 ","'- ","'- ","'- ","'1 ","'7 ",
"'Gglofs ","'97,7 ","'76,6 ","'622 ","'6 ","'476 ","'13 ","'2 ","'5 ","'1 ","'- ","'- ","'1 ","'118 ",
"'Cifenhar3 ","'98,7 ","'93,7 ","'573 ","'27 ","'514 ","'5 ","'2 ","'9 ","'2 ","'- ","'- ","'3 ","'11 ",
"'Emmelhofen ","'98,8 ","'84,1 ","'317 ","'6 ","'282 ","'3 ","'- ","'1 ","'1 ","'- ","'- ","'2 ","'22 ",
"'böttlishofen ","'99,8 ","'78,8 ","'218 ","'- ","'209 ","'1 ","'- ","'- ","'- ","'- ","'- ","'3 ","'5 ",
"'GroBhoIgleute ","'93,9 ","'80,6 ","'452 ","'56 ","'314 ","'6 ","'14 ","'5 ","'6 ","'1 ","'12 ","'- ","'38 ",
"'Smmenried ","'99,8 ","'87,3 ","'294 ","'7 ","'264 ","'6 ","'2 ","'1 ","'2 ","'- ","'1 ","'1 ","'10 ",
