"'Gdywaigern . ","'5,2 ","'74,4 ","'1 158 ","'259 ","'47 ","'367 ","'53 ","'18 ","'13 ","'9 ","'45 ","'5 ","'342 ",
"'Gpielberg ","'- ","'64,0 ","'57 ","'2 ","'- ","'25 ","'- ","'1 ","'1 ","'- ","'10 ","'- ","'18 ",
"'Gtetten a. $. ","'0,9 ","'68,9 ","'446 ","'39 ","'- ","'184 ","'6 ","'1 ","'1 ","'1 ","'4 ","'2 ","'208 ",
"'Gtodheim . ","'96,3 ","'84,1 ","'263 ","'23 ","'213 ","'15 ","'3 ","'- ","'- ","'2 ","'- ","'- ","'7 ",
"'Beiler ","'- ","'70,0 ","'168 ","'26 ","'- ","'16 ","'- ","'1 ","'4 ","'- ","'40 ","'- ","'81 ",
"'Baberfeld ","'0,4 ","'66,2 ","'358 ","'48 ","'- ","'111 ","'44 ","'16 ","'9 ","'4 ","'18 ","'1 ","'107 ",
"'Gumme ","'7,9 ","'67,1 ","'10 545 ","'1 887 ","'669 ","'3 744 ","'576 ","'380 ","'135 ","'107 ","'571 ","'42 ","'434 ",
"'bu. Ealw ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Calw ","'11,4 ","'72,1 ","'2 702 ","'502 ","'127 ","'37 ","'223 ","'240 ","'297 ","'186 ","'290 ","'33 ","'767 ",
"'9(genbad) ","'- ","'75,2 ","'115 ","'8 ","'- ","'19 ","'- ","'3 ","'2 ","'- ","'7 ","'- ","'76 ",
"'","'- ","'73,2 ","'137 ","'4 ","'- ","'69 ","'- ","'- ","'1 ","'- ","'- ","'1 ","'62 ",
"'","'0,3 ","'53,9 ","'181 ","'12 ","'- ","'40 ","'2 ","'10 ","'9 ","'1 ","'6 ","'3 ","'98 ",
"'","'0,3 ","'49,7 ","'353 ","'45 ","'- ","'24 ","'3 ","'75 ","'7 ","'4 ","'61 ","'1 ","'133 ",
"'Slithengftett ","'1,9 ","'58,0 ","'393 ","'33 ","'2 ","'150 ","'3 ","'35 ","'9 ","'5 ","'23 ","'10 ","'123 ",
"'","'0,2 ","'48,1 ","'150 ","'8 ","'1 ","'15 ","'1 ","'28 ","'2 ","'2 ","'19 ","'1 ","'73 ",
"'Bab gieben3ell ","'8,9 ","'71,0 ","'805 ","'115 ","'18 ","'7 ","'12 ","'60 ","'126 ","'40 ","'93 ","'4 ","'330 ",
"'Bab Teinad) ","'9,6 ","'76,4 ","'241 ","'55 ","'3 ","'- ","'19 ","'25 ","'9 ","'15 ","'14 ","'2 ","'99 ",
"'Bergorte ","'0,3 ","'60,5 ","'146 ","'5 ","'- ","'12 ","'- ","'- ","'1 ","'- ","'6 ","'1 ","'121 ",
