"'","'","'","'","'","'","'","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Beiler ","'1,3 ","'85,8 ","'175 ","'15 ","'- ","'45 ","'- ","'4 ","'- ","'- ","'7 ","'- ","'525 ",
"'Beilheim a. b. 5. ","'1,3 ","'56,7 ","'239 ","'161 ","'4 ","'271 ","'15 ","'63 ","'22 ","'21 ","'125 ","'32 ","'236 ",
"'Bell 11. Widjelberg ","'0,8 ","'67,1 ","'379 ","'10 ","'- ","'87 ","'5 ","'7 ","'- ","'1 ","'26 ","'7 ","'",
"'Gumme ","'2,8 ","'64,7 ","'14434 ","'2408 ","'248 ","'2073 ","'367 ","'1 404 ","'418 ","'293 ","'1275 ","'207 ","'5741 ",
"'Süngelsan ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Rüngelsau ","'7,3 ","'75,6 ","'1 582 ","'371 ","'121 ","'49 ","'95 ","'67 ","'100 ","'79 ","'112 ","'19 ","'569 6 ",
"'Wilringen ","'95,9 ","'92,7 ","'279 ","'1 ","'260 ","'8 ","'- ","'- ","'- ","'2 ","'1 ","'1 ","'7 ",
"'Witfrautheim ","'100,0 ","'86,2 ","'168 ","'2 ","'156 ","'3 ","'- ","'- ","'- ","'- ","'- ","'- ","'7 ",
"'","'97,3 ","'92,7 ","'140 ","'- ","'130 ","'3 ","'- ","'- ","'- ","'- ","'- ","'- ","'14 ",
"'","'94,1 ","'82,4 ","'173 ","'1 ","'148 ","'1 ","'- ","'1 ","'8 ","'- ","'- ","'- ","'83 ",
"'Beljenberg ","'0,3 ","'71,9 ","'156 ","'1 ","'- ","'66 ","'- ","'- ","'4 ","'- ","'- ","'2 ","'38 ",
"'Berlidingen ","'84,4 ","'91,6 ","'495 ","'61 ","'332 ","'52 ","'4 ","'4 ","'2 ","'1 ","'- ","'1 ","'14 ",
"'Bieringen ","'99,2 ","'87,7 ","'493 ","'2 ","'468 ","'7 ","'- ","'1 ","'- ","'1 ","'- ","'- ","'",
