"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'ber tarb. 93- pölfg ","'9Babl- be teili- gung in % ","'gebene gültige Gtim- men ","'Go- sial- Demo- tratie ","'8en- trum ","'Bau- ern- u gärt- ner- Bund ","'Deut- (de De mo- frat. Bartei ","'Rom- mu- nift. Bartei ","'D 'na- tionale Bolte- partei ","'Deut- Bolte- part.ut. Bollo- tonj. Bergg. ","'Chrl. 9olto bienft ","'redyt- partei ","'Ratio- nal- fog. Mrb. Bartei ",
"'Giditenberg ","'0,9 ","'56,5 ","'412 ","'60 ","'2 ","'54 ","'16 ","'74 ","'3 ","'5 ","'35 ","'7 ","'156 ",
"'Gridenhofen ","'5,3 ","'60,0 ","'412 ","'17 ","'18 ","'177 ","'4 ","'8 ","'8 ","'3 ","'30 ","'2 1 ","'145 103 ",
"'Geifertshofen ","'3,1 ","'61,1 ","'204 ","'- ","'- ","'88 ","'3 ","'- ","'3 ","'6 ","'- ","'","'",
"'Ojdwwend ","'8,2 ","'60,2 ","'545 ","'18 ","'49 ","'140 ","'6 ","'23 ","'47 ","'13 ","'39 ","'7 ","'203 23 ",
"'Saufen a. b. 9R. ","'64,1 ","'56,6 ","'181 ","'5 ","'111 ","'31 ","'- ","'5 ","'4 ","'- ","'1 ","'1 2 ","'86 ",
"'Sütten ","'1,1 ","'64,7 ","'151 ","'1 ","'- ","'54 ","'2 ","'- ","'6 ","'- ","'- ","'","'147 ",
"'Saufen a. R. ","'1,8 ","'64,2 ","'237 ","'11 ","'3 ","'55 ","'2 ","'5 ","'7 ","'- ","'1 ","'6 ","'196 ",
"'a. b. 93. ","'11,9 ","'62,2 ","'402 ","'40 ","'27 ","'103 ","'2 ","'3 ","'9 ","'4 ","'14 ","'4 ","'",
"'","'1,6 ","'61,8 ","'288 ","'1 ","'- ","'139 ","'5 ","'1 ","'8 ","'3 ","'3 ","'- ","'128 118 ",
"'Oberfifdad ","'1,3 ","'64,3 ","'220 ","'3 ","'4 ","'83 ","'2 ","'- ","'3 ","'- ","'7 ","'- ","'23 ",
"'Obergröningen ","'6,8 ","'66,7 ","'142 ","'2 ","'8 ","'94 ","'- ","'- ","'3 ","'- ","'11 ","'1 ","'282 ",
"'Oberrot ","'1,2 ","'49,7 ","'494 ","'10 ","'2 ","'157 ","'6 ","'24 ","'2 ","'1 ","'7 ","'3 ","'248 ",
"'Ober[ontheim ","'5,7 ","'60,7 ","'419 ","'16 ","'8 ","'35 ","'4 ","'4 ","'88 ","'6 ","'7 ","'3 ","'141 ",
"'Ottenborf ","'0,7 ","'53,1 ","'259 ","'25 ","'- ","'63 ","'3 ","'3 ","'8 ","'4 ","'5 ","'7 3 ","'118 ",
"'Ruppertshofen ","'4,3 ","'74,7 ","'473 ","'5 ","'11 ","'301 ","'3 ","'4 ","'1 ","'- ","'27 ","'","'163 ",
"'Gulabad) a. S. ","'1,3 ","'59,2 ","'414 ","'39 ","'10 ","'75 ","'4 ","'4 ","'10 ","'3 ","'99 ","'7 ","'183 ",
"'Untergröningen ","'23,5 ","'72,2 ","'410 ","'54 ","'74 ","'14 ","'10 ","'14 ","'11 ","'5 ","'42 ","'3 ","'223 ",
"'Unterrot ","'0,4 ","'56,9 ","'402 ","'17 ","'- ","'114 ","'3 ","'10 ","'5 ","'- ","'7 ","'23 ","'42 ",
"'","'4,2 ","'55,8 ","'235 ","'3 ","'8 ","'172 ","'- ","'- ","'2 ","'- ","'8 ","'- ","'",
"'Gumme ","'6,8 ","'60,0 ","'7 932 ","'436 ","'438 ","'2 322 ","'140 ","'230 ","'332 ","'76 ","'377 ","'143 ","'3 438 ",
"'Geislingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Geislingen ","'19,6 ","'72,0 ","'7309 ","'1816 ","'800 ","'73 ","'475 ","'373 ","'412 ","'65 ","'624 ","'98 ","'573 117 ",
"'Amftetten ","'5,1 ","'64,7 ","'225 ","'4 ","'1 ","'93 ","'1 ","'2 ","'5 ","'","'1 ","'1 3 ","'107 ",
"'Mufbaujen ","'- ","'76,0 ","'216 ","'1 ","'- ","'98 ","'2 ","'1 ","'2 ","'- ","'2 ","'","'62 ",
"'Bab Digenbad) ","'97,5 ","'79,1 ","'298 ","'12 ","'202 ","'2 ","'1 ","'10 ","'6 ","'1 ","'1 ","'1 ","'148 ",
"'Bab überlingen ","'2,6 ","'69,2 ","'381 ","'72 ","'30 ","'53 ","'11 ","'8 ","'6 ","'- ","'47 ","'6 5 ","'85 ",
"'Böhmenfird) ","'98,9 ","'69,5 ","'698 ","'20 ","'455 ","'91 ","'9 ","'19 ","'8 ","'2 ","'4 ","'1 ","'29 ",
"'Bräunisheim ","'- ","'67,2 ","'92 ","'1 ","'- ","'58 ","'- ","'1 ","'2 ","'- ","'- ","'5 ","'168 ",
"'Deggingen ","'96,1 ","'66,9 ","'835 ","'79 ","'515 ","'14 ","'12 ","'23 ","'15 ","'3 ","'1 2 ","'","'119 ",
"'Don3Dorf ","'94,7 ","'57,4 ","'1 135 ","'93 ","'696 ","'62 ","'54 ","'94 ","'14 ","'1 ","'","'- ","'10 ",
"'Dradenftein ","'93,6 ","'84,1 ","'143 ","'1 ","'121 ","'10 ","'- ","'- ","'- ","'- ","'1 ","'- ","'99 ",
"'Onbad ","'58,1 ","'74,8 ","'322 ","'50 ","'115 ","'4 ","'2 ","'12 ","'23 ","'- ","'14 ","'3 5 ","'410 ",
"'Gingen a. b. Fils ","'3,4 ","'68,6 ","'896 ","'210 ","'8 ","'43 ","'43 ","'53 ","'30 ","'3 ","'91 ","'5 ","'67 ",
"'Gosbad) ","'91,7 ","'75,8 ","'367 ","'36 ","'254 ","'1 ","'- ","'3 ","'- ","'- ","'1 ","'","'119 ",
"'GroBiüßen ","'5,2 ","'68,6 ","'1 054 ","'193 ","'28 ","'135 ","'135 ","'201 ","'11 ","'4 ","'225 ","'3 ","'63 ",
"'Saujen a. b. gils ","'1,7 ","'57,8 ","'110 ","'4 ","'- ","'26 ","'8 ","'1 ","'1 ","'- ","'7 ","'- ","'35 ",
"'bofftett-Gmerbud ","'- ","'58,9 ","'86 ","'2 ","'- ","'46 ","'- ","'- ","'2 ","'- ","'1 ","'- ","'22 ",
"'bohenftabt ","'96,2 ","'78,5 ","'219 ","'2 ","'177 ","'16 ","'- ","'- ","'1 ","'- ","'- ","'1 ","'49 ",
"'Sleinjüßen ","'58,2 ","'71,5 ","'544 ","'56 ","'286 ","'8 ","'27 ","'41 ","'20 ","'6 ","'47 ","'4 ","'578 ",
"'Studen ","'10,6 ","'79,5 ","'290 ","'421 ","'32 ","'42 ","'38 ","'46 ","'22 ","'5 ","'87 ","'19 ","'10 ",
