"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'","'76,6 ","'81,2 ","'206 ","'22 ","'135 ","'20 ","'- ","'12 ","'3 ","'1 ","'3 ","'- ","'53 ",
"'Renningen ","'98,3 ","'71,2 ","'305 ","'17 ","'218 ","'1 ","'4 ","'10 ","'2 ","'- ","'- ","'- ","'20 ",
"'Oppingen ","'0,5 ","'79,1 ","'91 ","'1 ","'- ","'69 ","'1 ","'- ","'- ","'- ","'- ","'- ","'16 ",
"'Reidenbad) i. I. ","'96,4 ","'53,5 ","'181 ","'21 ","'93 ","'45 ","'2 ","'3 ","'1 ","'- ","'- ","'- ","'28 ",
"'Gdaltftetten ","'0,7 ","'77,2 ","'149 ","'10 ","'1 ","'94 ","'1 ","'- ","'8 ","'- ","'7 ","'- ","'9 ",
"'Gdjnittlingen ","'98,3 ","'78,1 ","'144 ","'1 ","'119 ","'11 ","'2 ","'1 ","'1 ","'- ","'- ","'- ","'29 ",
"'Gteinenfird) ","'2,2 ","'60,1 ","'116 ","'- ","'3 ","'79 ","'1 ","'- ","'4 ","'- ","'- ","'- ","'10 ",
"'Gtötten ","'0,4 ","'85,3 ","'128 ","'1 ","'- ","'114 ","'1 ","'1 ","'- ","'- ","'1 ","'- ","'34 ",
"'Gtubersheim ","'0,7 ","'61,8 ","'128 ","'7 ","'1 ","'78 ","'- ","'- ","'7 ","'- ","'1 ","'- ","'19 ",
"'Treffelhaufen ","'99,8 ","'59,3 ","'196 ","'7 ","'154 ","'12 ","'- ","'4 ","'- ","'- ","'- ","'- ","'46 ",
"'Zürtheim ","'0,2 ","'68,7 ","'217 ","'4 ","'- ","'161 ","'1 ","'- ","'5 ","'- ","'- ","'- ","'117 ",
"'Unterböhringen ","'1,4 ","'59,0 ","'207 ","'3 ","'1 ","'74 ","'4 ","'- ","'1 ","'1 ","'2 ","'4 ","'",
