"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Dettingen ","'98,9 ","'74,0 ","'433 ","'17 ","'320 ","'3 ","'2 ","'27 ","'- ","'- ","'6 ","'- ","'38 ",
"'Edenweiler ","'0,9 ","'76,9 ","'112 ","'","'- ","'55 ","'- ","'- ","'2 ","'- ","'1 ","'- ","'54 ",
"'Ürgengingen ","'94,2 ","'70,3 ","'544 ","'1 ","'407 ","'57 ","'6 ","'2 ","'6 ","'- ","'3 ","'2 ","'55 ",
"'Frommenhaufen ","'96,9 ","'87,7 ","'190 ","'3 ","'119 ","'45 ","'1 ","'3 ","'1 ","'- ","'1 ","'- ","'11 ",
"'bailfingen ","'99,4 ","'57.2 ","'236 ","'3 ","'93 ","'82 ","'1 ","'5 ","'- ","'- ","'- ","'- ","'51 ",
"'Demmenborf ","'99,6 ","'74,7 ","'228 ","'1 ","'161 ","'15 ","'- ","'26 ","'4 ","'1 ","'6 ","'- ","'7 ",
"'Birrlingen ","'99,8 ","'66,4 ","'571 ","'21 ","'380 ","'19 ","'4 ","'41 ","'5 ","'2 ","'1 ","'- ","'73 ",
"'Biridjau ","'99,3 ","'66,1 ","'320 ","'57 ","'224 ","'1 ","'1 ","'8 ","'- ","'- ","'- ","'- ","'24 ",
"'Riebingen ","'97,9 ","'83,5 ","'386 ","'6 ","'290 ","'15 ","'1 ","'24 ","'- ","'- ","'3 ","'- ","'38 ",
"'","'1,0 ","'58,2 ","'1 524 ","'90 ","'10 ","'42 ","'31 ","'429 ","'37 ","'11 ","'213 ","'4 ","'591 ",
"'Rellingsheim ","'2,0 ","'61,5 ","'105 ","'1 ","'1 ","'54 ","'6 ","'4 ","'3 ","'- ","'3 ","'1 ","'27 ",
"'Riebernau ","'95,0 ","'91,3 ","'247 ","'24 ","'181 ","'6 ","'3 ","'- ","'1 ","'1 ","'- ","'- ","'18 ",
"'Obernau ","'97,2 ","'84,5 ","'217 ","'5 ","'130 ","'39 ","'- ","'5 ","'- ","'3 ","'- ","'6 ","'25 ",
"'Ofterbingen ","'0,5 ","'48,5 ","'479 ","'63 ","'1 ","'52 ","'11 ","'50 ","'11 ","'14 ","'42 ","'8 ","'199 ",
"'Öfdingen ","'- ","'51,6 ","'372 ","'33 ","'- ","'106 ","'11 ","'26 ","'1 ","'3 ","'44 ","'1 ","'104 ",
"'Remmingsbeim ","'0,4 ","'59,3 ","'294 ","'2 ","'3 ","'121 ","'2 ","'26 ","'6 ","'6 ","'26 ","'1 ","'98 ",
"'Gdwwallborf ","'99,8 ","'79,1 ","'243 ","'8 ","'107 ","'111 ","'- ","'4 ","'- ","'2 ","'1 ","'","'7 ",
"'Geebronn ","'99,4 ","'76,8 ","'294 ","'1 ","'162 ","'102 ","'2 ","'11 ","'- ","'- ","'- ","'2 ","'3 ",
"'Salheim ","'0,6 ","'42,0 ","'218 ","'28 ","'- ","'19 ","'3 ","'67 ","'2 ","'4 ","'60 ","'- ","'26 ",
"'Beiler ","'98,5 ","'76,8 ","'204 ","'11 ","'160 ","'-1 ","'- ","'11 ","'3 ","'- ","'- ","'- ","'11 ",
"'Wendeloheim ","'99,6 ","'81,9 ","'285 ","'24 ","'170 ","'13 ","'1 ","'2 ","'- ","'- ","'1 ","'3 ","'71 ",
"'SBolfenhaujen ","'0,1 ","'76,3 ","'203 ","'- ","'- ","'70 ","'2 ","'- ","'- ","'- ","'- ","'- ","'128 ",
"'Burmlingen ","'97,3 ","'65,5 ","'344 ","'12 ","'228 ","'4 ","'1 ","'42 ","'3 ","'- ","'4 ","'- ","'45 ",
"'Gumme ","'58,9 ","'69,0 ","'12756 ","'726 ","'721 ","'1 101 ","'126 1 ","'303 ","'179 ","'71 ","'552 ","'63 ","'2535 ",
"'DII. Rottweil ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Rottweil ","'79,3 ","'71,5 ","'5 026 ","'306 2 ","'814 ","'50 ","'485 ","'312 ","'164 ","'77 ","'33 ","'112 ","'673 ",
"'Böhringen ","'91,0 ","'36,8 ","'148 ","'4 ","'54 ","'36 ","'1 ","'26 ","'- ","'- ","'1 ","'- ","'26 ",
"'Böfingen ","'99,3 ","'50,9 ","'278 ","'1 ","'148 ","'73 ","'3 ","'9 ","'1 ","'- ","'- ","'- ","'43 ",
"'Büblingen ","'99,4 ","'78,0 ","'249 ","'2 ","'139 ","'5 ","'15 ","'30 ","'1 ","'- ","'2 ","'2 ","'53 ",
