"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Inteil ber tath. Be- pöltg. ","'Babl- be- teili- gung in % ","'gebene gültige Gtim men ","'Goi sial- Demos tratie ","'Ben- frum ","'Bau ern- u. Bein- gärt- ner- Bunb ","'Deut fde De< mo trat Bartei ","'Rom mu nift. Bartei ","'D. ""na tionale Bolle partei ","'Deut fde Bolle. part. II. Bolfe- tont Bergg. ","'Ebrl. Bolfo- bienft ","'Bolle redit- partei ","'Natio- nal. for Deutidye Wrb. Dartei ",
"'Dffingen ","'99,5 ","'72,4 ","'210 ","'5 ","'136 ","'37 ","'- ","'- ","'4 ","'1 ","'- ","'- ","'92 ",
"'Dggelshaufen ","'100,0 ","'76,8 ","'315 ","'5 ","'226 ","'10 ","'1 ","'7 ","'1 ","'- ","'- ","'6 ","'57 ",
"'Bflummern ","'6,0 ","'66,8 ","'175 ","'9 ","'6 ","'107 ","'4 ","'- ","'11 ","'2 ","'- ","'- ","'36 ",
"'Reutlingenborf ","'100,0 ","'82,5 ","'131 ","'2 ","'84 ","'29 ","'- ","'1 ","'1 ","'- ","'- ","'- ","'14 ",
"'Gauggart ","'99,0 ","'86,1 ","'128 ","'1 ","'102 ","'14 ","'- ","'- ","'1 ","'- ","'- ","'- ","'10 ",
"'Geefird) ","'98,7 ","'50,3 ","'73 ","'- ","'55 ","'9 ","'- ","'- ","'- ","'- ","'- ","'2 ","'7 ",
"'Siefenbad) ","'97,2 ","'70,9 ","'156 ","'- ","'88 ","'26 ","'- ","'1 ","'- ","'- ","'- ","'1 ","'40 ",
"'Ligenborf ","'100,0 ","'91,6 ","'152 ","'4 ","'132 ","'9 ","'- ","'2 ","'- ","'- ","'- ","'1 ","'4 ",
"'Unlingen ","'97,8 ","'82,2 ","'395 ","'3 ","'285 ","'34 ","'1 ","'2 ","'4 ","'- ","'- ","'1 ","'65 ",
"'Unterwadjingen ","'98,4 ","'77,4 ","'64 ","'- ","'36 ","'6 ","'- ","'- ","'1 ","'- ","'- ","'1 ","'20 ",
"'Upflamör ","'97,0 ","'85,6 ","'76 ","'1 ","'51 ","'17 ","'1 ","'1 ","'- ","'- ","'- ","'- ","'5 ",
"'Littenweiler ","'99,6 ","'67,0 ","'511 ","'15 ","'335 ","'24 ","'- ","'11 ","'3 ","'- ","'- ","'13 ","'110 ",
"'Salbhaufen ","'98,7 ","'84,8 ","'89 ","'- ","'64 ","'15 ","'- ","'- ","'- ","'1 ","'- ","'- ","'9 ",
"'SBilflingen ","'97,4 ","'81,8 ","'180 ","'1 ","'129 ","'37 ","'- ","'- ","'3 ","'- ","'- ","'1 ","'9 ",
"'Bell ","'93,7 ","'96,3 ","'77 ","'1 ","'52 ","'11 ","'1 ","'- ","'4 ","'- ","'- ","'1 ","'7 ",
"'Swiefaltenborf ","'98,5 ","'80,8 ","'188 ","'3 ","'102 ","'18 ","'1 ","'- ","'4 ","'1 ","'- ","'1 ","'58 ",
"'Gumme ","'95,2 ","'78,1 ","'12 476 ","'318 ","'8 289 ","'1 321 ","'122 ","'120 ","'176 ","'22 ","'- ","'148 ","'1 960 ",
"'Rottenburg ","'","'","'","'","'","'i ","'","'","'","'","'","'","'",
"'Rottenburg ","'85,9 ","'82,5 ","'3 834 ","'200 ","'2 355 ","'52 ","'30 ","'271 ","'86 ","'19 ","'66 ","'33 ","'646 ",
"'","'1,0 ","'52,3 ","'608 ","'110 ","'2 ","'16 ","'7 ","'215 ","'7 ","'4 ","'70 ","'2 ","'152 ",
"'Bühl ","'99,6 ","'80,5 ","'265 ","'5 ","'217 ","'1 ","'- ","'4 ","'1 ","'1 ","'1 ","'- ","'33 ",
