"'","'","'","'","'","'","'93on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Inteil ber tath. 9Be völtg. ","'%Bahl- be- teili- gung in % ","'gebene gültige Gtim- men ","'Go- aial- bemo- tratie ","'8en- frum ","'Bau- ern- u. 9Bein- gärt- ner- Bunb ","'Deut- fde De- mo- trat. Bartei ","'Rom- mu- nift. Bartei ","'tionale partei ","'Deut- faje Bolts- part.u Bollo- tonj. Bergg. ","'I. Bollo. bienft ","'Bolte redit- partei ","'Ratio- nal- [03. Deutfde Wrb.- Bartet ",
"'Oberftogingen ","'97,3 ","'68,4 ","'213 ","'10 ","'122 ","'28 ","'2 ","'4 ","'1 ","'- ","'- ","'- ","'46 ",
"'öllingen ","'- ","'84,1 ","'175 ","'3 ","'- ","'107 ","'- ","'- ","'13 ","'- ","'5 ","'2 ","'45 ",
"'Rammingen ","'96,1 ","'72,3 ","'257 ","'4 ","'199 ","'36 ","'1 ","'2 ","'- ","'- ","'- ","'- ","'15 ",
"'Reutti ","'- ","'86,2 ","'94 ","'- ","'- ","'66 ","'- ","'- ","'1 ","'- ","'1 ","'- ","'26 ",
"'Gegingen ","'- ","'79,6 ","'187 ","'1 ","'1 ","'120 ","'- ","'1 ","'7 ","'2 ","'- ","'- ","'55 ",
"'Gtetten ob Contal ","'96,8 ","'75,5 ","'157 ","'2 ","'121 ","'1 ","'- ","'1 ","'2 ","'- ","'- ","'- ","'30 ",
"'Urfpring ","'1,1 ","'66,5 ","'149 ","'- ","'1 ","'34 ","'- ","'","'12 ","'- ","'15 ","'2 ","'85 ",
"'Beibenftetten ","'0,1 ","'82,2 ","'356 ","'39 ","'1 ","'175 ","'15 ","'4 ","'11 ","'- ","'- ","'- ","'111 ",
"'SBefterftetten ","'74,3 ","'79,7 ","'354 ","'9 ","'235 ","'51 ","'1 ","'6 ","'4 ","'- ","'- ","'2 ","'46 ",
"'Gumme ","'36,3 ","'76,6 ","'42 041 ","'828 ","'037 ","'3 478 ","'1 264 ","'1 924 ","'3 710 ","'308 ","'1 362 ","'332 ","'15798 ",
"'Urad) ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Urad) ","'8,8 ","'78,6 ","'2813 ","'269 ","'107 ","'38 ","'77 ","'595 ","'177 ","'47 ","'127 ","'19 ","'1 315 ",
"'Bempflingen ","'1,8 ","'44,9 ","'276 ","'30 ","'1 ","'41 ","'9 ","'40 ","'","'2 ","'7 ","'1 ","'132 ",
"'Bleidjftetten ","'0,3 ","'73,3 ","'170 ","'1 ","'- ","'91 ","'2 ","'2 ","'3 ","'- ","'4 ","'- ","'67 ",
"'Böhringen ","'- ","'78,8 ","'548 ","'8 ","'1 ","'348 ","'11 ","'7 ","'14 ","'3 ","'19 ","'- ","'132 ",
