"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'inteil ber fath. Be- völtg. ","'SBabl- be- teilt- gung in % ","'gebene gültige etim- men ","'60- atal- bemo- tratie ","'Ben- frum ","'Bau- ern- u. SBein- gärt- ner- Bund ","'Deut- (d)e De- mo- frat. Bartei ","'Rom- mu- mift. Bartei ","'D.'na- tionale Bolfo- partei ","'Deut- (de Bolfo- part.ul. Bolts- fonj. Berga. ","'Chrl. Bollo- bienjt ","'Bolfe- redyt- partet ","'Matio- nat- fos- Wrb. Bartet ",
"'Salbhaufen ","'2,1 ","'85,1 ","'114 ","'- ","'- ","'48 ","'- ","'- ","'- ","'- ","'2 ","'- ","'64 ",
"'Beiler 0. Selfenft ","'1,3 ","'64,2 ","'120 ","'4 ","'- ","'66 ","'7 ","'- ","'3 ","'- ","'4 ","'- ","'36 ",
"'Beifenftein ","'94,1 ","'74,1 ","'378 ","'19 ","'218 ","'12 ","'7 ","'23 ","'3 ","'2 ","'4 ","'- ","'90 ",
"'Befterheim ","'98,9 ","'69,0 ","'554 ","'4 ","'485 ","'6 ","'- ","'2 ","'1 ","'- ","'- ","'- ","'56 ",
"'Biefenfteig ","'78,7 ","'66,5 ","'552 ","'57 ","'308 ","'20 ","'13 ","'33 ","'6 ","'2 ","'12 ","'2 ","'99 ",
"'Gumme ","'42,6 ","'70,1 ","'20006 ","'251 ","'5456 ","'1 785 ","'862 ","'977 ","'625 ","'96 ","'1192 ","'166 ","'5 596 ",
"'DA. Gerabronn ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Gerabronn . ","'2,8 ","'67,5 ","'685 ","'100 ","'6 ","'91 ","'13 ","'99 ","'158 ","'2 ","'19 ","'6 ","'191 ",
"'Wimlishagen . ","'2,7 ","'52,6 ","'113 ","'3 ","'- ","'35 ","'9 ","'3 ","'11 ","'- ","'5 ","'- ","'47 ",
"'Bädlingen . ","'0,2 ","'72,1 ","'258 ","'8 ","'- ","'94 ","'2 ","'- ","'11 ","'- ","'- ","'1 ","'142 ",
"'Bartenftein ","'41,1 ","'58,0 ","'227 ","'5 ","'72 ","'2 ","'8 ","'4 ","'2 ","'2 ","'4 ","'- ","'128 ",
"'Beimbad) . ","'0,4 ","'49,5 ","'153 ","'4 ","'- ","'69 ","'- ","'- ","'8 ","'4 ","'5 ","'- ","'63 ",
"'Billingsbad) . ","'1,0 ","'74,9 ","'383 ","'2 ","'1 ","'112 ","'2 ","'1 ","'43 ","'- ","'2 ","'7 ","'213 ",
"'Blaufelben . ","'1,8 ","'65,9 ","'594 ","'29 ","'9 ","'150 ","'12 ","'3 ","'38 ","'1 ","'7 ","'13 ","'332 ",
"'Brettheim ","'0,4 ","'81,9 ","'499 ","'6 ","'- ","'174 ","'- ","'- ","'35 ","'1 ","'7 ","'1 ","'275 ",
"'Dünsbad) ","'0,3 ","'61,1 ","'247 ","'5 ","'- ","'75 ","'8 ","'- ","'8 ","'1 ","'12 ","'3 ","'135 ",
"'Saggftatt ","'0,5 ","'62,6 ","'254 ","'6 ","'- ","'48 ","'- ","'2 ","'25 ","'- ","'10 ","'2 ","'161 ",
"'Gammesfelb ","'- ","'84,7 ","'299 ","'- ","'1 ","'65 ","'1 ","'2 ","'7 ","'1 ","'- ","'1 ","'221 ",
"'baujen a. Bad) ","'0,2 ","'82,1 ","'251 ","'1 ","'- ","'12 ","'- ","'- ","'1 ","'- ","'- ","'- ","'237 ",
"'gengftfeld ","'","'70,2 ","'315 ","'2 ","'- ","'87 ","'- ","'- ","'2 ","'- ","'10 ","'- ","'214 ",
"'perrentierbad) ","'0,2 ","'58,0 ","'198 ","'- ","'5 ","'82 ","'2 ","'- ","'6 ","'- ","'2 ","'1 ","'100 ",
"'bornberg ","'0,9 ","'60,6 ","'80 ","'3 ","'- ","'1 ","'1 ","'1 ","'9 ","'- ","'5 ","'- ","'60 ",
"'Rirdbberg a. b. 3. ","'4,4 ","'70,0 ","'453 ","'16 ","'7 ","'15 ","'9 ","'1 ","'72 ","'3 ","'39 ","'4 ","'287 ",
"'gangenburg ","'4,4 ","'64,8 ","'523 ","'23 ","'8 ","'120 ","'11 ","'11 ","'108 ","'2 ","'5 ","'3 ","'232 ",
"'genofiebel ","'1,9 ","'73,0 ","'448 ","'3 ","'2 ","'206 ","'1 ","'1 ","'36 ","'2 ","'5 ","'2 ","'190 ",
"'geugenborf ","'0,5 ","'71,7 ","'305 ","'2 ","'1 ","'79 ","'7 ","'1 ","'19 ","'- ","'3 ","'- ","'193 ",
"'Seibe ","'1,5 ","'64,0 ","'254 ","'17 ","'1 ","'76 ","'- ","'1 ","'44 ","'- ","'2 ","'- ","'113 ",
"'","'0,2 ","'81,4 ","'276 ","'12 ","'- ","'47 ","'15 ","'- ","'21 ","'- ","'2 ","'- ","'179 ",
"'glieberftetten ","'13,5 ","'62,9 ","'696 ","'26 ","'92 ","'169 ","'72 ","'8 ","'17 ","'1 ","'21 ","'3 ","'287 ",
"'Oberfteinad) ","'0,6 ","'70,4 ","'260 ","'7 ","'- ","'116 ","'1 ","'2 ","'7 ","'2 ","'1 ","'- ","'124 ",
"'Oberftetten ","'1,7 ","'72,4 ","'278 ","'9 ","'- ","'104 ","'- ","'1 ","'11 ","'- ","'5 ","'- ","'148 ",
"'Reubad) ","'0,2 ","'74,6 ","'232 ","'1 ","'- ","'115 ","'1 ","'1 ","'3 ","'- ","'3 ","'- ","'108 ",
"'Riebbad) ","'6,9 ","'73,9 ","'225 ","'9 ","'3 ","'35 ","'- ","'- ","'2 ","'1 ","'- ","'- ","'175 ",
"'Rot am Gee ","'2,0 ","'57,5 ","'446 ","'10 ","'- ","'100 ","'13 ","'7 ","'43 ","'5 ","'25 ","'4 ","'239 ",
"'Ruppertshofen ","'2,5 ","'60,7 ","'165 ","'3 ","'4 ","'113 ","'5 ","'1 ","'4 ","'2 ","'- ","'- ","'33 ",
"'Gdymalfelben . ","'0,9 ","'81,8 ","'275 ","'1 ","'- ","'66 ","'- ","'1 ","'55 ","'1 ","'2 ","'1 ","'148 ",
"'","'2,4 ","'67,0 ","'761 ","'57 ","'13 ","'181 ","'20 ","'1 ","'148 ","'4 ","'23 ","'5 ","'309 ",
"'Gpielbad) . ","'1,0 ","'70,9 ","'344 ","'- ","'- ","'154 ","'2 ","'- ","'23 ","'3 ","'- ","'- ","'162 ",
"'Ballhaufen ","'0,7 ","'55,3 ","'270 ","'9 ","'- ","'104 ","'1 ","'2 ","'11 ","'1 ","'6 ","'3 ","'133 ",
"'Biefenbad) ","'0,1 ","'81,5 ","'554 ","'8 ","'1 ","'101 ","'2 ","'5 ","'5 ","'- ","'7 ","'- ","'425 ",
"'SBilbentierbad) ","'0,3 ","'80,0 ","'308 ","'1 ","'- ","'142 ","'1 ","'- ","'2 ","'- ","'1 ","'- ","'161 ",
"'Sittenweiler ","'1,2 ","'64,5 ","'146 ","'- ","'1 ","'77 ","'1 ","'- ","'3 ","'1 ","'- ","'1 ","'62 ",
"'Gumme ","'3,1 ","'68,5 ","'11 775 ","'388 ","'227 ","'217 ","'220 ","'159 ","'998 ","'40 ","'238 ","'61 ","'6 227 ",
"'Gmüno ","'","'","'","'","'","'","'","'","'","'","'","'","'",
