"'","'","'","'","'","'","'Bon ","'ben ","'gülitigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'SBefternhaufen ","'99,7 ","'79,2 ","'341 ","'8 ","'325 ","'1 ","'- ","'1 ","'2 ","'- ","'- ","'- ","'4 ",
"'","'100,0 ","'94,1 ","'175 ","'1 ","'168 ","'3 ","'- ","'- ","'- ","'- ","'- ","'1 ","'2 ",
"'Gumme ","'41,9 ","'77,6 ","'12 234 ","'686 ","'5 223 ","'1 849 ","'149 ","'267 ","'290 ","'110 ","'245 ","'70 ","'3345 ",
"'2aupheim ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Caupheim ","'85,9 ","'75,6 ","'2 952 ","'279 ","'1 728 ","'84 ","'92 ","'38 ","'53 ","'10 ","'47 ","'16 ","'605 ",
"'Wditetten ","'98,9 ","'67,3 ","'331 ","'3 ","'245 ","'16 ","'3 ","'2 ","'3 ","'2 ","'1 ","'5 ","'51 ",
"'WItheim ","'99,7 ","'88,1 ","'167 ","'2 ","'155 ","'2 ","'- ","'2 ","'- ","'- ","'- ","'- ","'6 ",
"'Baltringen ","'99,8 ","'86,9 ","'250 ","'4 ","'206 ","'29 ","'- ","'- ","'- ","'- ","'1 ","'1 ","'9 ",
"'Bauftetten ","'99,6 ","'81,1 ","'393 ","'3 ","'295 ","'61 ","'1 ","'- ","'2 ","'- ","'- ","'- ","'31 ",
"'Biblafingen ","'98,5 ","'77,4 ","'149 ","'- ","'105 ","'6 ","'1 ","'3 ","'3 ","'- ","'- ","'- ","'31 ",
"'Bronnen ","'94,5 ","'91,7 ","'152 ","'2 ","'119 ","'2 ","'- ","'- ","'- ","'- ","'- ","'- ","'29 ",
"'Büht ","'99,5 ","'91,0 ","'111 ","'- ","'100 ","'5 ","'- ","'- ","'- ","'- ","'- ","'- ","'6 ",
"'Burgrieben ","'81,6 ","'88,7 ","'501 ","'63 ","'367 ","'20 ","'2 ","'2 ","'2 ","'- ","'2 ","'2 ","'41 ",
"'Sugmannshaufen ","'97,0 ","'74,1 ","'194 ","'14 ","'167 ","'3 ","'- ","'4 ","'- ","'- ","'- ","'- ","'6 ",
